TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2006","2100","1","SA2","101011001","A",509
"2006","2100","1","SA2","101011002","A",441
"2006","2100","1","SA2","101011003","A",188
"2006","2100","1","SA2","101011004","A",491
"2006","2100","1","SA2","101011005","A",190
"2006","2100","1","SA2","101011006","A",173
"2006","2100","1","SA2","101021007","A",134
"2006","2100","1","SA2","101021008","A",218
"2006","2100","1","SA2","101021009","A",309
"2006","2100","1","SA2","101021010","A",164
"2006","2100","1","SA2","101021011","A",763
"2006","2100","1","SA2","101021012","A",480
"2006","2100","1","SA2","101031013","A",70
"2006","2100","1","SA2","101031014","A",254
"2006","2100","1","SA2","101031015","A",162
"2006","2100","1","SA2","101031016","A",708
"2006","2100","1","SA2","101041017","A",456
"2006","2100","1","SA2","101041018","A",509
"2006","2100","1","SA2","101041019","A",275
"2006","2100","1","SA2","101041020","A",443
"2006","2100","1","SA2","101041021","A",129
"2006","2100","1","SA2","101041022","A",0
"2006","2100","1","SA2","101041023","A",118
"2006","2100","1","SA2","101041024","A",129
"2006","2100","1","SA2","101041025","A",737
"2006","2100","1","SA2","101041026","A",487
"2006","2100","1","SA2","101041027","A",634
"2006","2100","1","SA2","102011028","A",433
"2006","2100","1","SA2","102011029","A",614
"2006","2100","1","SA2","102011030","A",204
"2006","2100","1","SA2","102011031","A",1065
"2006","2100","1","SA2","102011032","A",917
"2006","2100","1","SA2","102011033","A",440
"2006","2100","1","SA2","102011034","A",485
"2006","2100","1","SA2","102011035","A",441
"2006","2100","1","SA2","102011036","A",478
"2006","2100","1","SA2","102011037","A",455
"2006","2100","1","SA2","102011038","A",408
"2006","2100","1","SA2","102011039","A",932
"2006","2100","1","SA2","102011040","A",1083
"2006","2100","1","SA2","102011041","A",482
"2006","2100","1","SA2","102011042","A",759
"2006","2100","1","SA2","102011043","A",782
"2006","2100","1","SA2","102021044","A",1036
"2006","2100","1","SA2","102021045","A",454
"2006","2100","1","SA2","102021046","A",504
"2006","2100","1","SA2","102021047","A",794
"2006","2100","1","SA2","102021048","A",1027
"2006","2100","1","SA2","102021049","A",118
"2006","2100","1","SA2","102021050","A",555
"2006","2100","1","SA2","102021051","A",281
"2006","2100","1","SA2","102021052","A",233
"2006","2100","1","SA2","102021053","A",454
"2006","2100","1","SA2","102021054","A",513
"2006","2100","1","SA2","102021055","A",264
"2006","2100","1","SA2","102021056","A",632
"2006","2100","1","SA2","102021057","A",345
"2006","2100","1","SA2","103011058","A",565
"2006","2100","1","SA2","103011059","A",191
"2006","2100","1","SA2","103011060","A",211
"2006","2100","1","SA2","103011061","A",136
"2006","2100","1","SA2","103021062","A",64
"2006","2100","1","SA2","103021063","A",182
"2006","2100","1","SA2","103021064","A",126
"2006","2100","1","SA2","103021065","A",169
"2006","2100","1","SA2","103021066","A",84
"2006","2100","1","SA2","103021067","A",179
"2006","2100","1","SA2","103021068","A",52
"2006","2100","1","SA2","103021069","A",114
"2006","2100","1","SA2","103031070","A",363
"2006","2100","1","SA2","103031071","A",297
"2006","2100","1","SA2","103031072","A",252
"2006","2100","1","SA2","103031073","A",127
"2006","2100","1","SA2","103031074","A",346
"2006","2100","1","SA2","103031075","A",0
"2006","2100","1","SA2","103041076","A",167
"2006","2100","1","SA2","103041077","A",406
"2006","2100","1","SA2","103041078","A",281
"2006","2100","1","SA2","103041079","A",256
"2006","2100","1","SA2","104011080","A",335
"2006","2100","1","SA2","104011081","A",511
"2006","2100","1","SA2","104011082","A",640
"2006","2100","1","SA2","104021083","A",371
"2006","2100","1","SA2","104021084","A",674
"2006","2100","1","SA2","104021085","A",435
"2006","2100","1","SA2","104021086","A",198
"2006","2100","1","SA2","104021087","A",135
"2006","2100","1","SA2","104021088","A",430
"2006","2100","1","SA2","104021089","A",856
"2006","2100","1","SA2","104021090","A",223
"2006","2100","1","SA2","104021091","A",547
"2006","2100","1","SA2","105011092","A",38
"2006","2100","1","SA2","105011093","A",80
"2006","2100","1","SA2","105011094","A",29
"2006","2100","1","SA2","105011095","A",53
"2006","2100","1","SA2","105011096","A",155
"2006","2100","1","SA2","105021097","A",311
"2006","2100","1","SA2","105021098","A",38
"2006","2100","1","SA2","105031099","A",205
"2006","2100","1","SA2","105031100","A",136
"2006","2100","1","SA2","105031101","A",194
"2006","2100","1","SA2","105031102","A",95
"2006","2100","1","SA2","105031103","A",99
"2006","2100","1","SA2","105031104","A",59
"2006","2100","1","SA2","105031105","A",98
"2006","2100","1","SA2","105031106","A",152
"2006","2100","1","SA2","106011107","A",235
"2006","2100","1","SA2","106011108","A",509
"2006","2100","1","SA2","106011109","A",238
"2006","2100","1","SA2","106011110","A",199
"2006","2100","1","SA2","106011111","A",409
"2006","2100","1","SA2","106011112","A",337
"2006","2100","1","SA2","106011113","A",140
"2006","2100","1","SA2","106021114","A",119
"2006","2100","1","SA2","106021115","A",558
"2006","2100","1","SA2","106021116","A",195
"2006","2100","1","SA2","106021117","A",347
"2006","2100","1","SA2","106021118","A",213
"2006","2100","1","SA2","106031119","A",282
"2006","2100","1","SA2","106031120","A",321
"2006","2100","1","SA2","106031121","A",1130
"2006","2100","1","SA2","106031122","A",426
"2006","2100","1","SA2","106031123","A",142
"2006","2100","1","SA2","106031124","A",237
"2006","2100","1","SA2","106031125","A",463
"2006","2100","1","SA2","106041126","A",162
"2006","2100","1","SA2","106041127","A",122
"2006","2100","1","SA2","106041128","A",126
"2006","2100","1","SA2","106041129","A",186
"2006","2100","1","SA2","107011130","A",1125
"2006","2100","1","SA2","107011131","A",2269
"2006","2100","1","SA2","107011132","A",531
"2006","2100","1","SA2","107011133","A",0
"2006","2100","1","SA2","107011134","A",819
"2006","2100","1","SA2","107021135","A",0
"2006","2100","1","SA2","107031136","A",801
"2006","2100","1","SA2","107031137","A",573
"2006","2100","1","SA2","107031138","A",472
"2006","2100","1","SA2","107031139","A",341
"2006","2100","1","SA2","107031140","A",357
"2006","2100","1","SA2","107031141","A",665
"2006","2100","1","SA2","107031142","A",646
"2006","2100","1","SA2","107031143","A",1662
"2006","2100","1","SA2","107041144","A",994
"2006","2100","1","SA2","107041145","A",903
"2006","2100","1","SA2","107041146","A",967
"2006","2100","1","SA2","107041147","A",467
"2006","2100","1","SA2","107041148","A",596
"2006","2100","1","SA2","107041149","A",1099
"2006","2100","1","SA2","107041150","A",1115
"2006","2100","1","SA2","108011151","A",158
"2006","2100","1","SA2","108011152","A",610
"2006","2100","1","SA2","108011153","A",289
"2006","2100","1","SA2","108011154","A",263
"2006","2100","1","SA2","108021155","A",321
"2006","2100","1","SA2","108021156","A",346
"2006","2100","1","SA2","108021157","A",153
"2006","2100","1","SA2","108021158","A",393
"2006","2100","1","SA2","108021159","A",326
"2006","2100","1","SA2","108021160","A",210
"2006","2100","1","SA2","108031161","A",22
"2006","2100","1","SA2","108041162","A",756
"2006","2100","1","SA2","108041163","A",1565
"2006","2100","1","SA2","108041164","A",859
"2006","2100","1","SA2","108041165","A",164
"2006","2100","1","SA2","108041166","A",327
"2006","2100","1","SA2","108051167","A",158
"2006","2100","1","SA2","108051168","A",420
"2006","2100","1","SA2","108051169","A",523
"2006","2100","1","SA2","108051170","A",431
"2006","2100","1","SA2","108051171","A",159
"2006","2100","1","SA2","109011172","A",334
"2006","2100","1","SA2","109011173","A",224
"2006","2100","1","SA2","109011174","A",363
"2006","2100","1","SA2","109011175","A",240
"2006","2100","1","SA2","109011176","A",346
"2006","2100","1","SA2","109021177","A",52
"2006","2100","1","SA2","109021178","A",122
"2006","2100","1","SA2","109021179","A",45
"2006","2100","1","SA2","109031180","A",180
"2006","2100","1","SA2","109031181","A",209
"2006","2100","1","SA2","109031182","A",153
"2006","2100","1","SA2","109031183","A",137
"2006","2100","1","SA2","109031184","A",147
"2006","2100","1","SA2","109031185","A",269
"2006","2100","1","SA2","110011186","A",587
"2006","2100","1","SA2","110011187","A",68
"2006","2100","1","SA2","110011188","A",145
"2006","2100","1","SA2","110011189","A",61
"2006","2100","1","SA2","110021190","A",231
"2006","2100","1","SA2","110021191","A",173
"2006","2100","1","SA2","110021192","A",112
"2006","2100","1","SA2","110021193","A",100
"2006","2100","1","SA2","110021194","A",185
"2006","2100","1","SA2","110031195","A",116
"2006","2100","1","SA2","110031196","A",73
"2006","2100","1","SA2","110031197","A",96
"2006","2100","1","SA2","110031198","A",64
"2006","2100","1","SA2","110041199","A",124
"2006","2100","1","SA2","110041200","A",74
"2006","2100","1","SA2","110041201","A",140
"2006","2100","1","SA2","110041202","A",305
"2006","2100","1","SA2","110041203","A",271
"2006","2100","1","SA2","110041204","A",60
"2006","2100","1","SA2","110041205","A",405
"2006","2100","1","SA2","111011206","A",571
"2006","2100","1","SA2","111011207","A",133
"2006","2100","1","SA2","111011208","A",638
"2006","2100","1","SA2","111011209","A",647
"2006","2100","1","SA2","111011210","A",296
"2006","2100","1","SA2","111011211","A",149
"2006","2100","1","SA2","111011212","A",414
"2006","2100","1","SA2","111011213","A",556
"2006","2100","1","SA2","111011214","A",496
"2006","2100","1","SA2","111021215","A",286
"2006","2100","1","SA2","111021216","A",321
"2006","2100","1","SA2","111021217","A",238
"2006","2100","1","SA2","111021218","A",628
"2006","2100","1","SA2","111021219","A",586
"2006","2100","1","SA2","111021220","A",359
"2006","2100","1","SA2","111021221","A",128
"2006","2100","1","SA2","111031222","A",418
"2006","2100","1","SA2","111031223","A",224
"2006","2100","1","SA2","111031224","A",308
"2006","2100","1","SA2","111031225","A",451
"2006","2100","1","SA2","111031226","A",241
"2006","2100","1","SA2","111031227","A",412
"2006","2100","1","SA2","111031228","A",385
"2006","2100","1","SA2","111031229","A",362
"2006","2100","1","SA2","111031230","A",0
"2006","2100","1","SA2","111031231","A",215
"2006","2100","1","SA2","111031232","A",214
"2006","2100","1","SA2","111031233","A",427
"2006","2100","1","SA2","111031234","A",266
"2006","2100","1","SA2","111031235","A",172
"2006","2100","1","SA2","112011236","A",646
"2006","2100","1","SA2","112011237","A",710
"2006","2100","1","SA2","112011238","A",298
"2006","2100","1","SA2","112011239","A",428
"2006","2100","1","SA2","112011240","A",539
