Country,Adelaide,North Adelaide,Adelaide Hills,Aldgate - Stirling,Hahndorf - Echunga,Lobethal - Woodside,Mount Barker,Mount Barker Region,Nairne,Uraidla - Summertown,Burnside - Wattle Park,Glenside - Beaumont,Toorak Gardens,Athelstone,Paradise - Newton,Rostrevor - Magill,Norwood (SA),Payneham - Felixstow,St Peters - Marden,Nailsworth - Broadview,Prospect,Walkerville,Goodwood - Millswood,Unley - Parkside,Gawler - North,Gawler - South,Lewiston - Two Wells,Craigmore - Blakeview,Davoren Park,Elizabeth,Elizabeth East,Munno Para West - Angle Vale,One Tree Hill,Smithfield - Elizabeth North,Virginia - Waterloo Corner,Enfield - Blair Athol,Northgate - Oakden - Gilles Plains,Windsor Gardens,Dry Creek - North,Ingle Farm,Para Hills,Parafield,Parafield Gardens,Paralowie,Pooraka,Salisbury,Salisbury East,Salisbury North,Golden Grove,Greenwith,Highbury - Dernancourt,Hope Valley - Modbury,Modbury Heights,Redwood Park,St Agnes - Ridgehaven,Brighton (SA),Glenelg (SA),Edwardstown,Hallett Cove,Marino - Seaview Downs,Mitchell Park,Morphettville,Sheidow Park - Trott Park,Warradale,Belair,Bellevue Heights,Blackwood,Colonel Light Gardens,Mitcham (SA),Panorama,Aberfoyle Park,Aldinga,Christie Downs,Christies Beach,Clarendon,Coromandel Valley,Flagstaff Hill,Hackham - Onkaparinga Hills,Hackham West - Huntfield Heights,Happy Valley,Happy Valley Reservoir,Lonsdale,McLaren Vale,Morphett Vale - East,Morphett Vale - West,Reynella,Seaford (SA),Willunga,Woodcroft,Beverley,Flinders Park,Henley Beach,Hindmarsh - Brompton,Royal Park - Hendon - Albert Park,Seaton - Grange,West Lakes,Woodville - Cheltenham,Dry Creek - South,Largs Bay - Semaphore,North Haven,Port Adelaide,The Parks,Torrens Island,Adelaide Airport,Fulham,Lockleys,Plympton,Richmond (SA),West Beach,Barossa - Angaston,Light,Lyndoch,Mallala,Nuriootpa,Tanunda,Clare,Gilbert Valley,Goyder,Wakefield - Barunga West,Jamestown,Peterborough - Mount Remarkable,Port Pirie,Port Pirie Region,Kadina,Moonta,Wallaroo,Yorke Peninsula - North,Yorke Peninsula - South,Ceduna,Eyre Peninsula,Kimba - Cleve - Franklin Harbour,Le Hunte - Elliston,Port Lincoln,West Coast (SA),Western,Whyalla,Whyalla - North,APY Lands,Coober Pedy,Flinders Ranges,Outback,Port Augusta,Roxby Downs,Goolwa - Port Elliot,Kangaroo Island,Strathalbyn,Strathalbyn Region,Victor Harbor,Yankalilla,Grant,Kingston - Robe,Millicent,Mount Gambier,Naracoorte,Naracoorte Region,Penola,Tatiara,Wattle Range,Barmera,Berri,Karoonda - Lameroo,Loxton,Loxton Region,Mannum,Murray Bridge,Murray Bridge Region,Renmark,Renmark Region,The Coorong,Waikerie,Migratory - Offshore - Shipping (SA),No Usual Address (SA)
Bahrain,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,71,24,0,5,0,121,5,0,0,13,61,34,46,19,99,69,37,30,24,12,22,27,48,92,0,9,0,0,22,28,23,0,0,13,0,103,80,51,0,44,39,0,25,10,95,19,24,15,21,10,16,58,34,17,17,18,64,45,45,44,76,35,56,62,3,22,5,18,15,46,34,5,11,0,0,3,53,0,3,11,0,0,0,24,24,7,4,0,50,4,24,22,38,3,14,25,21,0,8,13,18,30,0,0,0,14,72,44,5,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,3,0,5
Iraq,24,9,0,0,0,28,0,0,0,0,7,0,25,6,12,27,10,6,8,12,24,0,9,15,3,0,0,12,3,9,12,10,0,25,0,117,63,26,0,49,20,0,41,6,68,23,8,12,9,4,0,35,10,3,0,4,9,8,3,0,35,16,5,19,0,4,0,7,3,3,5,8,11,0,0,3,3,7,0,0,0,0,0,6,3,0,0,0,7,12,30,3,26,0,43,0,34,0,6,0,4,51,0,0,0,10,43,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,3
Israel,6,0,0,7,0,3,0,0,0,6,7,5,9,3,9,6,8,5,0,0,3,3,0,11,3,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,3,0,6,0,4,0,0,3,0,3,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,3,0,0,0,0,4,7,0,0,0,0,0,4,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,3,0,0,3,0,0,0,4,0,4,0,6,0,0,4,0,0,0,0,0,0,8,4,0,7,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,15,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,25,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,4,3,0,0,0,3,0,0,0,0,0,0,3,0,0,3,5,3,3,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,8,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,13,3,0,0,0,0,0,0,0,0,44,15,18,43,53,68,7,14,12,8,12,4,7,12,0,4,3,0,3,3,7,5,0,0,10,53,55,23,0,39,43,0,26,8,17,20,39,3,3,0,31,33,19,14,14,9,4,27,13,11,25,21,6,4,0,31,3,36,10,47,11,0,10,8,0,0,11,5,13,9,0,0,4,21,18,10,3,9,33,8,5,4,11,11,6,10,50,0,12,3,3,16,0,0,4,11,32,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,10,0,0,0,0,0,0,0
Oman,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,151,12,0,0,0,0,0,0,0,0,7,0,3,0,5,3,6,3,0,4,0,3,15,8,0,0,0,0,0,0,0,0,0,3,0,10,7,39,0,3,0,0,3,0,11,0,0,3,0,5,6,3,0,0,0,12,22,24,3,13,88,26,0,74,0,17,0,18,3,16,4,0,0,0,0,0,11,0,0,3,0,0,0,4,0,0,0,0,0,10,8,0,26,0,5,5,15,0,4,0,0,8,0,0,0,10,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,3,15,0,9,4,7,3,4,3,0,0,0,7,14,3,3,0,0,0,3,3,17,3,3,0,0,3,4,0,7,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,8,0,0,0,0,4,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,4,5,0,0,0,0,3,0,0,3,32,0,9,10,17,13,5,31,7,4,7,0,10,11,0,0,0,0,9,5,0,0,0,3,18,5,37,19,0,8,4,0,6,10,21,14,0,5,0,5,12,12,9,0,0,3,4,5,4,8,12,0,0,3,0,3,3,3,0,7,6,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,9,4,9,0,8,0,0,0,3,0,0,0,0,0,0,6,10,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,39,0,14,21,0,0,0,0
United Arab Emirates,35,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,3,7,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,7,0,0,0,0,3,0,0,0,0,0,5,3,0,8,0,7,3,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,10,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,14,0,0,0,0,0,0,0,0,0,4,3,4,0,6,6,0,3,5,5,3,11,3,3,0,0,0,3,0,15,6,0,0,7,0,64,26,0,0,0,0,0,35,11,3,113,16,19,0,0,0,5,3,0,0,0,0,4,3,0,18,6,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,6,0,3,0,11,0,3,3,0,87,0,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,8,0,3,7,0,0,0,0,0,0,3,3,7,0,21,15,3,3,3,3,12,15,3,15,0,0,3,35,38,25,30,15,0,16,58,123,74,20,0,38,20,0,343,294,81,158,16,254,0,5,3,22,8,3,0,3,4,41,3,0,61,13,9,6,0,16,0,6,3,26,3,6,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,18,73,22,67,3,21,0,70,0,0,3,18,290,0,0,0,25,54,52,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,5,0,3,11,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0
Laos,3,0,0,0,0,0,0,0,0,4,0,7,0,0,0,3,3,0,0,0,11,0,0,0,0,12,3,6,9,18,8,10,0,4,0,4,4,3,0,3,3,0,41,64,13,7,0,93,0,0,0,0,0,0,0,0,3,0,0,0,8,6,0,0,0,9,0,3,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
