Country,Bridgewater - Gagebrook,Brighton - Pontville,Old Beach - Otago,Bellerive - Rosny,Cambridge,Geilston Bay - Risdon,Howrah - Tranmere,Lindisfarne - Rose Bay,Mornington - Warrane,Risdon Vale,Rokeby,South Arm,Austins Ferry - Granton,Berriedale - Chigwell,Claremont (Tas.),Derwent Park - Lutana,Glenorchy,Montrose - Rosetta,Moonah,New Norfolk,West Moonah,Kingston - Huntingfield,Kingston Beach - Blackmans Bay,Margate - Snug,Mount Wellington,Taroona - Bonnet Hill,Hobart,Lenah Valley - Mount Stuart,Mount Nelson - Dynnyrne,New Town,Sandy Bay,South Hobart - Fern Tree,West Hobart,Dodges Ferry - Lewisham,Sorell - Richmond,Invermay,Kings Meadows - Punchbowl,Launceston,Legana,Mowbray,Newnham - Mayfield,Newstead,Norwood (Tas.),Prospect Vale - Blackstone,Ravenswood,Riverside,South Launceston,Summerhill - Prospect,Trevallyn,Waverley - St Leonards,West Launceston,Youngtown - Relbia,Beauty Point - Beaconsfield,Deloraine,Grindelwald - Lanena,Hadspen - Carrick,Westbury,Dilston - Lilydale,George Town,Longford,Northern Midlands,Perth - Evandale,Scottsdale - Bridport,St Helens - Scamander,Central Highlands,Derwent Valley,Southern Midlands,Wilderness - East,Bruny Island - Kettering,Cygnet,Geeveston - Dover,Huonville - Franklin,Forestier - Tasman,Triabunna - Bicheno,Acton - Upper Burnie,Burnie - Ulverstone Region,Burnie - Wivenhoe,Parklands - Camdale,Penguin - Sulphur Creek,Romaine - Havenview,Somerset,Ulverstone,West Ulverstone,Wynyard,Devonport,East Devonport,Latrobe,Miandetta - Don,Port Sorell,Quoiba - Spreyton,Sheffield - Railton,Turners Beach - Forth,King Island,North West,Smithton,Waratah,West Coast (Tas.),Wilderness - West,Migratory - Offshore - Shipping (Tas.),No Usual Address (Tas.)
United Kingdom,117,86,159,330,427,153,451,358,116,55,137,213,132,173,285,91,283,149,142,229,87,668,770,491,0,351,392,363,243,244,641,417,322,335,372,84,136,264,233,77,192,258,153,273,80,322,146,138,295,88,167,150,247,368,515,118,250,201,450,162,143,240,264,399,89,191,204,0,287,378,240,515,162,236,81,254,114,221,230,100,150,298,187,341,594,202,160,135,277,110,365,129,51,112,60,230,129,0,3,56
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,3,3,0,11,14,3,12,11,0,0,0,10,3,7,5,3,5,0,4,5,0,14,26,11,0,15,21,17,15,13,21,15,24,4,5,3,3,7,5,4,7,7,6,7,7,6,9,3,16,0,0,3,4,6,4,0,7,7,17,0,0,7,4,15,6,6,5,0,10,12,6,8,4,3,0,4,9,3,6,3,3,0,6,7,11,3,0,0,9,3,7,3,3,3,0,4,7,0,0,3
Austria,0,0,3,8,6,0,8,6,3,0,0,0,0,5,6,0,5,3,0,7,7,8,5,7,0,6,4,3,3,3,8,0,3,0,4,3,0,3,4,0,3,0,0,3,0,6,0,4,8,0,4,0,3,3,3,4,0,0,11,0,5,0,3,7,0,0,0,0,4,5,3,6,4,6,4,10,3,3,0,0,0,6,3,0,11,0,0,0,3,0,6,0,0,0,0,5,4,0,0,0
Belgium,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,10,4,3,0,0,0,0,3,6,0,0,0,0,3,3,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,10,0,0,4,5,0,0,0,0,0,3,3,0,3,4,0,5,0,21,3,7,0,3,8,3,6,9,19,16,10,5,6,0,3,5,4,0,4,3,0,5,0,3,3,3,0,0,3,0,0,0,0,4,0,0,0,0,0,4,6,4,0,0,3,0,5,6,3,11,0,9,3,3,0,3,0,0,0,3,0,3,4,0,0,0,0,0,7,0,0,0,0,0,3,0,0,3
Germany,20,20,17,31,52,17,48,33,11,10,10,26,5,21,30,10,50,17,24,15,29,81,78,39,0,41,39,46,25,25,66,44,36,31,33,6,12,18,22,12,16,27,14,20,12,19,12,9,26,9,25,25,28,30,55,13,20,33,18,14,15,10,32,39,9,11,18,0,25,37,13,64,10,10,11,18,14,22,17,9,8,15,15,12,30,12,13,8,16,6,39,3,12,19,4,14,18,0,0,3
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,10,3,14,18,22,8,45,21,8,4,5,18,3,14,15,6,12,5,10,16,7,142,137,42,0,21,30,24,20,13,39,15,27,20,25,10,21,24,53,16,31,23,32,35,14,61,16,24,33,18,26,27,27,34,43,18,32,33,38,15,13,24,42,32,0,11,13,0,26,23,13,43,10,17,14,55,12,14,39,9,18,70,41,33,57,19,20,11,34,12,29,18,16,28,17,14,19,0,0,5
Switzerland,0,0,3,0,9,0,3,0,3,0,3,3,0,0,3,0,3,3,0,0,0,15,13,5,0,8,10,13,0,6,17,12,4,4,6,0,0,4,3,0,3,4,0,3,0,0,0,0,3,0,3,0,0,0,13,0,3,8,3,0,0,0,4,9,0,0,0,0,9,4,3,6,0,0,0,0,3,0,5,0,0,0,0,0,3,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0
Denmark,0,3,0,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,4,0,0,6,3,0,0,4,3,0,0,3,3,3,0,0,0,0,0,0,0,0,0,7,6,3,0,0,0,0,6,0,0,0,0,4,3,3,0,3,3,0,3,0,6,3,0,0,4,0,3,11,0,4,0,4,0,8,3,0,0,3,7,0,3,0,5,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0
Faroe Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,13,8,0,0,0,0,6,0,0,0,5,0,0,6,3,0,3,16,8,0,3,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,3,0,4,0,0,0,3,0,3,0,0,5,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,3,0,0,0,0,3,3,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,10,0,3,10,0,0,3,6,3,0,3,4,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,9,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0
Aland Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
