Country,Adelaide,North Adelaide,Adelaide Hills,Aldgate - Stirling,Hahndorf - Echunga,Lobethal - Woodside,Mount Barker,Mount Barker Region,Nairne,Uraidla - Summertown,Burnside - Wattle Park,Glenside - Beaumont,Toorak Gardens,Athelstone,Paradise - Newton,Rostrevor - Magill,Norwood (SA),Payneham - Felixstow,St Peters - Marden,Nailsworth - Broadview,Prospect,Walkerville,Goodwood - Millswood,Unley - Parkside,Gawler - North,Gawler - South,Lewiston - Two Wells,Craigmore - Blakeview,Davoren Park,Elizabeth,Elizabeth East,Munno Para West - Angle Vale,One Tree Hill,Smithfield - Elizabeth North,Virginia - Waterloo Corner,Enfield - Blair Athol,Northgate - Oakden - Gilles Plains,Windsor Gardens,Dry Creek - North,Ingle Farm,Para Hills,Parafield,Parafield Gardens,Paralowie,Pooraka,Salisbury,Salisbury East,Salisbury North,Golden Grove,Greenwith,Highbury - Dernancourt,Hope Valley - Modbury,Modbury Heights,Redwood Park,St Agnes - Ridgehaven,Brighton (SA),Glenelg (SA),Edwardstown,Hallett Cove,Marino - Seaview Downs,Mitchell Park,Morphettville,Sheidow Park - Trott Park,Warradale,Belair,Bellevue Heights,Blackwood,Colonel Light Gardens,Mitcham (SA),Panorama,Aberfoyle Park,Aldinga,Christie Downs,Christies Beach,Clarendon,Coromandel Valley,Flagstaff Hill,Hackham - Onkaparinga Hills,Hackham West - Huntfield Heights,Happy Valley,Happy Valley Reservoir,Lonsdale,McLaren Vale,Morphett Vale - East,Morphett Vale - West,Reynella,Seaford (SA),Willunga,Woodcroft,Beverley,Flinders Park,Henley Beach,Hindmarsh - Brompton,Royal Park - Hendon - Albert Park,Seaton - Grange,West Lakes,Woodville - Cheltenham,Dry Creek - South,Largs Bay - Semaphore,North Haven,Port Adelaide,The Parks,Torrens Island,Adelaide Airport,Fulham,Lockleys,Plympton,Richmond (SA),West Beach,Barossa - Angaston,Light,Lyndoch,Mallala,Nuriootpa,Tanunda,Clare,Gilbert Valley,Goyder,Wakefield - Barunga West,Jamestown,Peterborough - Mount Remarkable,Port Pirie,Port Pirie Region,Kadina,Moonta,Wallaroo,Yorke Peninsula - North,Yorke Peninsula - South,Ceduna,Eyre Peninsula,Kimba - Cleve - Franklin Harbour,Le Hunte - Elliston,Port Lincoln,West Coast (SA),Western,Whyalla,Whyalla - North,APY Lands,Coober Pedy,Flinders Ranges,Outback,Port Augusta,Roxby Downs,Goolwa - Port Elliot,Kangaroo Island,Strathalbyn,Strathalbyn Region,Victor Harbor,Yankalilla,Grant,Kingston - Robe,Millicent,Mount Gambier,Naracoorte,Naracoorte Region,Penola,Tatiara,Wattle Range,Barmera,Berri,Karoonda - Lameroo,Loxton,Loxton Region,Mannum,Murray Bridge,Murray Bridge Region,Renmark,Renmark Region,The Coorong,Waikerie,Migratory - Offshore - Shipping (SA),No Usual Address (SA)
Argentina,8,0,0,3,3,0,0,0,0,0,5,8,6,9,9,7,4,4,0,3,8,3,9,16,0,0,0,0,3,0,3,3,0,0,0,3,10,8,0,3,3,0,4,3,16,8,3,6,5,0,6,4,4,3,5,0,3,0,6,0,0,4,3,3,0,0,8,0,0,0,0,0,6,0,0,0,6,5,0,0,0,0,0,3,0,0,0,0,0,7,4,8,10,0,18,3,12,0,0,8,0,9,0,0,0,5,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,23,4,0,6,3,4,7,0,0,12,17,0,4,0,15,4,8,7,4,3,11,3,10,4,3,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,3,0,17,3,0,7,3,0,0,3,3,0,4,13,29,7,4,3,3,6,3,3,3,7,3,4,3,3,5,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,7,0,3,0,13,7,13,3,6,8,0,0,8,0,3,0,0,0,0,10,12,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,6,4,0,3,0,4,0,0,0,3,0,3,6,0,4,6,3,3,0,3,0,0,11,3,0,0,3,4,6,9,16,0,0,5,0,11,31,5,0,19,9,0,27,52,22,24,22,33,4,3,6,12,10,8,9,6,11,11,6,7,12,3,6,0,3,4,4,3,14,0,0,0,10,0,0,0,4,4,0,3,0,0,0,3,6,3,6,0,13,0,9,10,9,0,5,8,17,0,14,10,0,20,0,0,3,9,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Colombia,23,5,0,0,0,0,0,0,0,0,8,4,9,0,0,21,23,0,0,5,0,0,25,17,0,0,0,0,0,0,6,8,0,0,0,7,16,13,0,0,0,0,0,0,11,0,0,3,3,3,0,0,0,0,3,0,21,4,6,0,5,5,0,11,0,13,5,4,7,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,5,3,5,3,8,0,3,0,3,0,0,3,0,0,3,9,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,8,3,0,0,3,0,0,0,0,4,6,3,3,3,16,14,3,8,0,0,4,3,8,6,0,0,0,0,0,0,0,0,0,6,0,5,5,3,0,0,0,0,0,0,11,3,0,0,5,0,0,4,3,3,4,0,9,5,4,0,6,3,3,0,3,5,0,3,6,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,12,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
