Country,Alfredton,Ballarat,Ballarat - North,Ballarat - South,Buninyong,Delacombe,Smythes Creek,Wendouree - Miners Rest,Bacchus Marsh Region,Creswick - Clunes,Daylesford,Gordon (Vic.),Avoca,Beaufort,Golden Plains - North,Maryborough (Vic.),Maryborough Region,Bendigo,California Gully - Eaglehawk,East Bendigo - Kennington,Flora Hill - Spring Gully,Kangaroo Flat - Golden Square,Maiden Gully,Strathfieldsaye,White Hills - Ascot,Bendigo Region - South,Castlemaine,Castlemaine Region,Heathcote,Kyneton,Woodend,Bendigo Region - North,Loddon,Bannockburn,Golden Plains - South,Winchelsea,Belmont,Corio - Norlane,Geelong,Geelong West - Hamlyn Heights,Grovedale,Highton,Lara,Leopold,Newcomb - Moolap,Newtown (Vic.),North Geelong - Bell Park,Clifton Springs,Lorne - Anglesea,Ocean Grove - Barwon Heads,Portarlington,Point Lonsdale - Queenscliff,Torquay,Alexandra,Euroa,Kilmore - Broadford,Mansfield (Vic.),Nagambie,Seymour,Seymour Region,Upper Yarra Valley,Yea,Benalla,Benalla Region,Rutherglen,Wangaratta,Wangaratta Region,Beechworth,Bright - Mount Beauty,Chiltern - Indigo Valley,Myrtleford,Towong,West Wodonga,Wodonga,Yackandandah,Drouin,Mount Baw Baw Region,Trafalgar (Vic.),Warragul,Alps - East,Bairnsdale,Bruthen - Omeo,Lake King,Lakes Entrance,Orbost,Paynesville,Foster,French Island,Korumburra,Leongatha,Phillip Island,Wilsons Promontory,Wonthaggi - Inverloch,Churchill,Moe - Newborough,Morwell,Traralgon,Yallourn North - Glengarry,Alps - West,Longford - Loch Sport,Maffra,Rosedale,Sale,Yarram,Brunswick,Brunswick East,Brunswick West,Coburg,Pascoe Vale South,Alphington - Fairfield,Northcote,Thornbury,Ascot Vale,Essendon - Aberfeldie,Flemington,Moonee Ponds,Carlton,Docklands,East Melbourne,Flemington Racecourse,Kensington (Vic.),Melbourne,North Melbourne,Parkville,South Yarra - West,Southbank,West Melbourne,Albert Park,Elwood,Port Melbourne,Port Melbourne Industrial,South Melbourne,St Kilda,St Kilda East,Armadale,Prahran - Windsor,South Yarra - East,Toorak,Abbotsford,Carlton North - Princes Hill,Collingwood,Fitzroy,Fitzroy North,Richmond (Vic.),Yarra - North,Ashburton (Vic.),Balwyn,Balwyn North,Camberwell,Glen Iris - East,Hawthorn,Hawthorn East,Kew,Kew East,Surrey Hills (West) - Canterbury,Bulleen,Doncaster,Templestowe,Templestowe Lower,Doncaster East (North),Doncaster East (South),Blackburn,Blackburn South,Box Hill,Box Hill North,Burwood,Burwood East,Surrey Hills (East) - Mont Albert,Beaumaris,Brighton (Vic.),Brighton East,Cheltenham - Highett (West),Hampton,Sandringham - Black Rock,Bentleigh - McKinnon,Carnegie,Caulfield - North,Caulfield - South,Elsternwick,Hughesdale,Murrumbeena,Ormond - Glen Huntly,Bentleigh East (North),Bentleigh East (South),Aspendale Gardens - Waterways,Braeside,Carrum - Patterson Lakes,Chelsea - Bonbeach,Chelsea Heights,Cheltenham - Highett (East),Edithvale - Aspendale,Mentone,Moorabbin - Heatherton,Moorabbin Airport,Mordialloc - Parkdale,Malvern - Glen Iris,Malvern East,Bundoora - East,Greensborough,Heidelberg - Rosanna,Heidelberg West,Ivanhoe,Ivanhoe East - Eaglemont,Montmorency - Briar Hill,Viewbank - Yallambie,Watsonia,Kingsbury,Reservoir - East,Reservoir - West,Preston - East,Preston - West,Eltham,Hurstbridge,Kinglake,Panton Hill - St Andrews,Plenty - Yarrambat,Research - North Warrandyte,Wattle Glen - Diamond Creek,Bundoora - North,Bundoora - West,Lalor,Mill Park - North,Mill Park - South,Thomastown,Wallan,Whittlesea,Doreen,Epping - East,Epping - South,Epping - West,Mernda,South Morang (North),South Morang (South),Wollert,Airport West,Essendon Airport,Keilor,Keilor East,Niddrie - Essendon West,Strathmore,Gisborne,Macedon,Riddells Creek,Romsey,Coburg North,Fawkner,Pascoe Vale,Glenroy,Gowanbrae,Hadfield,Sunbury,Sunbury - South,Broadmeadows,Campbellfield - Coolaroo,Gladstone Park - Westmeadows,Greenvale - Bulla,Meadow Heights,Melbourne Airport,Roxburgh Park - Somerton,Tullamarine,Craigieburn - Central,Craigieburn - North,Craigieburn - South,Craigieburn - West,Mickleham - Yuroke,Bayswater,Knoxfield - Scoresby,Lysterfield,Rowville - Central,Rowville - North,Rowville - South,Wantirna,Wantirna South,Boronia,Ferntree Gully (North),Ferntree Gully (South) - Upper Ferntree Gully,The Basin,Donvale - Park Orchards,Warrandyte - Wonga Park,Bayswater North,Croydon Hills - Warranwood,Ringwood,Ringwood East,Ringwood North,Croydon - East,Croydon - West,Croydon South,Forest Hill,Mitcham (Vic.),Nunawading,Vermont,Vermont South,Belgrave - Selby,Chirnside Park,Healesville - Yarra Glen,Kilsyth,Lilydale - Coldstream,Monbulk - Silvan,Montrose,Mooroolbark,Mount Dandenong - Olinda,Mount Evelyn,Upwey - Tecoma,Wandin - Seville,Yarra Valley,Beaconsfield - Officer,Bunyip - Garfield,Emerald - Cockatoo,Koo Wee Rup,Pakenham - North,Pakenham - South,Berwick - North,Berwick - South,Doveton,Hallam,Narre Warren North,Endeavour Hills - North,Endeavour Hills - South,Narre Warren - North East,Narre Warren - South West,Cranbourne,Cranbourne East,Cranbourne North,Cranbourne South,Cranbourne West,Hampton Park - Lynbrook,Lynbrook - Lyndhurst,Pearcedale - Tooradin,Narre Warren South (East),Narre Warren South (West),Clarinda - Oakleigh South,Clayton South,Dandenong,Dandenong North,Dingley Village,Keysborough,Noble Park North,Springvale,Springvale South,Noble Park - East,Noble Park - West,Ashwood - Chadstone,Clayton,Glen Waverley - East,Glen Waverley - West,Mount Waverley - North,Mount Waverley - South,Mulgrave,Oakleigh - Huntingdale,Wheelers Hill,Ardeer - Albion,Cairnlea,Deer Park - Derrimut,Delahey,Keilor Downs,Kings Park (Vic.),St Albans - North,St Albans - South,Sunshine,Sunshine North,Sunshine West,Sydenham,Taylors Lakes,Altona,Altona Meadows,Altona North,Newport,Seabrook,Williamstown,Braybrook,Footscray,Maribyrnong,Seddon - Kingsville,West Footscray - Tottenham,Yarraville,Bacchus Marsh,Hillside,Melton,Melton South,Melton West,Rockbank - Mount Cottrell,Taylors Hill,Burnside,Burnside Heights,Caroline Springs,Hoppers Crossing - North,Hoppers Crossing - South,Laverton,Tarneit,Truganina,Werribee - South,Wyndham Vale,Point Cook - East,Point Cook - North,Point Cook - South,Werribee - East,Werribee - West,Carrum Downs,Frankston,Frankston North,Frankston South,Langwarrin,Seaford (Vic.),Skye - Sandhurst,Dromana,Flinders,Hastings - Somers,Mornington,Mount Eliza,Mount Martha,Point Nepean,Rosebud - McCrae,Somerville,Ararat,Ararat Region,Horsham,Horsham Region,Nhill Region,St Arnaud,Stawell,West Wimmera,Yarriambiack,Irymple,Merbein,Mildura Region,Red Cliffs,Mildura - North,Mildura - South,Buloke,Gannawarra,Kerang,Robinvale,Swan Hill,Swan Hill Region,Echuca,Kyabram,Lockington - Gunbower,Rochester,Rushworth,Cobram,Moira,Numurkah,Yarrawonga,Mooroopna,Shepparton - North,Shepparton - South,Shepparton Region - East,Shepparton Region - West,Glenelg (Vic.),Hamilton (Vic.),Portland,Southern Grampians,Camperdown,Colac,Colac Region,Corangamite - North,Corangamite - South,Otway,Moyne - East,Moyne - West,Warrnambool - North,Warrnambool - South,Migratory - Offshore - Shipping (Vic.),No Usual Address (Vic.)
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,8,0,4,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,11,5,3,14,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,10,7,3,5,0,7,0,4,4,8,0,0,0,0,0,0,4,13,0,19,0,3,0,9,10,0,6,0,11,11,0,0,4,0,0,0,18,9,12,5,13,22,8,6,6,0,0,12,5,7,17,3,10,0,0,5,0,0,3,0,0,0,3,0,0,10,0,3,3,0,0,0,0,7,0,4,4,5,10,0,7,0,0,12,0,0,8,0,0,4,3,0,11,4,6,12,17,0,0,0,0,0,15,0,56,25,25,81,36,15,26,36,48,81,25,38,61,23,3,0,37,29,23,16,7,12,0,38,26,32,0,21,32,11,16,31,41,20,10,11,10,17,19,38,4,20,29,54,22,21,25,26,38,25,12,73,117,165,71,95,76,28,17,9,33,16,29,9,22,48,30,23,51,38,50,33,33,47,23,26,18,16,41,40,17,0,61,31,9,50,16,25,31,0,40,37,42,25,34,18,47,18,10,18,32,26,31,98,75,52,32,16,0,3,0,35,3,12,41,30,131,150,104,100,9,6,59,50,45,31,60,79,69,23,35,0,22,210,24,28,7,3,0,4,40,71,112,121,16,21,7,37,65,101,188,135,54,0,131,56,17,15,54,54,8,33,39,39,124,40,103,40,52,29,17,29,0,70,22,19,20,32,25,16,7,19,4,14,47,28,14,41,4,7,0,7,9,0,3,7,8,6,7,0,3,35,0,9,3,62,105,69,118,55,151,22,77,69,41,90,56,83,55,5,29,76,36,0,78,69,70,59,90,98,30,43,58,31,23,36,51,80,36,56,74,22,64,97,88,152,13,25,89,37,115,100,135,58,11,20,67,119,207,17,48,25,21,14,25,34,19,34,7,13,11,7,196,57,51,50,3,186,17,71,183,38,42,17,61,40,9,47,28,60,33,40,21,33,28,17,24,21,36,9,45,0,13,24,8,28,20,23,8,4,0,5,0,0,0,3,0,0,0,0,0,5,7,4,3,0,0,0,3,0,10,4,0,0,7,3,0,8,3,0,12,10,0,0,0,4,4,0,0,7,0,0,0,3,0,0,14,5,0,13
Libya,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,7,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,0,0,3,0,11,0,15,0,3,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,0,0,9,3,0,0,3,0,0,4,6,0,6,4,0,9,6,4,0,0,0,7,4,0,10,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,24,46,4,9,0,0,0,0,0,0,0,12,7,17,11,36,24,0,0,0,0,0,0,0,0,0,7,3,0,8,12,0,0,0,0,0,0,0,6,3,0,0,0,7,5,5,3,8,6,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,4,0,0,3,0,3,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,6,0,4,0,0,0,3,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,4,6,0,9,6,13,7,7,5,3,0,29,3,13,7,33,22,31,0,26,0,6,0,0,0,0,0,10,3,0,7,0,8,0,3,8,21,5,0,17,7,7,3,3,4,0,19,8,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,7,3,3,0,9,6,0,4,0,0,5,0,0,0,0,0,4,4,0,3,0,0,0,4,0,6,0,9,4,8,6,0,0,3,0,5,4,7,5,0,0,0,3,0,0,6,9,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,5,0,5,4,7,0,6,18,3,0,0,0,9,0,0,0,0,4,0,4,3,6,0,0,0,3,5,0,0,0,0,0,0,0,0,0,9,0,3,7,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,0,3,0,0,9,15,0,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,3,5,3,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,0,5,0,0,0,0,6,0,0,4,0,0,0,4,0,0,0,0,3,0,0,6,0,0,3,0,3,0,0,0,7,0,0,3,3,3,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,5,0,0,12,4,0,5,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,5,0,4,27,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,13,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,29,0,4,3,9,8,0,6,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,51,19,0,0,0,0,11,0,0,7,0,11,0,0,4,6,14,74,10,125,5,64,5,0,0,20,7,67,9,0,3,0,4,0,4,0,4,0,0,0,10,22,0,3,0,67,100,6,75,0,15,4,0,0,0,0,0,0,0,0,0,6,13,5,6,17,8,0,8,3,6,0,0,0,0,0,3,9,0,0,0,5,0,7,5,0,0,3,0,6,0,13,5,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,17,13,0,11,7,0,0,0,0,0,0,0,0,9,10,12,9,0,0,0,4,6,19,0,3,19,27,0,0,0,7,5,0,0,0,0,0,5,4,8,21,0,0,0,0,17,13,5,4,6,0,28,0,3,7,8,9,0,0,3,3,7,5,0,9,8,3,3,7,0,9,0,8,5,0,7,0,0,8,0,0,10,0,5,0,0,4,0,0,0,0,0,13,0,0,0,0,0,10,0,3,0,54,100,11,14,100,29,0,27,35,18,16,57,102,62,0,37,88,47,0,14,23,10,10,163,87,0,12,15,30,39,54,44,17,9,4,0,0,0,17,0,3,39,42,175,31,31,68,119,63,43,55,166,21,19,3,30,29,7,0,3,102,32,8,13,12,14,0,28,116,165,91,11,78,31,38,59,11,10,20,218,153,14,143,22,25,12,55,4,12,5,20,0,9,9,9,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,5,30,34,0,0,0,0,0,0,0,33,0,0,0,0,0,0,5,9,0,21
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Sudan,0,0,6,11,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,19,6,7,0,0,0,4,0,5,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,30,40,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,7,4,8,5,0,0,0,0,0,0,4,0,0,0,0,0,6,4,0,0,4,0,0,0,0,0,8,0,0,0,30,110,7,4,50,13,0,17,0,3,8,38,52,66,5,33,64,27,0,11,37,3,0,81,49,0,15,17,5,11,28,34,11,7,0,0,0,0,11,0,3,12,9,66,9,6,57,62,34,8,22,11,0,0,0,3,4,3,4,3,17,20,3,5,12,5,0,15,61,112,80,0,32,11,13,39,16,8,0,153,88,18,123,15,19,13,29,8,11,15,28,0,10,7,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,21,18,0,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,7
Benin,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
