Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,Molonglo Corridor,West Belconnen,Hume,Kowen,Canberra East,Canberra Airport,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Gungahlin - East,Gungahlin - West,Jacka,Kenny,Moncrieff,Taylor,Throsby,Acton,Ainslie,Braddon,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Turner,Watson,Black Mountain,Campbell,Duntroon,Parkes (ACT) - North,Reid,Russell,Deakin,Forrest,Griffith (ACT),Lake Burley Griffin,Narrabundah,Parkes (ACT) - South,Red Hill (ACT),Yarralumla,Barton,Fyshwick,Kingston (ACT),Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Tuggeranong - West,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Scrivener,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Arboretum,Coombs,Denman Prospect,Molonglo,Molonglo - North,Wright,ACT - South West,Namadgi,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,3,50,42,0,9,0,3,5,7,0,0,0,0,0,6,17,7,0,3,11,0,0,9,0,0,0,0,0,0,0,5,0,0,3,19,18,13,12,31,36,0,20,0,20,4,8,0,0,7,0,0,0,0,19,10,24,7,7,0,3,15,3,22,9,0,6,0,0,4,0,8,5,13,0,22,0,11,3,6,0,17,6,9,5,5,11,3,0,4,0,10,3,20,4,5,0,0,0,3,0,8,0,3,4,0,7,0,4,13,5,0,0,3,0,5,0,21,4,0,3,3,15,0,0,25,0,0,0,26,0,0,0,0
Iraq,0,12,5,4,0,12,0,4,8,4,0,0,3,0,0,0,4,0,11,3,4,8,15,5,0,0,0,0,0,0,0,0,0,0,9,0,0,9,4,20,0,5,0,14,8,0,0,0,0,0,0,0,0,0,0,6,0,18,15,5,9,8,0,5,0,0,0,0,0,0,4,0,5,0,10,0,14,5,0,0,5,10,9,6,0,13,5,7,11,3,0,13,28,0,16,0,0,14,3,0,5,0,0,4,0,9,0,0,0,7,0,0,11,0,3,3,3,0,0,5,0,10,6,0,8,0,0,0,7,0,0,0,0
Israel,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,7,7,0,0,0,6,4,0,0,4,0,0,0,0,0,0,3,0,3,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Jordan,0,9,4,3,0,0,0,6,0,0,0,0,4,7,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,10,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,4,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,0,0,4,5,0,0,3,0,6,0,0,0,4,0,0,0,3,4,0,0,0,0,0,0,0,4,4,6,0,8,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0
Kuwait,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,4,8,6,0,12,5,7,0,0,9,0,4,4,0,11,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,7,0,3,0,0,0,0,0,0,0,0,7,0,3,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,8,3,17,24,17,5,20,7,17,13,0,3,19,0,17,0,3,5,5,0,7,0,3,0,0,0,4,0,4,5,0,0,0,11,0,0,0,3,0,0,5,3,0,0,0,0,0,0,4,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,31,32,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,11,4,11,4,17,13,0,17,0,3,5,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,7,5,11,6,8,0,0,5,0,0,8,0,0,0,0,0,0,0,0
Syria,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,4,9,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,4,0,4,4,3,9,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,13,0,9,0,7,0,0,0,8,0,4,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,3,5,0,3,0,0,0,0,0,0,0,0
United Arab Emirates,0,5,11,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,6,3,6,8,3,0,10,0,5,0,6,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,10,0,0,0,3,0,0,0,7,4,0,0,0,8,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,10,0,0,0,0,0,0,7,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,4,3,10,6,11,12,4,6,0,0,0,0,0,3,0,11,3,0,8,0,4,13,3,0,0,0,0,0,0,0,0,0,0,17,12,8,5,8,30,15,0,40,0,25,3,23,0,0,4,0,0,0,0,16,11,26,4,6,26,3,14,5,30,12,0,5,0,0,9,0,0,0,0,0,3,0,5,0,0,0,6,7,7,0,4,4,0,3,4,0,3,0,10,0,3,0,0,3,0,0,21,0,0,0,11,0,0,0,4,0,0,0,5,3,3,0,0,12,3,0,0,9,3,0,0,0,0,0,3,0,0,0,0
Cambodia,13,12,15,12,0,16,5,16,3,0,0,0,0,0,0,10,0,0,3,7,3,0,3,7,3,0,0,0,0,0,0,0,0,6,5,3,6,0,16,11,0,6,0,13,14,17,0,0,0,0,0,0,0,4,6,7,4,5,3,0,10,9,0,8,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,6,0,3,4,0,3,9,5,4,7,6,0,8,0,3,4,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,9,6,4,0,16,3,5,0,0,0,0,0,0,0,6,0,0,6,0,10,0,7,0,0,0,0,0,0,0,0,0,0,8,5,0,6,7,18,23,0,11,0,19,19,15,0,0,0,0,0,0,0,0,3,4,5,0,3,0,10,5,0,3,0,0,0,0,7,0,0,0,7,0,5,0,5,0,0,0,0,40,47,33,10,33,0,13,42,3,8,32,29,0,15,0,17,6,18,0,6,0,0,4,0,0,4,4,0,4,0,0,0,0,0,3,8,3,4,0,0,0,0,0,9,0,0,0,7,0,0,0,0
Thailand,8,47,34,12,12,31,11,15,4,0,4,0,4,7,7,23,11,0,29,16,20,6,6,3,3,6,0,0,0,0,9,0,0,5,26,14,12,13,41,24,0,32,0,33,17,27,0,0,3,0,0,0,0,20,8,21,30,9,29,7,23,10,25,19,0,9,12,0,0,0,8,0,12,0,3,0,9,14,8,0,18,14,9,17,23,20,5,9,30,9,14,11,23,3,16,0,0,11,4,0,26,0,8,4,10,11,17,3,4,4,0,17,18,13,7,10,12,8,21,0,0,13,4,0,5,0,0,0,7,0,0,0,3
Vietnam,12,103,85,33,6,64,48,149,15,0,25,0,22,33,17,93,30,0,35,45,39,17,35,19,21,8,0,0,3,0,0,0,0,38,73,27,46,51,141,135,0,132,0,136,84,115,0,0,0,0,0,0,0,9,47,62,17,30,50,12,53,37,68,58,0,17,7,0,28,0,15,10,23,0,39,0,21,10,15,0,13,26,55,25,34,24,8,14,38,18,13,52,57,4,67,0,7,17,18,0,36,0,13,4,9,7,8,5,0,14,0,20,15,10,9,13,25,15,17,16,10,8,3,0,16,0,0,0,11,0,0,0,0
Brunei,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,8,82,42,15,22,18,6,15,5,0,18,0,3,5,14,24,7,3,20,4,14,14,17,0,9,0,0,0,0,0,0,0,0,5,30,17,11,4,36,13,0,21,0,28,12,12,0,0,0,0,0,0,0,50,26,31,29,16,37,15,33,35,27,37,0,12,0,0,10,0,5,0,17,0,13,0,4,11,9,0,9,6,8,3,6,8,7,5,5,4,9,5,26,0,3,0,6,8,6,0,18,0,5,5,4,6,3,8,6,22,0,15,17,17,21,12,3,9,6,4,6,11,4,0,4,0,0,0,11,0,0,0,0
Malaysia,15,69,55,8,23,29,28,26,14,6,15,0,30,8,16,42,9,0,34,15,12,5,5,16,7,9,0,0,0,0,0,0,0,29,36,27,33,16,45,46,0,61,0,40,49,45,0,0,0,0,0,0,0,52,19,54,104,9,9,14,39,35,51,25,0,24,8,0,25,0,34,19,35,0,29,0,29,21,12,0,29,19,21,29,23,17,19,17,30,12,15,20,67,3,33,0,11,8,14,0,39,0,17,12,17,18,10,7,7,25,0,14,34,32,26,12,37,17,21,20,17,40,15,0,22,0,0,0,29,0,0,0,4
Philippines,0,125,116,53,13,74,17,68,10,5,17,0,19,41,42,62,24,0,109,12,25,9,51,27,6,4,0,0,0,0,23,0,0,43,154,82,38,45,89,104,0,61,0,112,28,76,0,0,0,0,0,0,0,24,19,62,31,13,17,11,43,19,29,48,0,10,9,0,6,0,22,7,18,0,44,0,23,10,9,0,29,54,52,38,33,59,11,34,66,33,37,60,123,3,47,0,18,22,25,0,53,0,9,18,21,19,34,6,32,25,0,28,48,21,55,18,12,56,64,3,14,131,21,0,53,0,0,0,44,0,0,0,9
Singapore,6,36,19,3,0,20,9,10,7,0,0,0,4,3,8,12,8,0,13,9,4,3,5,5,8,4,0,0,0,0,0,0,0,11,11,20,17,11,30,22,0,28,0,22,15,15,0,0,0,0,0,0,0,43,8,39,86,6,8,0,22,9,12,9,0,7,7,0,0,0,0,10,5,0,10,0,14,3,9,0,15,8,10,3,9,6,11,3,5,0,8,6,20,8,10,0,0,3,4,0,15,0,3,3,3,5,7,8,8,4,0,6,5,4,17,7,10,12,6,8,11,15,10,0,3,0,0,0,17,0,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,110,947,917,21,74,101,87,190,35,16,94,0,56,68,55,343,69,29,146,119,93,51,96,85,16,73,0,0,4,0,0,0,0,119,188,204,458,200,794,590,0,762,0,257,258,265,0,0,17,0,0,0,0,343,83,377,1038,109,148,26,180,113,264,104,0,88,10,0,52,0,68,28,89,0,101,0,82,51,42,0,98,32,76,35,19,37,50,9,55,41,40,32,129,3,48,0,12,35,28,0,78,0,32,22,49,30,40,38,29,41,0,46,48,45,99,39,82,93,96,44,31,104,54,0,62,0,0,0,102,6,0,0,19
Mongolia,0,0,10,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,7,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Japan,4,27,13,6,11,3,12,10,3,0,7,0,0,10,12,3,8,0,17,0,3,6,3,10,0,6,0,0,0,0,0,4,0,9,3,6,8,10,17,9,0,10,0,22,3,9,0,0,3,0,0,0,0,18,13,23,21,4,9,5,14,19,12,11,0,10,4,0,4,0,16,4,19,0,32,0,7,0,3,0,9,5,4,3,0,4,6,0,0,3,4,0,20,0,7,0,0,0,3,0,13,0,0,3,0,3,8,4,9,9,0,7,27,8,21,12,3,0,8,0,5,14,0,0,0,0,0,0,6,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,10,108,105,3,5,13,11,18,0,0,19,0,11,4,11,23,3,0,3,19,10,0,7,13,5,0,0,0,3,0,0,0,0,22,44,44,28,42,187,241,0,171,0,62,36,54,0,0,7,0,0,0,0,23,11,99,88,16,15,12,45,18,50,42,0,17,5,0,23,0,3,3,29,0,28,0,9,11,19,0,26,0,3,6,0,0,9,4,9,3,10,16,20,0,6,0,3,0,0,0,20,0,4,4,0,0,5,14,4,4,0,15,21,8,15,12,4,27,14,0,8,48,7,0,13,0,0,0,14,0,0,0,4
Bangladesh,0,46,27,7,0,14,8,15,4,0,0,0,20,3,18,19,0,6,50,10,0,0,8,14,0,6,0,0,0,0,0,0,0,14,87,39,70,26,117,41,0,110,0,42,29,34,0,0,11,0,0,0,0,14,0,10,18,3,3,0,20,16,17,10,0,7,0,0,0,0,0,0,8,0,19,0,10,5,0,0,3,6,18,0,3,7,0,0,19,0,8,7,8,0,10,0,0,0,0,0,4,0,0,0,0,6,10,0,10,3,0,13,0,8,3,6,11,20,14,3,7,11,4,0,21,0,0,0,31,0,0,0,0
Bhutan,9,0,5,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,3,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,27,90,13,65,51,3,84,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,0,15,0,30,23,0,0,42,0,0,0,0,0,0,0,0,0,0,0
India,15,404,238,15,30,136,57,108,13,9,27,0,65,20,84,135,29,14,218,57,44,30,82,69,7,40,0,0,7,0,0,0,0,160,638,227,280,202,455,368,0,540,0,305,117,150,0,0,94,0,22,0,0,100,39,112,96,20,44,14,116,64,93,107,0,22,7,0,20,0,59,24,78,0,91,0,60,27,16,0,71,47,153,97,61,43,29,30,152,36,257,117,173,10,131,0,28,28,35,0,125,0,29,19,26,24,23,32,35,50,0,98,113,68,192,57,81,133,208,23,75,437,58,0,141,0,0,0,141,4,0,0,13
Nepal,0,26,13,0,0,3,7,19,0,0,3,0,3,3,4,0,0,11,24,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6,24,32,25,12,55,21,0,30,0,15,4,9,0,0,6,0,0,0,0,5,5,29,0,3,4,0,17,7,33,19,0,5,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,4,4,0,5,0,0,0,0,3,8,0,12,0,0,0,0,0,0,0,11,0,3,0,7,0,6,0,0,4,0,12,26,7,16,4,18,17,22,0,12,5,3,0,27,0,0,0,15,0,0,0,0
Pakistan,0,61,38,8,17,40,15,53,0,0,12,0,45,16,17,50,22,0,53,31,9,7,21,20,6,11,0,0,0,0,6,0,0,19,156,68,73,15,80,47,0,112,0,110,32,62,0,0,6,0,3,0,0,17,3,16,8,7,9,18,24,15,41,20,0,13,16,0,3,0,7,3,22,0,12,0,10,3,0,0,8,17,3,10,6,4,0,0,21,7,8,9,21,0,12,0,0,0,7,0,40,0,0,11,0,9,0,3,4,25,0,27,8,15,15,0,6,14,22,5,0,18,8,0,18,0,0,0,16,0,0,0,3
Sri Lanka,17,46,72,4,24,20,13,48,0,4,10,0,14,19,12,67,0,0,60,23,21,19,26,8,0,0,0,0,0,0,0,0,0,50,158,81,47,53,141,39,0,78,0,124,71,52,0,0,15,0,0,0,0,18,13,30,22,6,11,12,28,19,27,25,0,12,0,0,10,0,24,7,37,0,44,0,27,10,0,0,18,34,22,29,15,26,15,6,75,19,24,29,66,6,65,0,13,5,25,0,23,0,6,0,4,11,16,9,14,19,0,17,26,17,35,12,65,17,33,23,16,31,24,0,27,0,0,0,42,0,0,0,0
Afghanistan,0,10,6,5,0,51,0,14,0,0,3,0,5,0,5,8,0,0,14,4,0,6,7,9,0,0,0,0,0,0,4,0,0,7,20,5,16,3,21,12,0,7,0,20,7,6,0,0,10,0,0,0,0,0,8,8,0,10,12,3,5,4,0,8,0,0,0,0,4,0,0,0,4,0,5,0,3,0,0,0,4,8,0,0,4,0,0,0,4,8,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,6,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
