Country,Adelaide,North Adelaide,Adelaide Hills,Aldgate - Stirling,Hahndorf - Echunga,Lobethal - Woodside,Mount Barker,Mount Barker Region,Nairne,Uraidla - Summertown,Burnside - Wattle Park,Glenside - Beaumont,Toorak Gardens,Athelstone,Paradise - Newton,Rostrevor - Magill,Norwood (SA),Payneham - Felixstow,St Peters - Marden,Nailsworth - Broadview,Prospect,Walkerville,Goodwood - Millswood,Unley - Parkside,Gawler - North,Gawler - South,Lewiston - Two Wells,Craigmore - Blakeview,Davoren Park,Elizabeth,Elizabeth East,Munno Para West - Angle Vale,One Tree Hill,Smithfield - Elizabeth North,Virginia - Waterloo Corner,Enfield - Blair Athol,Northgate - Oakden - Gilles Plains,Windsor Gardens,Dry Creek - North,Ingle Farm,Para Hills,Parafield,Parafield Gardens,Paralowie,Salisbury,Salisbury East,Salisbury North,Mawson Lakes - Globe Derby Park,Pooraka - Cavan,Golden Grove,Greenwith,Highbury - Dernancourt,Hope Valley - Modbury,Modbury Heights,Redwood Park,St Agnes - Ridgehaven,Brighton (SA),Glenelg (SA),Edwardstown,Hallett Cove,Marino - Seaview Downs,Mitchell Park,Morphettville,Sheidow Park - Trott Park,Warradale,Belair,Bellevue Heights,Blackwood,Colonel Light Gardens,Mitcham (SA),Panorama,Aberfoyle Park,Aldinga,Christie Downs,Christies Beach,Clarendon,Coromandel Valley,Flagstaff Hill,Hackham - Onkaparinga Hills,Hackham West - Huntfield Heights,Happy Valley,Happy Valley Reservoir,Lonsdale,McLaren Vale,Morphett Vale - East,Morphett Vale - West,Reynella,Seaford (SA),Willunga,Woodcroft,Beverley,Flinders Park,Henley Beach,Hindmarsh - Brompton,Royal Park - Hendon - Albert Park,Seaton - Grange,West Lakes,Woodville - Cheltenham,Dry Creek - South,Largs Bay - Semaphore,North Haven,Port Adelaide,The Parks,Torrens Island,Adelaide Airport,Fulham,Lockleys,Plympton,Richmond (SA),West Beach,Barossa - Angaston,Light,Lyndoch,Mallala,Nuriootpa,Tanunda,Clare,Gilbert Valley,Goyder,Wakefield - Barunga West,Jamestown,Peterborough - Mount Remarkable,Port Pirie,Port Pirie Region,Kadina,Moonta,Wallaroo,Yorke Peninsula - North,Yorke Peninsula - South,Ceduna,Eyre Peninsula,Kimba - Cleve - Franklin Harbour,Le Hunte - Elliston,Port Lincoln,West Coast (SA),Western,Whyalla,Whyalla - North,APY Lands,Coober Pedy,Quorn - Lake Gilles,Outback,Port Augusta,Roxby Downs,Goolwa - Port Elliot,Kangaroo Island,Strathalbyn,Strathalbyn Region,Victor Harbor,Yankalilla,Grant,Kingston - Robe,Millicent,Naracoorte,Naracoorte Region,Penola,Tatiara,Wattle Range,Mount Gambier - East,Mount Gambier - West,Barmera,Berri,Karoonda - Lameroo,Loxton,Loxton Region,Mannum,Murray Bridge,Murray Bridge Region,Renmark,Renmark Region,The Coorong,Waikerie,Migratory - Offshore - Shipping (SA),No Usual Address (SA)
Bahrain,0,0,0,0,0,0,4,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,97,40,0,15,0,9,7,0,0,13,133,52,102,43,185,114,65,74,52,23,49,48,60,82,0,14,0,3,11,29,26,11,0,15,0,257,177,127,0,75,93,0,62,46,57,45,41,88,34,32,19,28,99,56,18,20,49,58,53,53,64,144,55,44,143,9,24,15,46,34,58,41,9,16,5,3,8,57,8,7,23,0,0,0,19,26,7,0,0,43,19,39,37,76,5,46,19,37,0,5,5,35,47,0,0,0,50,90,75,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,6,3,0,0,0,4,0,7
Iraq,16,4,0,0,0,0,0,0,0,4,9,4,5,15,26,17,14,13,8,13,21,3,6,9,0,3,0,4,10,14,9,6,0,17,0,111,85,28,0,74,42,0,57,26,43,34,9,49,59,14,6,12,38,13,7,7,9,5,9,3,0,23,9,5,21,0,17,3,3,0,9,3,5,3,0,0,0,4,0,7,0,0,0,0,12,0,3,11,0,12,3,33,9,22,4,35,5,43,0,8,0,20,67,0,0,0,25,48,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0
Israel,3,0,0,10,0,3,0,4,0,4,5,8,6,0,9,9,8,3,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,7,0,0,0,5,0,0,3,0,0,3,0,7,4,0,0,3,0,0,0,0,4,0,0,4,3,3,5,0,5,0,10,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,8,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,4,5,0,0,0,0,3,0,0,0,0,0,0,7,4,0,0,0,0,8,0,0,0,3,8,0,7,3,5,0,0,9,4,4,0,0,3,0,0,0,0,0,5,7,0,4,3,6,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,7,0,7,0,13,0,0,0,0,11,0,0,0,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,8,0,0,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,8,7,0,6,0,0,6,5,0,3,5,11,0,0,0,0,3,0,0,3,0,4,0,0,0,4,9,5,5,0,0,0,4,8,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,18,0,0,0,0,0,0,0,0,3,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,12,6,3,3,0,0,0,0,5,3,48,14,16,40,52,70,6,19,7,5,14,6,9,10,0,5,0,3,4,4,13,10,0,0,8,51,57,20,0,36,62,0,26,9,28,34,18,15,7,11,0,26,32,16,11,19,7,9,28,9,18,24,16,0,10,5,31,5,31,11,52,6,0,7,7,0,0,9,7,21,3,0,0,5,27,30,18,0,0,22,10,5,6,18,6,20,11,23,0,5,3,4,22,0,0,4,16,35,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,15,0,0,0,3,0,0,0
Oman,50,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,126,13,0,0,0,0,0,0,5,0,0,5,3,0,10,7,8,3,16,5,5,0,10,9,0,0,0,0,0,0,3,0,0,4,0,20,26,7,0,5,4,0,12,0,0,0,4,48,0,0,0,0,10,4,0,3,10,12,83,0,11,189,35,0,234,0,23,5,6,0,7,5,0,0,0,0,0,5,0,0,5,0,0,0,3,0,0,0,0,4,11,9,4,31,0,4,0,27,0,8,0,4,14,0,0,6,8,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,12,0,0,4,0,0,0,0,0,0,4,3,0,11,8,19,0,0,0,0,6,0,4,0,0,0,0,0,0,103,46,0,0,3,0,15,17,16,0,6,45,0,19,54,39,6,51,6,28,3,0,0,6,12,0,4,3,0,14,3,0,32,18,0,31,0,0,0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,25,0,5,12,8,0,0,0,0,8,0,0,0,5,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Turkey,9,5,0,4,0,0,0,0,0,4,33,0,4,4,17,18,17,24,4,0,7,0,3,12,0,0,0,3,5,5,9,0,0,4,17,6,27,8,0,5,16,0,8,3,13,0,6,11,0,0,0,11,14,10,0,6,4,5,3,3,13,4,0,0,7,0,0,3,5,4,5,4,0,7,0,0,0,4,0,0,0,0,0,0,5,4,0,3,0,0,5,12,12,13,0,3,0,6,0,0,3,0,9,0,0,3,4,5,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,29,0,16,16,0,0,0,0
United Arab Emirates,15,5,0,3,0,6,0,0,0,5,8,9,20,3,7,7,0,8,3,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,7,11,8,0,0,5,0,0,0,7,3,0,15,3,3,0,3,4,0,0,0,3,0,13,0,5,18,5,7,9,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,4,0,4,3,0,12,0,6,0,8,0,0,0,0,10,0,0,0,5,12,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
