Country,Alfredton,Ballarat,Ballarat - North,Ballarat - South,Buninyong,Delacombe,Smythes Creek,Wendouree - Miners Rest,Bacchus Marsh Region,Creswick - Clunes,Daylesford,Gordon (Vic.),Avoca,Beaufort,Golden Plains - North,Maryborough (Vic.),Maryborough Region,Bendigo,California Gully - Eaglehawk,East Bendigo - Kennington,Flora Hill - Spring Gully,Kangaroo Flat - Golden Square,Maiden Gully,Strathfieldsaye,White Hills - Ascot,Bendigo Region - South,Castlemaine,Castlemaine Region,Heathcote,Kyneton,Woodend,Bendigo Region - North,Loddon,Bannockburn,Golden Plains - South,Winchelsea,Belmont,Corio - Norlane,Geelong,Geelong West - Hamlyn Heights,Grovedale,Highton,Lara,Leopold,Newcomb - Moolap,Newtown (Vic.),North Geelong - Bell Park,Clifton Springs,Lorne - Anglesea,Ocean Grove - Barwon Heads,Portarlington,Point Lonsdale - Queenscliff,Torquay,Alexandra,Euroa,Kilmore - Broadford,Mansfield (Vic.),Nagambie,Seymour,Seymour Region,Upper Yarra Valley,Yea,Benalla,Benalla Region,Rutherglen,Wangaratta,Wangaratta Region,Beechworth,Bright - Mount Beauty,Chiltern - Indigo Valley,Myrtleford,Towong,West Wodonga,Wodonga,Yackandandah,Drouin,Mount Baw Baw Region,Trafalgar (Vic.),Warragul,Alps - East,Bairnsdale,Bruthen - Omeo,Lake King,Lakes Entrance,Orbost,Paynesville,Foster,French Island,Korumburra,Leongatha,Phillip Island,Wilsons Promontory,Wonthaggi - Inverloch,Churchill,Moe - Newborough,Morwell,Traralgon,Yallourn North - Glengarry,Alps - West,Longford - Loch Sport,Maffra,Rosedale,Sale,Yarram,Brunswick,Brunswick East,Brunswick West,Coburg,Pascoe Vale South,Alphington - Fairfield,Northcote,Thornbury,Ascot Vale,Essendon - Aberfeldie,Flemington,Moonee Ponds,Carlton,Docklands,East Melbourne,Flemington Racecourse,Kensington (Vic.),Melbourne,North Melbourne,Parkville,South Yarra - West,Southbank,West Melbourne,Albert Park,Elwood,Port Melbourne,Port Melbourne Industrial,South Melbourne,St Kilda,St Kilda East,Armadale,Prahran - Windsor,South Yarra - East,Toorak,Abbotsford,Carlton North - Princes Hill,Collingwood,Fitzroy,Fitzroy North,Richmond (Vic.),Yarra - North,Ashburton (Vic.),Balwyn,Balwyn North,Camberwell,Glen Iris - East,Hawthorn,Hawthorn East,Kew,Kew East,Surrey Hills (West) - Canterbury,Bulleen,Doncaster,Templestowe,Templestowe Lower,Doncaster East (North),Doncaster East (South),Blackburn,Blackburn South,Box Hill,Box Hill North,Burwood,Burwood East,Surrey Hills (East) - Mont Albert,Beaumaris,Brighton (Vic.),Brighton East,Cheltenham - Highett (West),Hampton,Sandringham - Black Rock,Bentleigh - McKinnon,Carnegie,Caulfield - North,Caulfield - South,Elsternwick,Hughesdale,Murrumbeena,Ormond - Glen Huntly,Bentleigh East (North),Bentleigh East (South),Aspendale Gardens - Waterways,Braeside,Carrum - Patterson Lakes,Chelsea - Bonbeach,Chelsea Heights,Cheltenham - Highett (East),Edithvale - Aspendale,Mentone,Moorabbin - Heatherton,Moorabbin Airport,Mordialloc - Parkdale,Malvern - Glen Iris,Malvern East,Bundoora - East,Greensborough,Heidelberg - Rosanna,Heidelberg West,Ivanhoe,Ivanhoe East - Eaglemont,Montmorency - Briar Hill,Viewbank - Yallambie,Watsonia,Kingsbury,Reservoir - East,Reservoir - West,Preston - East,Preston - West,Eltham,Hurstbridge,Kinglake,Panton Hill - St Andrews,Plenty - Yarrambat,Research - North Warrandyte,Wattle Glen - Diamond Creek,Bundoora - North,Bundoora - West,Lalor,Mill Park - North,Mill Park - South,Thomastown,Wallan,Whittlesea,Doreen,Epping - East,Epping - South,Epping - West,Mernda,South Morang (North),South Morang (South),Wollert,Airport West,Essendon Airport,Keilor,Keilor East,Niddrie - Essendon West,Strathmore,Gisborne,Macedon,Riddells Creek,Romsey,Coburg North,Fawkner,Pascoe Vale,Glenroy,Gowanbrae,Hadfield,Sunbury,Sunbury - South,Broadmeadows,Campbellfield - Coolaroo,Gladstone Park - Westmeadows,Greenvale - Bulla,Meadow Heights,Melbourne Airport,Roxburgh Park - Somerton,Tullamarine,Craigieburn - Central,Craigieburn - North,Craigieburn - South,Craigieburn - West,Mickleham - Yuroke,Bayswater,Knoxfield - Scoresby,Lysterfield,Rowville - Central,Rowville - North,Rowville - South,Wantirna,Wantirna South,Boronia,Ferntree Gully (North),Ferntree Gully (South) - Upper Ferntree Gully,The Basin,Donvale - Park Orchards,Warrandyte - Wonga Park,Bayswater North,Croydon Hills - Warranwood,Ringwood,Ringwood East,Ringwood North,Croydon - East,Croydon - West,Croydon South,Forest Hill,Mitcham (Vic.),Nunawading,Vermont,Vermont South,Belgrave - Selby,Chirnside Park,Healesville - Yarra Glen,Kilsyth,Lilydale - Coldstream,Monbulk - Silvan,Montrose,Mooroolbark,Mount Dandenong - Olinda,Mount Evelyn,Upwey - Tecoma,Wandin - Seville,Yarra Valley,Beaconsfield - Officer,Bunyip - Garfield,Emerald - Cockatoo,Koo Wee Rup,Pakenham - North,Pakenham - South,Berwick - North,Berwick - South,Doveton,Hallam,Narre Warren North,Endeavour Hills - North,Endeavour Hills - South,Narre Warren - North East,Narre Warren - South West,Cranbourne,Cranbourne East,Cranbourne North,Cranbourne South,Cranbourne West,Hampton Park - Lynbrook,Lynbrook - Lyndhurst,Pearcedale - Tooradin,Narre Warren South (East),Narre Warren South (West),Clarinda - Oakleigh South,Clayton South,Dandenong,Dandenong North,Dingley Village,Keysborough,Noble Park North,Springvale,Springvale South,Noble Park - East,Noble Park - West,Ashwood - Chadstone,Clayton,Glen Waverley - East,Glen Waverley - West,Mount Waverley - North,Mount Waverley - South,Mulgrave,Oakleigh - Huntingdale,Wheelers Hill,Ardeer - Albion,Cairnlea,Deer Park - Derrimut,Delahey,Keilor Downs,Kings Park (Vic.),St Albans - North,St Albans - South,Sunshine,Sunshine North,Sunshine West,Sydenham,Taylors Lakes,Altona,Altona Meadows,Altona North,Newport,Seabrook,Williamstown,Braybrook,Footscray,Maribyrnong,Seddon - Kingsville,West Footscray - Tottenham,Yarraville,Bacchus Marsh,Hillside,Melton,Melton South,Melton West,Rockbank - Mount Cottrell,Taylors Hill,Burnside,Burnside Heights,Caroline Springs,Hoppers Crossing - North,Hoppers Crossing - South,Laverton,Tarneit,Truganina,Werribee - South,Wyndham Vale,Point Cook - East,Point Cook - North,Point Cook - South,Werribee - East,Werribee - West,Carrum Downs,Frankston,Frankston North,Frankston South,Langwarrin,Seaford (Vic.),Skye - Sandhurst,Dromana,Flinders,Hastings - Somers,Mornington,Mount Eliza,Mount Martha,Point Nepean,Rosebud - McCrae,Somerville,Ararat,Ararat Region,Horsham,Horsham Region,Nhill Region,St Arnaud,Stawell,West Wimmera,Yarriambiack,Irymple,Merbein,Mildura Region,Red Cliffs,Mildura - North,Mildura - South,Buloke,Gannawarra,Kerang,Robinvale,Swan Hill,Swan Hill Region,Echuca,Kyabram,Lockington - Gunbower,Rochester,Rushworth,Cobram,Moira,Numurkah,Yarrawonga,Mooroopna,Shepparton - North,Shepparton - South,Shepparton Region - East,Shepparton Region - West,Glenelg (Vic.),Hamilton (Vic.),Portland,Southern Grampians,Camperdown,Colac,Colac Region,Corangamite - North,Corangamite - South,Otway,Moyne - East,Moyne - West,Warrnambool - North,Warrnambool - South,Migratory - Offshore - Shipping (Vic.),No Usual Address (Vic.)
Bahrain,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,3,0,0,5,10,8,5,0,0,0,0,4,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,6,0,0,5,6,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,3,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,9,5,6,0,10,0,0,6,3,0,0,3,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,3,3,0,0,4,0,5,0,0,4,3,0,0,5,0,0,3,0,0,3,4,0,0,5,0,0,0,5,7,4,3,4,3,6,0,3,0,4,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,3,0,5,3,0,0,4,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,6,4,17,26,0,0,0,3,0,0,5,0,0,0,0,0,0,4,0,7,4,25,0,0,4,0,8,0,0,0,0,0,0,0,0,6,45,130,23,53,60,93,6,4,0,13,22,0,0,4,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,15,0,5,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,10,0,0,0,0,5,4,0,61,44,57,64,14,21,34,63,37,77,80,16,76,64,27,0,15,92,89,62,21,118,0,45,21,29,0,52,83,35,27,41,88,50,29,14,16,9,17,57,5,21,73,121,53,30,109,66,119,27,24,131,478,320,200,240,411,179,55,107,95,45,51,20,12,15,24,13,9,16,23,38,35,12,5,5,18,24,28,28,21,0,3,7,0,34,9,26,18,0,23,48,45,50,105,82,107,42,15,50,95,26,85,182,109,52,35,56,0,0,6,12,6,17,70,58,295,167,92,239,6,5,38,161,75,118,96,79,114,62,16,0,27,232,14,6,6,0,0,0,14,38,135,189,9,13,7,8,275,94,87,73,63,0,82,23,16,39,31,56,4,65,78,10,86,32,40,45,62,76,49,33,8,157,17,29,32,169,113,38,64,55,4,90,147,97,49,52,7,22,4,19,3,0,6,45,5,0,0,0,0,6,5,3,0,27,18,18,76,124,73,3,39,58,83,88,31,32,35,0,29,97,25,0,28,47,6,35,564,149,6,24,20,30,10,62,46,50,155,91,67,51,69,54,32,78,71,11,42,9,21,37,77,39,76,42,104,22,11,11,62,31,23,15,20,70,57,59,11,22,12,0,32,23,11,4,7,35,12,16,33,25,57,19,43,33,30,29,41,83,43,78,23,7,24,6,11,4,8,6,0,0,0,8,10,3,4,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,23,7,0,4,0,0,3,0,0,3,0,0,0,3,0,0,0,0,50,64,0,5,0,0,4,0,0,11,0,0,0,0,0,0,3,0,0,21
Iraq,12,10,3,4,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,10,6,3,0,0,6,0,8,0,0,0,0,0,0,0,0,0,9,93,13,0,5,34,16,0,9,9,34,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,20,12,10,34,5,0,6,20,17,18,7,11,16,5,0,0,0,13,14,7,0,5,0,4,7,6,0,3,17,10,4,13,6,8,0,5,4,0,0,6,3,0,0,14,3,8,98,37,13,0,0,10,19,33,10,28,14,0,0,16,19,3,0,0,0,5,0,3,7,0,5,7,5,10,5,0,7,3,0,5,0,0,0,9,0,9,0,0,3,0,9,0,6,22,8,16,32,5,0,0,5,8,45,103,124,24,9,0,0,0,0,14,0,0,31,10,653,163,60,391,35,3,19,204,105,237,80,94,112,151,0,0,11,37,3,15,0,0,0,6,30,277,79,209,23,32,6,10,669,1347,210,485,1379,0,3718,36,274,470,1133,847,62,0,36,0,19,8,13,7,46,0,7,3,0,5,4,4,6,23,4,3,10,0,0,3,8,3,8,10,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,9,9,13,16,46,60,6,42,48,23,28,12,22,11,0,16,168,21,0,41,78,32,19,122,90,20,42,10,16,3,8,26,11,45,8,26,10,28,21,23,13,17,12,145,25,39,12,75,25,17,15,25,21,24,9,26,16,5,3,0,32,25,23,8,4,4,4,58,0,28,12,11,53,69,29,97,43,18,6,70,33,10,20,11,34,6,40,7,3,8,4,0,6,0,8,0,3,0,3,7,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,0,0,26,16,0,0,0,0,9,0,0,3,0,0,0,55,0,4,0,0,61,401,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,9,0,3,6,7,5,4,0,3,11,6,4,0,8,7,7,0,9,8,0,15,45,7,0,10,58,144,24,23,32,47,3,0,6,13,10,14,5,20,5,9,4,25,12,13,8,6,8,0,12,12,6,9,0,0,0,3,5,6,3,0,3,46,120,12,28,8,183,122,549,484,139,11,26,166,291,207,9,0,0,4,0,67,5,34,40,0,25,31,38,0,0,0,0,15,0,6,6,0,8,5,0,5,0,4,0,3,0,0,0,4,0,0,0,8,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,7,0,0,0,9,0,6,6,3,4,0,3,0,0,0,0,0,0,0,0,3,6,0,8,5,3,6,5,4,0,3,0,4,5,4,6,0,0,5,0,3,6,3,4,7,11,0,0,3,0,0,4,4,16,0,8,0,0,0,0,9,0,0,6,23,9,0,0,5,11,12,6,7,9,0,9,6,0,0,0,0,0,0,44,12,8,24,25,8,7,9,0,3,3,32,9,10,9,21,8,17,33,10,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,3,0,3,0,3,0,0,6,0,0,4,0,0,0,0,0,0,0,0,3,3,0,3,5,4,3,7,15,4,3,0,4,3,4,0,0,10,9,3,0,0,3,7,8,0,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3
Jordan,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,4,0,0,0,9,3,0,0,0,4,12,0,0,8,0,6,0,0,0,5,0,0,0,5,5,0,6,4,0,5,0,3,0,0,0,0,0,0,0,0,5,0,0,0,7,0,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,13,5,3,0,4,0,5,0,3,15,7,0,3,0,0,0,0,0,0,0,5,0,7,5,0,7,0,0,3,15,0,12,3,0,3,3,0,0,0,8,0,0,0,0,0,0,0,5,6,4,0,3,0,0,9,17,9,17,22,0,63,0,0,6,27,10,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,8,7,4,3,15,18,6,4,3,0,3,0,0,3,0,0,5,3,0,0,3,9,4,7,0,0,0,4,0,3,8,4,0,0,0,5,0,4,0,0,3,4,5,5,0,0,0,0,0,11,0,0,3,5,0,0,0,0,5,4,0,0,0,0,16,0,0,0,0,18,0,0,5,0,4,4,13,14,0,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,11,11,5,0,4,0,0,0,9,7,7,21,4,0,8,71,5,0,0,21,0,6,5,0,0,8,5,0,0,6,3,0,5,0,0,0,0,3,0,3,0,12,0,4,21,3,4,0,0,0,13,16,11,29,23,5,0,9,0,6,0,0,0,4,0,0,5,0,3,4,3,0,0,0,3,4,3,6,0,0,0,0,0,4,0,6,3,0,5,4,0,10,5,8,9,0,0,3,6,0,7,25,8,16,11,0,0,0,0,3,0,0,14,4,20,18,5,39,6,0,8,19,11,28,23,8,3,10,0,0,0,6,4,0,0,0,0,0,0,8,12,13,4,4,0,5,16,43,6,12,34,0,65,0,7,7,15,13,0,0,0,0,0,3,0,0,0,0,0,0,0,5,8,0,3,0,3,0,3,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,13,0,3,0,6,4,0,7,7,14,11,0,0,15,3,0,6,7,9,4,12,17,0,9,0,0,0,3,0,4,13,6,9,3,3,10,5,4,8,0,10,0,0,0,0,3,0,0,7,5,3,0,4,3,3,0,0,17,15,32,0,6,3,0,14,0,8,7,0,6,3,3,9,0,5,7,22,15,0,5,4,18,6,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Lebanon,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,13,0,0,0,0,0,5,5,0,0,10,7,4,7,17,14,23,0,0,4,14,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,5,11,0,228,81,105,623,85,22,79,145,19,58,18,24,18,9,5,0,15,21,19,3,0,18,0,10,16,16,0,12,14,11,3,12,22,11,0,7,8,9,30,11,9,12,12,28,27,7,15,3,20,7,5,60,62,88,67,46,36,11,11,8,16,3,11,4,12,22,17,21,18,16,31,11,16,17,7,3,7,12,17,40,13,0,7,21,16,30,3,16,30,0,11,19,14,50,34,30,127,22,27,12,56,14,23,211,408,160,121,13,0,0,0,17,4,4,45,49,425,174,96,323,24,6,35,119,72,81,53,46,79,55,12,0,48,121,28,22,0,0,0,9,134,394,227,523,12,234,10,32,589,849,260,244,549,0,502,102,53,75,102,89,24,4,13,11,38,19,32,12,20,15,7,8,0,33,5,14,15,3,0,9,17,18,5,15,3,0,7,18,0,11,5,10,5,0,3,25,0,6,0,0,0,10,0,4,0,3,26,22,52,40,35,17,78,100,62,36,28,35,21,17,14,52,28,3,32,15,77,30,85,299,34,64,46,12,16,25,39,33,17,11,23,9,9,52,25,54,15,24,55,43,132,53,89,76,18,23,45,49,135,17,178,517,161,43,47,22,6,17,8,24,35,6,103,23,29,27,17,79,3,21,40,186,148,44,130,182,9,11,17,89,7,65,28,33,19,28,19,25,6,14,7,0,12,8,9,0,0,8,4,5,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,6,0,0,0,0,0,0,0,0,4,5,0,0,0,23,6,0,0,13,0,0,0,3,0,0,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,4,31,11,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,12,4,4,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,4,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,4,0,3,3,0,3,7,0,0,6,12,0,3,0,0,16,3,3,0,10,0,0,0,0,6,4,37,10,8,0,3,3,8,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,3,6,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,0,0,5,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,6,3,0,4,0,3,0,0,4,3,12,4,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,9,0,0,0,0,0,0,0,8,3,3,5,16,12,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,3,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,23,24,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,4,66,0,0,10,4,14,7,49,8,28,106,4,0,5,170,39,13,0,146,0,21,0,0,0,8,19,7,0,8,43,0,16,7,8,11,4,9,0,4,0,0,25,6,139,65,5,0,0,3,20,6,3,5,10,9,9,7,9,25,9,6,0,0,0,0,7,0,0,12,0,0,0,5,10,0,3,0,0,0,0,0,0,3,0,5,0,0,0,9,10,9,7,13,31,6,0,4,13,4,118,228,299,188,52,0,0,0,0,0,0,0,150,38,14,15,29,62,0,0,6,15,4,18,8,10,18,11,0,0,0,15,0,6,0,0,0,0,10,38,53,42,0,11,4,0,20,19,7,16,8,0,54,6,4,6,16,16,0,5,10,0,0,0,4,4,5,0,0,4,0,0,0,0,0,8,0,4,3,4,0,5,6,6,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,19,4,0,12,15,9,10,0,0,5,11,0,6,8,11,0,0,11,10,262,30,15,0,4,9,46,4,12,13,24,71,4,8,4,7,43,17,5,0,4,13,0,0,0,0,3,5,0,4,11,5,11,9,14,3,0,0,17,11,10,0,3,0,0,0,0,3,3,0,8,0,0,11,8,23,9,35,62,0,7,3,4,10,5,0,4,13,0,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
