Country,Augusta,Busselton,Busselton Region,Margaret River,Australind - Leschenault,Capel,College Grove - Carey Park,Collie,Dardanup,Davenport,Eaton - Pelican Point,Harvey,East Bunbury - Glen Iris,Waroona,Dalyellup,Gelorup - Stratham,South Bunbury - Bunbury,Withers - Usher,Bridgetown - Boyup Brook,Donnybrook - Balingup,Manjimup,Pemberton,Dawesville - Bouvard,Falcon - Wannanup,Greenfields,Halls Head - Erskine,Mandurah,Mandurah - East,Mandurah - North,Mandurah - South,Pinjarra,City Beach,Claremont (WA),Cottesloe,Floreat,Mosman Park - Peppermint Grove,Nedlands - Dalkeith - Crawley,Swanbourne - Mount Claremont,Kings Park (WA),Mount Hawthorn - Leederville,Mount Lawley - Inglewood,North Perth,Perth City,Subiaco - Shenton Park,Wembley - West Leederville - Glendalough,Bassendean - Eden Hill - Ashfield,Bayswater - Embleton - Bedford,Maylands,Morley,Noranda,Chidlow,Glen Forrest - Darlington,Helena Valley - Koongamia,Malmalling - Reservoir,Mundaring,Swan View - Greenmount - Midvale,Avon Valley National Park,Ballajura,Beechboro,Bullsbrook,Ellenbrook,Gidgegannup,Hazelmere - Guildford,Lockridge - Kiara,Malaga,Melaleuca - Lexia,Middle Swan - Herne Hill,Midland - Guildford,Stratton - Jane Brook,The Vines,Walyunga National Park,Craigie - Beldon,Currambine - Kinross,Duncraig,Greenwood - Warwick,Heathridge - Connolly,Hillarys,Iluka - Burns Beach,Joondalup - Edgewater,Kingsley,Mullaloo - Kallaroo,Ocean Reef,Padbury,Sorrento - Marmion,Woodvale,Balcatta - Hamersley,Balga - Mirrabooka,Dianella,Herdsman,Innaloo - Doubleview,Karrinyup - Gwelup - Carine,Nollamara - Westminster,Osborne Park Industrial,Scarborough,Stirling - Osborne Park,Trigg - North Beach - Watermans Bay,Tuart Hill - Joondanna,Wembley Downs - Churchlands - Woodlands,Yokine - Coolbinia - Menora,Alexander Heights - Koondoola,Butler - Merriwa - Ridgewood,Carramar,Clarkson,Girrawheen,Madeley - Darch - Landsdale,Marangaroo,Mindarie - Quinns Rocks - Jindalee,Neerabup National Park,Tapping - Ashby - Sinagra,Wanneroo,Alkimos - Eglinton,Carabooda - Pinjar,Two Rocks,Yanchep,Armadale - Wungong - Brookdale,Ashendon - Lesley,Camillo - Champion Lakes,Forrestdale - Harrisdale - Piara Waters,Kelmscott,Mount Nasura - Mount Richon - Bedfordale,Roleystone,Seville Grove,Belmont - Ascot - Redcliffe,East Victoria Park - Carlisle,Kewdale Commercial,Perth Airport,Rivervale - Kewdale - Cloverdale,Victoria Park - Lathlain - Burswood,Bentley - Wilson - St James,Canning Vale - West,Canning Vale Commercial,Cannington - Queens Park,Parkwood - Ferndale - Lynwood,Riverton - Shelley - Rossmoyne,Welshpool,Willetton,Beckenham - Kenwick - Langford,Canning Vale - East,Gosnells,Huntingdale - Southern River,Maddington - Orange Grove - Martin,Thornlie,Forrestfield - Wattle Grove,High Wycombe,Kalamunda - Maida Vale - Gooseberry Hill,Lesmurdie - Bickley - Carmel,Byford,Mundijong,Serpentine - Jarrahdale,Como,Manning - Waterford,South Perth - Kensington,Banjup,Bibra Industrial,Bibra Lake,Coogee,Coolbellup,Hamilton Hill,Henderson,North Coogee,South Lake - Cockburn Central,Spearwood,Success - Hammond Park,Yangebup,Beeliar - Wattleup,Jandakot,East Fremantle,Fremantle,Fremantle - South,O'Connor (WA),Bertram - Wellard (West),Calista,Hope Valley - Postans,Kwinana Industrial,Parmelia - Orelia,Casuarina - Wandi,Applecross - Ardross,Bateman,Bicton - Palmyra,Booragoon,Bull Creek,Leeming,Melville,Murdoch - Kardinya,Willagee,Winthrop,Baldivis,Cooloongup,Port Kennedy,Rockingham,Rockingham Lakes,Safety Bay - Shoalwater,Singleton - Golden Bay - Secret Harbour,Waikiki,Warnbro,Albany,Albany Region,Bayonet Head - Lower King,Denmark,Gnowangerup,Katanning,Kojonup,Little Grove - Elleker,McKail - Willyung,Plantagenet,Stirling Range National Park,Chittering,Cunderdin,Dowerin,Gingin - Dandaragan,Merredin,Moora,Mukinbudin,Northam,Toodyay,York - Beverley,Brookton,Kulin,Murray,Narrogin,Wagin,Broome,Derby - West Kimberley,Halls Creek,Kununurra,Roebuck,East Pilbara,Newman,Port Hedland,South Hedland,Ashburton (WA),Karratha,Roebourne,Esperance,Esperance Region,Carnarvon,Exmouth,Boulder,Kalgoorlie,Kalgoorlie - North,Kalgoorlie Airport,Kambalda - Coolgardie - Norseman,Leinster - Leonora,Trafalgar (WA),Geraldton,Geraldton - East,Geraldton - North,Geraldton - South,Irwin,Meekatharra,Morawa,Northampton - Mullewa - Greenough,Migratory - Offshore - Shipping (WA),No Usual Address (WA)
Bahrain,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,11,4,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,3,4,0,0,3,7,6,0,0,0,0,0,0,0,6,0,5,0,5,5,8,0,0,3,8,4,0,4,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0,0,3,0,8,0,0,3,0,0,8,0,8,0,11,0,17,4,0,0,0,0,0,3,4,37,36,0,10,9,0,5,24,8,7,35,55,17,0,31,48,13,300,64,69,10,60,48,102,29,0,3,0,0,0,6,0,95,97,0,42,0,3,15,0,0,0,15,4,5,0,8,33,31,26,29,4,20,73,20,8,30,8,7,42,67,151,129,0,85,46,172,0,26,88,8,107,49,76,33,46,34,28,47,84,34,8,0,25,42,4,0,0,3,19,0,10,40,16,7,0,11,43,60,0,0,104,101,104,21,0,82,48,73,0,68,62,98,33,52,33,38,16,8,3,3,17,0,4,149,91,151,83,0,0,11,10,15,0,0,23,14,73,9,4,19,10,20,30,0,27,8,0,0,8,11,113,15,24,161,16,31,55,68,17,35,23,11,0,8,0,5,0,4,11,16,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,4,7,3,0,0,0,7,18,19,0,0,0,0,3,0,0,0,0,0,0,0,0,5
Iraq,0,0,0,9,5,0,6,3,0,0,4,0,4,0,5,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,47,0,0,9,0,15,23,11,11,5,39,18,51,6,10,0,0,0,0,10,0,167,186,0,92,0,0,36,0,0,0,4,10,5,0,0,3,0,0,12,0,0,20,0,0,0,0,0,0,24,338,102,0,17,5,226,0,5,18,3,34,6,16,137,25,9,8,58,108,42,0,0,6,15,0,0,0,0,31,0,6,15,7,0,0,24,28,41,0,0,56,25,72,7,0,102,41,31,0,24,101,106,31,66,33,97,8,4,0,0,4,0,0,32,59,17,8,0,0,0,26,8,0,0,3,0,0,0,6,0,0,4,10,0,0,8,0,0,11,4,9,15,4,16,0,14,6,51,0,0,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,4,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,12,4,11,0,0,0,3,4,14,17,9,0,8,5,14,18,3,4,0,0,0,9,0,3,4,4,3,0,0,6,0,0,0,0,0,0,0,0,10,0,6,0,0,0,3,20,7,0,0,3,7,5,4,94,0,4,4,3,0,4,4,6,3,5,45,4,4,0,7,0,5,0,4,0,0,3,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,10,5,7,6,0,5,9,5,0,8,15,4,0,4,0,7,4,0,9,3,4,0,0,3,0,12,7,0,0,0,0,5,0,0,3,5,0,0,0,0,0,8,3,0,3,0,0,0,7,0,4,0,0,10,3,6,5,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,6,0,4,0,0,0,0,4,10,0,0,6,0,0,3,6,0,0,0,0,0,0,0,6,5,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,8,10,0,6,3,5,0,0,0,7,6,0,0,0,15,0,0,7,0,4,0,0,3,0,4,8,0,11,0,4,0,3,3,0,0,0,0,7,0,3,14,0,0,0,0,5,3,0,0,20,10,11,0,0,4,15,9,0,0,14,28,0,18,11,3,0,0,0,0,0,0,0,0,9,5,9,0,0,0,3,0,0,0,0,0,10,0,9,0,0,0,0,0,8,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,5,5,0,32,0,0,9,9,0,8,0,0,0,0,0,0,4,0,14,10,7,21,0,0,0,0,0,4,0,3,0,0,0,9,3,0,4,0,3,46,0,0,0,0,0,0,4,16,4,0,0,0,12,0,0,3,0,0,0,0,3,9,7,21,0,5,0,0,0,3,5,0,0,0,0,0,0,0,18,0,0,0,4,11,13,0,0,14,4,11,5,0,4,0,5,0,11,8,19,12,5,10,5,5,4,0,0,0,0,0,6,4,3,6,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,3,0,0,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,4,0,0,0,0,0,3
Lebanon,0,0,0,0,0,0,4,0,0,0,3,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,7,0,0,3,0,0,19,8,0,0,5,4,17,23,4,0,0,0,0,0,0,24,20,0,10,0,4,3,0,0,0,0,0,0,0,4,3,0,9,7,6,0,0,0,0,7,4,0,6,9,28,18,0,0,7,12,0,5,11,0,0,3,10,22,0,0,3,4,37,7,6,0,6,6,6,0,0,0,12,0,3,4,5,4,0,8,29,10,0,0,45,10,28,11,0,27,15,7,0,14,28,27,14,25,16,39,8,3,3,14,0,0,0,11,11,3,16,0,0,4,0,6,0,3,10,0,13,0,7,5,0,3,0,0,0,10,0,0,0,0,19,0,0,13,3,6,16,7,0,0,7,0,5,6,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,4,0,4,4,9,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,5,0,0,0,8,14,0,0,0,0,3,0,3,3,7,3,5,0,0,4,0,0,0,0,0,0,4,0,9,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,9,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,4,3,3,0,0,7,0,0,0,0,0,3,6,0,10,7,7,0,4,6,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,5,0,0,6,7,0,4,0,39,4,0,3,13,0,68,6,16,5,0,0,17,5,0,0,0,0,0,0,0,3,10,0,7,0,0,4,0,0,3,3,0,0,0,0,11,5,0,6,0,0,70,0,0,4,0,0,3,0,15,13,0,11,0,24,0,4,6,3,11,4,3,4,0,4,0,0,7,3,5,0,13,13,4,0,0,0,4,0,0,10,0,0,6,4,18,31,0,0,132,14,31,4,0,121,7,13,0,5,35,69,11,20,12,13,3,3,4,0,3,0,0,8,12,16,6,0,0,0,0,3,0,0,0,0,10,0,6,0,0,0,8,0,0,0,0,0,0,0,8,0,0,3,5,5,5,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
