Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,Molonglo Corridor,West Belconnen,Hume,Kowen,Canberra East,Canberra Airport,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Gungahlin - East,Gungahlin - West,Jacka,Kenny,Moncrieff,Taylor,Throsby,Acton,Ainslie,Braddon,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Turner,Watson,Black Mountain,Campbell,Duntroon,Parkes (ACT) - North,Reid,Russell,Deakin,Forrest,Griffith (ACT),Lake Burley Griffin,Narrabundah,Parkes (ACT) - South,Red Hill (ACT),Yarralumla,Barton,Fyshwick,Kingston (ACT),Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Tuggeranong - West,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Scrivener,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Arboretum,Coombs,Denman Prospect,Molonglo,Molonglo - North,Wright,ACT - South West,Namadgi,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,119,170,173,85,170,204,179,147,119,124,113,0,139,127,206,239,124,0,229,110,87,128,127,105,99,131,0,0,4,0,39,0,3,183,150,155,111,162,108,121,24,180,0,289,335,153,0,0,7,0,0,0,0,75,234,208,125,77,159,126,224,255,120,236,0,151,55,0,71,0,154,52,230,0,205,0,162,190,80,0,222,179,131,223,185,186,164,88,304,128,85,171,672,84,252,0,68,121,138,0,354,0,163,150,127,137,147,109,111,172,0,78,294,156,179,180,119,115,149,33,129,108,92,0,50,0,0,0,90,17,0,0,17
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,11,18,14,8,4,5,4,16,8,11,5,0,6,13,12,8,7,0,7,3,0,6,16,4,7,0,0,0,0,0,0,0,4,8,9,15,16,13,9,17,0,8,0,17,17,7,0,0,6,0,0,0,0,0,9,5,6,7,4,6,23,4,17,20,0,3,3,0,4,0,5,10,5,0,22,0,7,10,7,0,4,8,5,10,0,8,12,3,10,13,0,0,22,0,14,0,6,9,4,0,14,0,4,8,0,4,13,4,9,3,0,8,14,12,15,6,3,5,6,3,8,8,11,0,8,0,0,0,5,0,0,0,0
Austria,4,9,3,4,3,7,10,5,11,4,8,0,8,3,3,8,4,0,7,6,3,4,8,0,5,3,0,0,0,0,0,0,0,6,0,0,7,0,7,0,0,0,0,7,8,6,0,0,0,0,0,0,0,0,0,3,6,7,0,3,5,4,5,5,0,5,0,0,3,0,0,0,4,0,9,0,0,0,0,0,8,0,4,6,4,8,4,0,9,7,3,4,22,0,4,0,0,3,8,0,12,0,0,8,5,3,6,6,3,9,0,11,9,5,9,0,11,7,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0
Belgium,0,7,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,3,0,0,4,0,0,3,0,0,3,0,0,6,0,0,7,0,0,0,0,0,0,0,6,0,0,4,0,0,0,8,0,0,0,3,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,5,6,5,3,9,4,0,3,3,0,10,0,4,5,0,9,5,0,4,11,0,0,8,3,3,0,0,0,0,0,0,0,0,4,4,0,5,0,0,7,0,9,0,4,0,0,0,0,0,0,0,0,0,4,16,16,11,6,3,0,12,23,24,24,0,11,4,0,0,0,7,5,25,0,50,0,13,0,10,0,20,0,6,0,5,6,7,0,4,7,3,5,14,3,13,0,4,6,0,0,13,0,3,3,3,10,11,4,0,6,0,5,13,9,14,9,0,4,10,6,4,0,3,0,0,0,0,0,6,0,0,0,0
Germany,17,31,19,12,24,32,36,20,27,16,15,0,19,26,33,42,17,0,26,15,9,31,31,20,16,9,0,0,0,0,5,0,0,25,10,9,7,20,15,15,5,23,0,32,33,23,0,0,0,0,0,0,0,12,42,39,15,22,24,21,40,67,17,39,0,21,4,0,15,0,24,9,35,0,47,0,27,24,9,0,21,15,12,25,23,19,23,12,42,15,17,19,111,0,44,0,4,17,18,0,44,0,20,29,22,7,32,20,17,23,0,19,41,25,32,20,28,24,19,6,8,8,8,0,7,0,0,0,4,4,0,0,5
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
