Country,Darwin Airport,Darwin City,East Point,Fannie Bay - The Gardens,Larrakeyah,Ludmilla - The Narrows,Parap,Stuart Park,Woolner - Bayview - Winnellie,Alawa,Anula,Berrimah,Brinkin - Nakara,Buffalo Creek,Charles Darwin,Coconut Grove,East Arm,Jingili,Karama,Leanyer,Lyons (NT),Malak - Marrara,Millner,Moil,Nightcliff,Rapid Creek,Tiwi,Wagaman,Wanguri,Wulagi,Howard Springs,Humpty Doo,Koolpinyah,Virginia,Weddell,Bakewell,Driver,Durack - Marlow Lagoon,Gray,Moulden,Palmerston - North,Palmerston - South,Rosebery - Bellamack,Woodroffe,Charles,East Side,Flynn (NT),Larapinta,Mount Johns,Petermann - Simpson,Ross,Sandover - Plenty,Tanami,Yuendumu - Anmatjere,Barkly,Tennant Creek,Alligator,Daly,Thamarrurr,Tiwi Islands,West Arnhem,Anindilyakwa,East Arnhem,Nhulunbuy,Elsey,Gulf,Katherine,Victoria River,Migratory - Offshore - Shipping (NT),No Usual Address (NT)
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,374,0,198,188,82,156,209,137,51,70,27,129,0,0,114,0,65,112,147,244,153,68,70,166,143,105,30,62,86,232,295,0,149,136,81,78,159,79,69,139,70,245,79,118,182,136,120,150,27,97,15,19,6,11,63,138,21,3,6,7,22,24,70,12,13,211,10,0,136
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,166,0,28,62,19,60,77,71,6,10,3,13,0,0,29,0,6,8,28,15,17,13,6,28,10,22,0,10,12,40,17,0,9,6,4,5,22,4,7,14,9,22,13,15,16,12,19,11,3,7,0,0,0,0,3,10,6,3,0,0,0,0,7,8,0,14,0,0,14
Austria,0,4,0,3,4,3,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,3,0,0,3,0,0,0,0,0,6,4,0,5,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
Belgium,0,5,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
France,0,50,0,30,30,3,5,24,3,3,0,0,6,0,0,6,0,4,3,8,9,5,3,5,10,11,0,0,4,0,9,6,0,0,7,6,4,3,0,0,4,0,9,0,8,12,7,6,3,7,0,5,0,5,0,10,7,0,0,0,5,0,0,3,3,0,11,0,0,15
Germany,0,44,0,39,23,12,16,21,17,18,17,4,9,0,0,15,0,11,7,23,22,25,20,13,17,23,18,11,5,15,16,27,0,17,24,10,6,16,17,7,22,9,11,13,16,31,17,25,12,17,16,0,3,0,8,13,29,3,0,0,0,8,4,16,7,3,30,0,0,22
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
