Country,Augusta,Busselton,Busselton Region,Margaret River,Australind - Leschenault,Capel,College Grove - Carey Park,Collie,Dardanup,Davenport,Eaton - Pelican Point,Harvey,East Bunbury - Glen Iris,Waroona,Dalyellup,Gelorup - Stratham,South Bunbury - Bunbury,Withers - Usher,Bridgetown - Boyup Brook,Donnybrook - Balingup,Manjimup,Pemberton,Dawesville - Bouvard,Falcon - Wannanup,Greenfields,Halls Head - Erskine,Mandurah,Mandurah - East,Mandurah - North,Mandurah - South,Pinjarra,City Beach,Claremont (WA),Cottesloe,Floreat,Mosman Park - Peppermint Grove,Nedlands - Dalkeith - Crawley,Swanbourne - Mount Claremont,Kings Park (WA),Mount Hawthorn - Leederville,Mount Lawley - Inglewood,North Perth,Perth City,Subiaco - Shenton Park,Wembley - West Leederville - Glendalough,Bassendean - Eden Hill - Ashfield,Bayswater - Embleton - Bedford,Maylands,Morley,Noranda,Chidlow,Glen Forrest - Darlington,Helena Valley - Koongamia,Malmalling - Reservoir,Mundaring,Swan View - Greenmount - Midvale,Avon Valley National Park,Ballajura,Beechboro,Bullsbrook,Ellenbrook,Gidgegannup,Hazelmere - Guildford,Lockridge - Kiara,Malaga,Melaleuca - Lexia,Middle Swan - Herne Hill,Midland - Guildford,Stratton - Jane Brook,The Vines,Walyunga National Park,Craigie - Beldon,Currambine - Kinross,Duncraig,Greenwood - Warwick,Heathridge - Connolly,Hillarys,Iluka - Burns Beach,Joondalup - Edgewater,Kingsley,Mullaloo - Kallaroo,Ocean Reef,Padbury,Sorrento - Marmion,Woodvale,Balcatta - Hamersley,Balga - Mirrabooka,Dianella,Herdsman,Innaloo - Doubleview,Karrinyup - Gwelup - Carine,Nollamara - Westminster,Osborne Park Industrial,Scarborough,Stirling - Osborne Park,Trigg - North Beach - Watermans Bay,Tuart Hill - Joondanna,Wembley Downs - Churchlands - Woodlands,Yokine - Coolbinia - Menora,Alexander Heights - Koondoola,Butler - Merriwa - Ridgewood,Carramar,Clarkson,Girrawheen,Madeley - Darch - Landsdale,Marangaroo,Mindarie - Quinns Rocks - Jindalee,Neerabup National Park,Tapping - Ashby - Sinagra,Wanneroo,Alkimos - Eglinton,Carabooda - Pinjar,Two Rocks,Yanchep,Armadale - Wungong - Brookdale,Ashendon - Lesley,Camillo - Champion Lakes,Forrestdale - Harrisdale - Piara Waters,Kelmscott,Mount Nasura - Mount Richon - Bedfordale,Roleystone,Seville Grove,Belmont - Ascot - Redcliffe,East Victoria Park - Carlisle,Kewdale Commercial,Perth Airport,Rivervale - Kewdale - Cloverdale,Victoria Park - Lathlain - Burswood,Bentley - Wilson - St James,Canning Vale - West,Canning Vale Commercial,Cannington - Queens Park,Parkwood - Ferndale - Lynwood,Riverton - Shelley - Rossmoyne,Welshpool,Willetton,Beckenham - Kenwick - Langford,Canning Vale - East,Gosnells,Huntingdale - Southern River,Maddington - Orange Grove - Martin,Thornlie,Forrestfield - Wattle Grove,High Wycombe,Kalamunda - Maida Vale - Gooseberry Hill,Lesmurdie - Bickley - Carmel,Byford,Mundijong,Serpentine - Jarrahdale,Como,Manning - Waterford,South Perth - Kensington,Banjup,Bibra Industrial,Bibra Lake,Coogee,Coolbellup,Hamilton Hill,Henderson,North Coogee,South Lake - Cockburn Central,Spearwood,Success - Hammond Park,Yangebup,Beeliar - Wattleup,Jandakot,East Fremantle,Fremantle,Fremantle - South,O'Connor (WA),Bertram - Wellard (West),Calista,Hope Valley - Postans,Kwinana Industrial,Parmelia - Orelia,Casuarina - Wandi,Applecross - Ardross,Bateman,Bicton - Palmyra,Booragoon,Bull Creek,Leeming,Melville,Murdoch - Kardinya,Willagee,Winthrop,Baldivis,Cooloongup,Port Kennedy,Rockingham,Rockingham Lakes,Safety Bay - Shoalwater,Singleton - Golden Bay - Secret Harbour,Waikiki,Warnbro,Albany,Albany Region,Bayonet Head - Lower King,Denmark,Gnowangerup,Katanning,Kojonup,Little Grove - Elleker,McKail - Willyung,Plantagenet,Stirling Range National Park,Chittering,Cunderdin,Dowerin,Gingin - Dandaragan,Merredin,Moora,Mukinbudin,Northam,Toodyay,York - Beverley,Brookton,Kulin,Murray,Narrogin,Wagin,Broome,Derby - West Kimberley,Halls Creek,Kununurra,Roebuck,East Pilbara,Newman,Port Hedland,South Hedland,Ashburton (WA),Karratha,Roebourne,Esperance,Esperance Region,Carnarvon,Exmouth,Boulder,Kalgoorlie,Kalgoorlie - North,Kalgoorlie Airport,Kambalda - Coolgardie - Norseman,Leinster - Leonora,Trafalgar (WA),Geraldton,Geraldton - East,Geraldton - North,Geraldton - South,Irwin,Meekatharra,Morawa,Northampton - Mullewa - Greenough,Migratory - Offshore - Shipping (WA),No Usual Address (WA)
Isle of Man,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,5,3,0,0,5,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,12,0,8,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,6,4,6,0,4,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,0,0,0,6,0,5,0,0,0,10,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,487,2292,869,749,1294,372,368,371,222,0,720,537,393,312,692,213,958,332,732,504,295,451,987,1127,1028,2850,1031,659,2495,1238,914,630,797,736,669,1016,1381,796,5,864,1413,608,2322,1738,1278,1242,1634,957,1155,428,402,1064,540,0,1618,970,0,1132,818,572,3029,306,422,596,0,0,386,763,482,1327,0,1284,3516,2111,1354,2187,1661,2506,2628,1925,2314,1784,1138,1137,1933,897,684,1199,0,1383,1891,643,0,1491,688,714,692,1174,968,650,4270,3253,1949,439,1819,546,5265,0,2915,3662,1905,84,462,1939,1723,0,566,1411,1291,1376,1174,709,880,1098,0,0,1306,999,1042,804,0,574,1350,1165,0,1271,914,1656,1702,1509,987,2048,1319,1018,2313,1415,1568,676,582,1027,690,1454,1588,3,0,840,637,793,0,351,917,644,1173,531,629,295,737,1627,1394,4,891,827,0,5,1113,519,1017,243,1386,1286,671,1138,1469,785,361,379,4556,1172,2107,2756,0,2026,3930,1861,1554,1335,285,460,714,86,146,197,351,686,428,0,752,177,193,651,206,174,138,714,517,445,191,161,156,212,258,607,126,27,244,48,260,127,177,197,651,554,202,516,189,159,255,219,393,331,0,155,111,0,599,307,383,533,239,131,170,341,54,432
Jersey,0,4,5,0,4,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,6,3,0,3,3,0,6,0,0,0,0,5,0,4,0,0,0,3,6,4,0,5,5,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,9,0,3,3,0,7,3,0,3,3,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,3,3,0,0,6,0,3,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,0,3,3,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Ireland,14,96,49,51,74,16,31,12,6,0,45,20,26,11,35,7,90,27,17,14,8,13,24,33,26,120,40,16,157,54,33,34,57,77,53,102,96,40,0,211,192,125,466,180,335,139,300,201,230,39,19,40,17,0,49,55,0,89,75,17,184,8,22,47,0,0,27,54,13,41,0,188,239,164,189,190,157,128,226,144,162,128,140,141,123,220,81,201,0,323,214,317,0,329,178,61,261,110,299,64,185,179,138,9,113,36,227,0,183,261,88,0,20,46,53,0,13,99,44,55,30,34,223,257,0,0,281,177,113,46,0,74,77,85,0,93,57,96,66,68,40,119,83,72,159,83,50,24,17,159,66,189,114,0,0,52,39,85,0,22,54,62,86,36,36,6,69,153,127,0,55,13,0,0,47,30,85,27,101,89,37,88,134,65,24,16,193,32,50,92,0,68,110,56,51,36,3,8,18,6,5,6,10,7,9,0,15,8,14,31,18,17,8,26,15,12,3,17,10,11,12,38,12,4,28,4,33,28,23,31,177,82,38,29,14,7,12,20,65,52,0,14,16,0,25,11,30,47,16,13,15,12,10,45
Austria,4,13,7,0,8,3,4,5,0,0,0,0,0,0,0,0,8,0,0,4,3,3,5,6,12,11,4,0,8,0,3,6,8,7,0,4,10,5,0,5,10,0,23,8,13,11,20,15,13,3,0,4,3,0,3,10,0,8,4,3,7,0,0,0,0,0,3,5,0,4,0,10,10,9,11,6,5,5,6,3,9,10,4,9,6,10,6,9,0,12,10,6,0,13,10,7,10,9,17,10,3,9,6,8,8,8,10,0,5,10,0,0,0,0,12,0,0,0,14,13,3,0,5,12,0,0,17,9,9,0,0,3,7,10,0,0,8,7,13,3,14,15,21,8,15,6,6,0,3,9,4,6,7,0,0,3,7,12,0,5,10,14,5,4,4,0,7,8,13,0,6,5,0,0,8,5,6,4,4,9,3,3,23,12,0,7,10,10,5,13,0,7,0,7,4,4,0,5,3,0,0,0,0,3,7,0,0,0,5,8,0,0,0,10,7,5,6,0,3,0,0,0,0,0,0,0,3,0,0,3,8,3,3,0,0,0,0,5,0,0,0,0,0,0,0,4,7,4,0,0,0,4,0,0
Belgium,0,10,7,4,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,4,4,0,0,5,3,0,5,13,9,14,7,17,4,0,6,4,0,14,12,7,11,7,5,3,0,0,0,0,0,3,0,0,0,3,0,9,6,0,0,0,0,0,6,3,7,0,3,4,6,10,9,4,0,7,5,0,4,6,3,6,8,0,10,0,10,13,5,0,7,3,4,9,4,3,0,7,4,0,0,6,8,9,0,4,17,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,10,8,6,4,0,4,7,0,0,14,7,0,9,5,3,0,7,0,6,5,4,4,0,7,11,5,0,0,0,5,3,4,0,6,4,0,4,0,4,0,3,14,14,0,3,0,0,0,0,0,0,0,6,5,5,0,5,0,0,0,5,4,0,6,0,9,6,0,5,4,0,0,4,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,4,0,0,0,0,0,4,5,0,4,0,0,0,0,0,0,0,0,14,5,4,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,8
France,4,27,40,41,8,7,3,3,5,0,6,6,3,0,6,0,7,10,8,14,0,12,0,10,7,14,3,0,11,6,0,26,30,39,36,54,73,21,0,21,35,28,274,121,65,36,47,37,30,9,3,14,3,0,18,14,0,24,8,0,18,4,0,9,0,0,8,9,0,4,0,23,20,19,9,17,11,6,17,23,13,9,14,3,8,12,13,34,0,53,33,28,0,61,27,20,18,34,40,8,15,7,15,3,32,3,19,0,7,31,3,0,5,10,16,0,6,13,14,13,9,9,23,45,0,0,41,42,32,8,0,13,13,16,0,18,13,11,14,24,5,20,15,6,18,20,18,9,0,27,20,44,14,0,0,16,30,41,0,7,15,35,9,8,15,0,22,100,83,0,5,0,0,0,10,13,27,9,38,22,9,11,22,24,12,11,18,3,10,19,0,6,12,10,9,15,0,0,7,0,0,0,0,5,3,0,0,0,0,13,0,4,0,3,0,0,8,6,0,5,4,51,7,3,27,4,8,12,10,4,15,46,0,12,0,14,17,10,3,9,0,0,0,0,8,4,5,12,0,3,6,4,0,35
Germany,39,123,60,72,59,15,27,48,9,0,38,26,19,20,26,18,52,17,40,29,15,27,30,29,54,92,29,21,53,56,24,53,40,43,34,55,91,63,0,43,98,50,195,101,84,75,114,85,91,35,20,53,37,0,91,89,0,50,48,20,115,30,28,32,0,0,11,57,19,39,0,64,45,83,98,57,70,26,94,76,85,51,76,50,36,41,73,95,0,80,133,69,0,144,47,37,47,66,78,29,83,52,61,18,57,29,99,0,50,128,27,6,22,57,72,0,26,19,45,62,31,41,63,72,0,0,96,62,62,34,0,35,60,47,0,65,61,37,72,49,58,84,60,46,128,69,41,24,12,55,43,81,47,0,0,47,62,111,0,17,41,47,27,25,25,3,45,86,125,0,22,36,0,0,57,16,42,3,65,75,34,53,75,51,28,17,116,57,56,85,0,59,62,50,50,108,21,24,57,16,8,8,18,57,37,0,25,9,11,53,18,10,10,75,40,27,12,11,9,28,14,85,15,9,42,14,11,9,20,13,37,40,7,49,19,23,46,22,27,24,0,18,13,0,56,19,29,31,17,10,9,33,4,52
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
