Country,Bridgewater - Gagebrook,Brighton - Pontville,Old Beach - Otago,Bellerive - Rosny,Cambridge,Geilston Bay - Risdon,Howrah - Tranmere,Lindisfarne - Rose Bay,Mornington - Warrane,Risdon Vale,Rokeby,South Arm,Austins Ferry - Granton,Berriedale - Chigwell,Claremont (Tas.),Derwent Park - Lutana,Glenorchy,Montrose - Rosetta,Moonah,New Norfolk,West Moonah,Kingston - Huntingfield,Kingston Beach - Blackmans Bay,Margate - Snug,Mount Wellington,Taroona - Bonnet Hill,Hobart,Lenah Valley - Mount Stuart,Mount Nelson - Dynnyrne,New Town,Sandy Bay,South Hobart - Fern Tree,West Hobart,Dodges Ferry - Lewisham,Sorell - Richmond,Invermay,Kings Meadows - Punchbowl,Launceston,Legana,Mowbray,Newnham - Mayfield,Newstead,Norwood (Tas.),Prospect Vale - Blackstone,Ravenswood,Riverside,South Launceston,Summerhill - Prospect,Trevallyn,Waverley - St Leonards,West Launceston,Youngtown - Relbia,Beauty Point - Beaconsfield,Deloraine,Grindelwald - Lanena,Hadspen - Carrick,Westbury,Dilston - Lilydale,George Town,Longford,Northern Midlands,Perth - Evandale,St Helens - Scamander,Flinders and Cape Barren Islands,Scottsdale - Bridport,Central Highlands,Derwent Valley,Southern Midlands,Wilderness - East,Bruny Island - Kettering,Cygnet,Geeveston - Dover,Huonville - Franklin,Forestier - Tasman,Triabunna - Bicheno,Acton - Upper Burnie,Burnie - Ulverstone Region,Burnie - Wivenhoe,Parklands - Camdale,Penguin - Sulphur Creek,Romaine - Havenview,Somerset,Ulverstone,West Ulverstone,Wynyard,Devonport,East Devonport,Latrobe,Miandetta - Don,Port Sorell,Quoiba - Spreyton,Sheffield - Railton,Turners Beach - Forth,King Island,North West,Smithton,Waratah,West Coast (Tas.),Wilderness - West,Migratory - Offshore - Shipping (Tas.),No Usual Address (Tas.)
New Zealand,27,18,51,54,71,29,85,53,31,17,45,37,12,35,45,18,58,20,30,60,32,112,133,85,0,54,80,78,55,62,127,91,80,90,85,25,31,56,56,26,52,30,24,41,22,71,40,33,52,24,46,25,52,81,81,16,46,19,80,42,33,42,87,10,85,25,22,45,0,55,68,72,93,38,41,41,52,25,54,46,28,19,41,29,66,110,39,38,28,75,20,62,34,33,166,76,75,58,0,3,15
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,7,0,4,7,4,12,5,0,5,4,5,0,0,7,3,0,0,0,3,0,7,6,9,0,10,8,4,3,0,5,9,8,5,3,4,0,8,0,0,0,8,0,4,0,6,0,3,7,0,0,0,0,5,7,3,0,5,0,0,4,3,6,0,3,0,0,4,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,4,0,5,0,4,6,5,0,8,0,0,0,0,4,15,0,0,0
Solomon Is.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Mariana Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,3,0,0,3,4,0,3,9,3,0,5,0,4,0,4,3,6,9,6,0,0,3,5,0,0,0,11,13,5,13,8,3,4,0,5,3,0,4,0,6,3,3,0,5,0,7,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,3,0,5,7,5,0,0,3,0,4,0,0,0,10,0,0,0,0,0
Fr. Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
