TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2001","2100","1","SA2","101011001","A",548
"2001","2100","1","SA2","101011002","A",379
"2001","2100","1","SA2","101011003","A",173
"2001","2100","1","SA2","101011004","A",406
"2001","2100","1","SA2","101011005","A",211
"2001","2100","1","SA2","101011006","A",179
"2001","2100","1","SA2","101021007","A",126
"2001","2100","1","SA2","101021008","A",255
"2001","2100","1","SA2","101021009","A",334
"2001","2100","1","SA2","101021010","A",189
"2001","2100","1","SA2","101021011","A",666
"2001","2100","1","SA2","101021012","A",409
"2001","2100","1","SA2","101031013","A",70
"2001","2100","1","SA2","101031014","A",263
"2001","2100","1","SA2","101031015","A",152
"2001","2100","1","SA2","101031016","A",698
"2001","2100","1","SA2","101041017","A",452
"2001","2100","1","SA2","101041018","A",495
"2001","2100","1","SA2","101041019","A",271
"2001","2100","1","SA2","101041020","A",424
"2001","2100","1","SA2","101041021","A",165
"2001","2100","1","SA2","101041022","A",0
"2001","2100","1","SA2","101041023","A",126
"2001","2100","1","SA2","101041024","A",123
"2001","2100","1","SA2","101041025","A",715
"2001","2100","1","SA2","101041026","A",406
"2001","2100","1","SA2","101041027","A",606
"2001","2100","1","SA2","102011028","A",419
"2001","2100","1","SA2","102011029","A",575
"2001","2100","1","SA2","102011030","A",208
"2001","2100","1","SA2","102011031","A",985
"2001","2100","1","SA2","102011032","A",1077
"2001","2100","1","SA2","102011033","A",473
"2001","2100","1","SA2","102011034","A",510
"2001","2100","1","SA2","102011035","A",482
"2001","2100","1","SA2","102011036","A",468
"2001","2100","1","SA2","102011037","A",439
"2001","2100","1","SA2","102011038","A",392
"2001","2100","1","SA2","102011039","A",849
"2001","2100","1","SA2","102011040","A",1152
"2001","2100","1","SA2","102011041","A",496
"2001","2100","1","SA2","102011042","A",785
"2001","2100","1","SA2","102011043","A",904
"2001","2100","1","SA2","102021044","A",1079
"2001","2100","1","SA2","102021045","A",554
"2001","2100","1","SA2","102021046","A",484
"2001","2100","1","SA2","102021047","A",754
"2001","2100","1","SA2","102021048","A",1113
"2001","2100","1","SA2","102021049","A",156
"2001","2100","1","SA2","102021050","A",449
"2001","2100","1","SA2","102021051","A",293
"2001","2100","1","SA2","102021052","A",236
"2001","2100","1","SA2","102021053","A",533
"2001","2100","1","SA2","102021054","A",569
"2001","2100","1","SA2","102021055","A",280
"2001","2100","1","SA2","102021056","A",343
"2001","2100","1","SA2","102021057","A",361
"2001","2100","1","SA2","103011058","A",594
"2001","2100","1","SA2","103011059","A",181
"2001","2100","1","SA2","103011060","A",223
"2001","2100","1","SA2","103011061","A",116
"2001","2100","1","SA2","103021062","A",79
"2001","2100","1","SA2","103021063","A",192
"2001","2100","1","SA2","103021064","A",109
"2001","2100","1","SA2","103021065","A",165
"2001","2100","1","SA2","103021066","A",94
"2001","2100","1","SA2","103021067","A",189
"2001","2100","1","SA2","103021068","A",75
"2001","2100","1","SA2","103021069","A",103
"2001","2100","1","SA2","103031070","A",419
"2001","2100","1","SA2","103031071","A",267
"2001","2100","1","SA2","103031072","A",275
"2001","2100","1","SA2","103031073","A",142
"2001","2100","1","SA2","103031074","A",360
"2001","2100","1","SA2","103031075","A",0
"2001","2100","1","SA2","103041076","A",148
