Country,Alfredton,Ballarat,Ballarat - North,Ballarat - South,Buninyong,Delacombe,Smythes Creek,Wendouree - Miners Rest,Bacchus Marsh Region,Creswick - Clunes,Daylesford,Gordon (Vic.),Avoca,Beaufort,Golden Plains - North,Maryborough (Vic.),Maryborough Region,Bendigo,California Gully - Eaglehawk,East Bendigo - Kennington,Flora Hill - Spring Gully,Kangaroo Flat - Golden Square,Maiden Gully,Strathfieldsaye,White Hills - Ascot,Bendigo Region - South,Castlemaine,Castlemaine Region,Heathcote,Kyneton,Woodend,Bendigo Region - North,Loddon,Bannockburn,Golden Plains - South,Winchelsea,Belmont,Corio - Norlane,Geelong,Geelong West - Hamlyn Heights,Grovedale,Highton,Lara,Leopold,Newcomb - Moolap,Newtown (Vic.),North Geelong - Bell Park,Clifton Springs,Lorne - Anglesea,Ocean Grove - Barwon Heads,Portarlington,Queenscliff,Torquay,Alexandra,Euroa,Kilmore - Broadford,Mansfield (Vic.),Nagambie,Seymour,Seymour Region,Upper Yarra Valley,Yea,Benalla,Benalla Region,Rutherglen,Wangaratta,Wangaratta Region,Beechworth,Bright - Mount Beauty,Chiltern - Indigo Valley,Myrtleford,Towong,West Wodonga,Wodonga,Yackandandah,Drouin,Mount Baw Baw Region,Trafalgar (Vic.),Warragul,Alps - East,Bairnsdale,Bruthen - Omeo,Lake King,Lakes Entrance,Orbost,Paynesville,Foster,French Island,Korumburra,Leongatha,Phillip Island,Wilsons Promontory,Wonthaggi - Inverloch,Churchill,Moe - Newborough,Morwell,Traralgon,Yallourn North - Glengarry,Alps - West,Longford - Loch Sport,Maffra,Rosedale,Sale,Yarram,Brunswick,Brunswick East,Brunswick West,Coburg,Pascoe Vale South,Alphington - Fairfield,Northcote,Thornbury,Ascot Vale,Essendon - Aberfeldie,Flemington,Moonee Ponds,Carlton,Docklands,East Melbourne,Flemington Racecourse,Kensington,Melbourne,North Melbourne,Parkville,South Yarra - West,Southbank,West Melbourne,Albert Park,Elwood,Port Melbourne,Port Melbourne Industrial,South Melbourne,St Kilda,St Kilda East,Armadale,Prahran - Windsor,South Yarra - East,Toorak,Abbotsford,Carlton North - Princes Hill,Collingwood,Fitzroy,Fitzroy North,Richmond (Vic.),Yarra - North,Ashburton (Vic.),Balwyn,Balwyn North,Camberwell,Glen Iris - East,Hawthorn,Hawthorn East,Kew,Kew East,Surrey Hills (West) - Canterbury,Bulleen,Doncaster,Doncaster East,Templestowe,Templestowe Lower,Blackburn,Blackburn South,Box Hill,Box Hill North,Burwood,Burwood East,Surrey Hills (East) - Mont Albert,Beaumaris,Brighton (Vic.),Brighton East,Cheltenham - Highett (West),Hampton,Sandringham - Black Rock,Bentleigh - McKinnon,Bentleigh East,Carnegie,Caulfield - North,Caulfield - South,Elsternwick,Hughesdale,Murrumbeena,Ormond - Glen Huntly,Aspendale Gardens - Waterways,Braeside,Carrum - Patterson Lakes,Chelsea - Bonbeach,Chelsea Heights,Cheltenham - Highett (East),Edithvale - Aspendale,Mentone,Moorabbin - Heatherton,Moorabbin Airport,Mordialloc - Parkdale,Malvern - Glen Iris,Malvern East,Bundoora - East,Greensborough,Heidelberg - Rosanna,Heidelberg West,Ivanhoe,Ivanhoe East - Eaglemont,Montmorency - Briar Hill,Viewbank - Yallambie,Watsonia,Kingsbury,Preston,Reservoir - East,Reservoir - West,Eltham,Hurstbridge,Kinglake,Panton Hill - St Andrews,Plenty - Yarrambat,Research - North Warrandyte,Wattle Glen - Diamond Creek,Bundoora - North,Bundoora - West,Epping,Lalor,Mill Park - North,Mill Park - South,South Morang,Thomastown,Wallan,Whittlesea,Airport West,Essendon Airport,Keilor,Keilor East,Niddrie - Essendon West,Strathmore,Gisborne,Macedon,Riddells Creek,Romsey,Coburg North,Fawkner,Glenroy - Hadfield,Pascoe Vale,Sunbury,Sunbury - South,Broadmeadows,Campbellfield - Coolaroo,Craigieburn - Mickleham,Gladstone Park - Westmeadows,Greenvale - Bulla,Meadow Heights,Melbourne Airport,Roxburgh Park - Somerton,Tullamarine,Bayswater,Boronia - The Basin,Ferntree Gully,Knoxfield - Scoresby,Lysterfield,Rowville - Central,Rowville - North,Rowville - South,Wantirna,Wantirna South,Donvale - Park Orchards,Warrandyte - Wonga Park,Bayswater North,Croydon,Croydon Hills - Warranwood,Ringwood,Ringwood East,Ringwood North,Forest Hill,Mitcham (Vic.),Nunawading,Vermont,Vermont South,Belgrave - Selby,Chirnside Park,Healesville - Yarra Glen,Kilsyth,Lilydale - Coldstream,Monbulk - Silvan,Montrose,Mooroolbark,Mount Dandenong - Olinda,Mount Evelyn,Upwey - Tecoma,Wandin - Seville,Yarra Valley,Beaconsfield - Officer,Bunyip - Garfield,Emerald - Cockatoo,Koo Wee Rup,Pakenham - North,Pakenham - South,Berwick - North,Berwick - South,Doveton,Endeavour Hills,Hallam,Narre Warren,Narre Warren North,Cranbourne,Cranbourne East,Cranbourne North,Cranbourne South,Cranbourne West,Hampton Park - Lynbrook,Lynbrook - Lyndhurst,Narre Warren South,Pearcedale - Tooradin,Clarinda - Oakleigh South,Clayton South,Dandenong,Dandenong North,Dingley Village,Keysborough,Noble Park,Noble Park North,Springvale,Springvale South,Ashwood - Chadstone,Clayton,Glen Waverley - East,Glen Waverley - West,Mount Waverley - North,Mount Waverley - South,Mulgrave,Oakleigh - Huntingdale,Wheelers Hill,Ardeer - Albion,Cairnlea,Deer Park - Derrimut,Delahey,Keilor Downs,Kings Park (Vic.),St Albans - North,St Albans - South,Sunshine,Sunshine North,Sunshine West,Sydenham,Taylors Lakes,Altona,Altona Meadows,Altona North,Newport,Seabrook,Williamstown,Braybrook,Footscray,Maribyrnong,Seddon - Kingsville,West Footscray - Tottenham,Yarraville,Bacchus Marsh,Caroline Springs,Hillside,Melton,Melton South,Melton West,Rockbank - Mount Cottrell,Taylors Hill,Hoppers Crossing - North,Hoppers Crossing - South,Laverton,Point Cook,Tarneit,Truganina,Werribee,Werribee - South,Wyndham Vale,Carrum Downs,Frankston,Frankston North,Frankston South,Langwarrin,Seaford (Vic.),Skye - Sandhurst,Dromana,Flinders,Hastings - Somers,Mornington,Mount Eliza,Mount Martha,Point Nepean,Rosebud - McCrae,Somerville,Ararat,Ararat Region,Horsham,Horsham Region,Nhill Region,St Arnaud,Stawell,West Wimmera,Yarriambiack,Irymple,Merbein,Mildura,Mildura Region,Red Cliffs,Buloke,Gannawarra,Kerang,Robinvale,Swan Hill,Swan Hill Region,Echuca,Kyabram,Lockington - Gunbower,Rochester,Rushworth,Cobram,Moira,Numurkah,Yarrawonga,Mooroopna,Shepparton - North,Shepparton - South,Shepparton Region - East,Shepparton Region - West,Glenelg (Vic.),Hamilton (Vic.),Portland,Southern Grampians,Camperdown,Colac,Colac Region,Corangamite - North,Corangamite - South,Moyne - East,Moyne - West,Otway,Warrnambool - North,Warrnambool - South,Migratory - Offshore - Shipping (Vic.),No Usual Address (Vic.)
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,4,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,3,0,3,7,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,7,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,3,0,0,3,0,4,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,4,3,4,0,0,3,3,4,0,6,3,3,4,0,0,9,5,0,0,3,3,0,0,0,0,7,3,6,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,3,6,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,6,7,7,34,3,0,4,3,3,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,14,12,9,19,35,52,0,5,8,16,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,10,0,0,0,0,0,6,0,29,12,39,28,10,19,34,38,11,30,14,9,98,21,12,0,19,56,47,25,18,53,0,25,16,17,0,15,54,20,12,14,41,29,4,13,9,19,14,15,11,16,38,72,26,23,78,38,70,23,12,84,212,338,210,108,103,23,41,41,26,23,10,11,6,8,10,16,20,23,27,33,20,6,0,3,3,8,8,0,5,7,0,15,7,6,4,0,15,22,31,12,29,42,53,41,4,22,35,9,37,36,55,51,31,0,3,0,11,3,7,16,23,55,30,51,43,75,66,0,0,11,0,6,77,5,3,0,0,0,0,11,23,68,44,4,0,41,39,60,64,43,36,0,33,29,29,51,38,31,8,54,18,23,28,51,87,26,10,54,11,83,39,31,69,56,53,26,32,5,9,0,3,0,0,0,19,3,0,0,0,0,0,0,0,0,0,10,6,40,24,37,14,81,8,21,8,6,4,8,24,0,18,0,3,9,114,79,3,3,43,15,16,12,31,89,67,48,38,32,32,25,66,26,0,12,4,4,6,17,3,26,15,17,9,7,10,26,3,7,16,18,55,39,17,3,14,12,0,23,11,10,6,7,0,10,6,5,0,46,26,6,14,5,9,3,21,8,9,9,0,0,0,0,0,3,11,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,31,0,0,0,3,0,4,3,0,0,0,0,0,0,14,0,0,0,0,17,26,0,4,0,0,6,0,0,3,0,0,0,0,0,0,0,3,0,21
Iraq,3,18,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,25,15,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,14,20,3,5,4,29,17,10,3,3,9,3,0,0,0,0,5,8,0,7,0,4,3,8,0,3,9,0,3,6,8,3,0,3,7,3,9,3,0,0,0,0,6,0,3,6,5,0,0,9,11,26,32,3,3,3,6,0,3,0,3,0,5,3,0,10,0,9,3,3,11,6,7,0,0,3,0,0,0,4,0,9,0,3,7,0,10,0,4,18,6,3,33,4,0,4,9,0,16,31,62,107,3,0,0,0,4,0,3,14,5,295,479,147,58,100,317,10,3,3,0,11,31,0,0,0,0,0,0,17,333,292,39,3,13,645,1520,866,168,148,1310,0,2496,32,3,0,7,18,3,24,4,19,17,15,3,0,3,0,4,13,0,11,0,9,0,0,3,3,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,13,15,28,96,36,32,5,13,0,0,0,3,56,18,39,0,43,34,243,101,4,28,46,24,5,8,9,21,4,11,17,9,13,19,18,20,3,25,22,43,20,33,13,16,9,11,3,14,3,23,15,6,7,0,13,21,8,0,0,0,0,62,24,9,4,16,3,35,22,22,4,28,19,6,29,8,12,11,14,7,3,3,3,4,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,81,0,0,0,0,0,0,8,0,3,0,0,0,0,124,0,3,0,0,45,340,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Israel,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,10,6,0,0,10,8,3,5,0,3,9,0,3,0,4,11,8,0,6,14,0,16,52,7,0,3,39,180,28,20,27,64,3,3,4,3,10,13,5,18,3,7,18,10,18,21,10,5,7,3,11,9,11,13,7,0,3,4,11,8,0,3,42,116,25,20,12,182,391,121,563,466,126,10,30,167,3,0,4,4,0,33,4,23,31,0,23,28,45,3,3,3,4,6,3,6,0,0,10,3,3,0,5,4,0,0,4,0,7,0,0,3,0,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,9,6,4,0,8,0,0,3,10,4,13,3,5,3,0,5,0,3,5,0,3,3,3,0,4,3,4,0,6,4,4,3,0,0,0,0,0,3,4,10,0,3,0,3,0,0,8,0,0,0,22,12,9,27,0,13,5,3,0,12,0,0,4,0,8,0,31,9,6,26,8,3,4,3,3,0,25,8,17,10,9,6,13,32,10,0,3,0,0,3,0,0,4,0,3,3,3,0,0,10,0,4,0,3,4,0,0,0,0,5,0,3,7,0,0,0,0,0,0,3,0,19,0,0,4,0,5,4,7,0,3,0,3,11,3,0,0,0,3,8,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,4
Jordan,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,0,0,0,4,3,15,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,4,3,0,0,3,12,0,0,9,14,13,0,0,0,0,0,0,0,0,0,8,13,3,0,8,0,0,0,0,0,0,9,3,0,0,0,0,0,0,6,24,3,0,0,7,22,25,4,4,24,0,36,5,0,0,3,3,4,0,0,7,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,31,6,8,3,0,0,0,0,0,8,5,6,0,3,0,10,16,3,0,8,4,0,0,0,3,6,0,0,0,0,0,6,0,0,0,6,0,0,0,3,0,0,0,3,3,0,3,4,0,0,0,0,4,0,0,0,0,0,11,13,3,0,0,0,0,3,3,0,6,7,5,11,0,8,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,4,6,3,0,3,6,0,3,3,4,5,7,0,0,3,49,5,0,0,14,0,0,3,0,0,0,4,3,0,0,3,3,0,0,0,0,0,8,0,3,0,8,0,0,18,0,0,0,0,4,7,41,12,5,0,0,4,0,0,3,0,0,0,0,0,0,0,0,5,6,3,0,0,3,5,3,4,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,3,0,0,3,8,0,8,10,19,7,0,0,0,0,0,0,0,6,7,17,9,24,9,22,21,0,0,3,0,0,3,0,0,0,0,0,4,5,8,10,10,0,0,6,32,26,3,3,27,0,25,0,0,0,0,0,0,0,8,0,0,4,11,3,0,0,4,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,14,7,5,0,0,5,3,0,0,6,0,9,0,6,3,24,21,0,4,8,0,4,3,0,10,0,5,0,5,6,4,3,0,0,15,0,6,0,3,3,0,0,0,9,3,0,0,0,3,0,0,4,0,7,0,8,3,0,7,3,3,3,3,0,3,3,13,3,12,4,4,6,0,3,4,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,5,0,0,6,4,0,0,0,3,0,3,0,0,15,11,6,7,11,17,27,3,8,4,10,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,0,4,0,12,0,0,267,112,126,730,87,19,93,167,19,70,11,28,13,6,3,0,7,11,15,6,9,8,0,4,17,18,0,8,21,11,9,12,8,15,0,20,7,11,30,12,3,3,18,27,25,8,7,8,26,4,12,65,63,96,91,90,13,14,9,22,5,12,4,17,21,17,19,19,16,35,60,5,13,15,3,12,9,5,12,0,9,7,8,19,18,16,26,0,8,20,6,53,29,36,156,29,23,15,68,20,20,314,219,440,17,0,0,0,20,4,7,42,51,195,367,158,107,155,388,10,10,17,0,38,116,29,42,4,3,0,4,146,411,648,256,14,37,498,779,201,242,177,504,0,375,129,6,25,20,9,20,44,15,34,16,24,36,7,11,23,16,3,7,6,21,3,3,18,19,0,11,4,4,4,0,3,24,0,5,0,3,3,6,0,6,0,15,18,13,43,32,207,39,91,14,27,13,18,15,3,44,21,60,3,90,28,71,305,18,62,74,55,15,18,21,7,20,16,12,14,48,28,61,23,18,46,34,145,53,88,65,18,23,44,50,123,11,186,490,185,44,34,31,6,9,3,25,37,5,75,67,26,17,31,8,59,104,98,17,95,67,101,74,12,10,28,27,25,18,31,7,20,3,0,7,3,8,4,0,4,4,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,7,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,8,3,5,0,5,0,0,0,0,0,0,7,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,8,7,0,0,0,0,4,0,0,4,4,0,3,0,0,23,11,5,3,3,3,6,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,15,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17,3,7,92,3,0,0,11,5,10,60,0,56,39,0,0,9,195,47,0,0,97,0,9,3,0,0,5,9,6,3,7,0,10,0,0,0,4,0,9,0,0,0,3,4,3,62,7,3,0,4,9,8,11,0,3,9,3,10,6,18,13,0,0,0,0,0,8,0,4,3,3,3,0,0,4,3,12,0,0,0,0,0,3,0,0,0,0,0,9,6,14,0,3,18,0,0,0,6,0,59,107,147,148,0,0,0,0,0,0,0,47,17,28,36,6,10,17,16,0,0,0,0,0,3,0,4,0,0,0,0,4,21,61,103,3,0,12,11,14,3,8,10,0,42,0,3,0,3,6,0,0,0,0,0,3,0,0,0,10,0,3,0,3,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,25,9,7,7,0,0,3,0,0,11,3,14,0,19,89,16,9,0,0,28,7,29,0,8,74,3,4,9,0,6,17,4,3,5,8,0,3,5,5,3,3,7,0,9,4,0,5,0,4,8,0,18,12,4,0,0,0,0,11,0,0,0,5,0,3,3,9,0,12,9,16,4,0,3,5,10,9,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
