Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,ACT - South West,Molonglo,Namadgi,ACT - East,Hume,Kowen,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Gungahlin - East,Gungahlin - West,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Acton,Ainslie,Braddon,Campbell,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Reid,Turner,Watson,Deakin,Forrest,Griffith (ACT),Kingston - Barton,Lake Burley Griffin,Narrabundah,Parkes (ACT),Red Hill (ACT),Yarralumla,Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
United Kingdom,151,138,132,99,188,255,196,177,125,128,138,0,180,128,236,278,149,0,226,121,81,144,151,126,141,167,25,3,0,53,0,0,3,187,30,39,9,81,66,155,0,0,18,143,0,275,345,194,36,278,169,219,86,85,184,133,220,229,71,131,213,181,57,188,255,0,248,0,172,221,229,166,243,212,239,211,104,315,145,87,150,750,91,248,0,74,134,152,0,409,177,170,152,154,191,101,136,210,103,335,201,192,193,124,134,155,37,140,106,95,0,26
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,7,6,11,3,6,5,3,14,11,13,3,0,7,11,12,7,13,0,14,6,0,7,13,7,9,0,0,0,0,0,0,0,0,7,4,3,0,6,3,17,0,0,0,6,0,11,19,5,0,12,22,7,10,12,12,5,15,10,6,13,22,3,10,10,15,0,17,0,0,9,3,3,14,3,11,12,0,11,14,3,4,22,0,20,0,5,6,5,0,16,13,10,9,5,12,7,5,13,12,16,17,16,10,3,10,7,6,15,3,12,0,3
Austria,3,0,3,4,3,8,6,6,7,3,6,0,9,5,7,3,6,0,6,10,0,5,4,3,7,3,3,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,13,3,3,6,3,3,4,10,4,4,3,7,0,3,15,4,0,7,3,0,11,0,4,3,3,3,12,0,10,4,0,6,11,0,6,27,0,14,0,0,3,13,0,13,3,10,10,3,5,12,5,6,6,7,7,4,3,8,7,13,3,9,0,8,0,0
Belgium,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,3,0,3,4,0,7,0,0,5,0,0,3,0,0,4,0,3,3,0,3,9,0,0,3,3,3,3,0,0,5,0,0,0,0,0,0,0,4,6,3,0,0,3,3,0,0,7,0,3,3,0,0,3,3,0,5,3,0,0,0
France,0,10,7,0,5,9,0,5,0,0,12,0,0,5,4,15,3,0,10,8,5,0,3,6,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,3,3,3,17,15,13,7,3,12,8,3,12,3,15,10,4,0,19,32,0,39,0,5,0,7,3,3,0,7,0,0,12,0,0,0,25,3,7,0,0,0,3,0,17,0,4,0,11,9,5,0,8,4,10,14,4,8,3,9,7,3,3,3,0,0,0
Germany,20,23,30,17,33,33,35,15,21,23,18,0,16,23,44,49,15,0,27,19,12,26,33,28,18,18,0,0,0,4,0,0,3,28,4,3,0,7,11,18,0,0,4,13,0,29,31,30,4,55,23,22,9,17,31,29,28,77,15,19,42,25,9,32,29,0,48,0,23,20,22,9,24,24,24,18,13,48,21,11,13,121,4,46,0,7,20,14,0,45,19,30,31,11,42,15,18,38,28,47,27,31,25,30,32,24,4,11,9,14,0,0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
