Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,ACT - South West,Molonglo,Namadgi,ACT - East,Hume,Kowen,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Gungahlin - East,Gungahlin - West,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Acton,Ainslie,Braddon,Campbell,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Reid,Turner,Watson,Deakin,Forrest,Griffith (ACT),Kingston - Barton,Lake Burley Griffin,Narrabundah,Parkes (ACT),Red Hill (ACT),Yarralumla,Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,13,7,29,5,8,16,9,14,13,3,10,0,4,5,13,19,10,0,14,7,6,3,3,9,4,14,0,0,0,0,0,0,0,21,0,5,3,9,7,21,0,0,0,10,0,15,21,22,11,19,25,23,9,8,20,20,6,28,9,17,30,16,9,16,27,0,29,0,4,11,5,14,4,10,9,12,9,15,11,0,7,41,3,9,0,5,4,5,0,21,9,10,4,14,7,6,9,9,4,26,13,12,11,5,3,11,3,12,4,10,0,8
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,43,39,40,10,33,28,30,25,9,9,14,0,27,16,23,44,24,0,22,24,12,6,18,17,14,37,9,0,0,0,4,0,3,25,3,7,0,14,47,32,0,0,7,29,0,39,59,19,23,64,32,37,34,23,27,29,42,71,12,33,35,30,16,34,57,0,62,0,31,35,12,23,22,18,18,15,4,47,12,11,8,93,9,32,0,7,6,13,0,39,27,24,16,13,8,12,20,19,15,39,27,24,20,29,11,21,12,17,16,19,0,8
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,6,0,8,3,3,6,0,4,0,0,0,7,0,7,0,5,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,9,7,4,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,3,0,6,0,0,3,0,3,3,0,0,3,3,0,0,10,5,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
