Country,Augusta,Busselton,Busselton Region,Margaret River,Australind - Leschenault,Bunbury,Capel,College Grove - Carey Park,Collie,Dardanup,Davenport,Eaton - Pelican Point,Gelorup - Dalyellup - Stratham,Harvey,Koombana,Waroona,Bridgetown - Boyup Brook,Donnybrook - Balingup,Manjimup,Pemberton,Dawesville - Bouvard,Falcon - Wannanup,Greenfields,Halls Head - Erskine,Mandurah,Mandurah - East,Mandurah - North,Mandurah - South,Pinjarra,City Beach,Claremont (WA),Cottesloe,Floreat,Mosman Park - Peppermint Grove,Nedlands - Dalkeith - Crawley,Swanbourne - Mount Claremont,Kings Park (WA),Mount Hawthorn - Leederville,Mount Lawley - Inglewood,North Perth,Perth City,Subiaco - Shenton Park,Wembley - West Leederville - Glendalough,Bassendean - Eden Hill - Ashfield,Bayswater - Embleton - Bedford,Maylands,Morley,Noranda,Chidlow,Glen Forrest - Darlington,Helena Valley - Koongamia,Malmalling - Reservoir,Mundaring,Swan View - Greenmount - Midvale,Avon Valley National Park,Ballajura,Beechboro,Bullsbrook,Ellenbrook,Gidgegannup,Hazelmere - South Guildford,Lockridge - Kiara,Malaga,Melaleuca - Lexia,Middle Swan - Herne Hill,Midland - Guildford,Stratton - Jane Brook,The Vines,Walyunga National Park,Craigie - Beldon,Currambine - Kinross,Duncraig,Greenwood - Warwick,Heathridge - Connolly,Hillarys,Iluka - Burns Beach,Joondalup - Edgewater,Kingsley,Mullaloo - Kallaroo,Ocean Reef,Padbury,Sorrento - Marmion,Woodvale,Balcatta - Hamersley,Balga - Mirrabooka,Dianella,Herdsman,Innaloo - Doubleview,Karrinyup - Gwelup - Carine,Nollamara - Westminster,Osborne Park Industrial,Scarborough,Stirling - Osborne Park,Trigg - North Beach - Watermans Bay,Tuart Hill - Joondanna,Wembley Downs - Churchlands - Woodlands,Yokine - Coolbinia - Menora,Alexander Heights - Koondoola,Butler - Merriwa - Ridgewood,Carramar,Clarkson,Girrawheen,Madeley - Darch - Landsdale,Marangaroo,Mindarie - Quinns Rocks - Jindalee,Neerabup National Park,Tapping - Ashby - Sinagra,Wanneroo,Yanchep,Armadale - Wungong - Brookdale,Ashendon - Lesley,Camillo - Champion Lakes,Forrestdale - Harrisdale - Piara Waters,Kelmscott,Mount Nasura - Mount Richon - Bedfordale,Roleystone,Seville Grove,Belmont - Ascot - Redcliffe,East Victoria Park - Carlisle,Kewdale Commercial,Perth Airport,Rivervale - Kewdale - Cloverdale,Victoria Park - Lathlain - Burswood,Bentley - Wilson - St James,Canning Vale - West,Canning Vale Commercial,Cannington - Queens Park,Parkwood - Ferndale - Lynwood,Riverton - Shelley - Rossmoyne,Welshpool,Willetton,Beckenham - Kenwick - Langford,Canning Vale - East,Gosnells,Huntingdale - Southern River,Maddington - Orange Grove - Martin,Thornlie,Forrestfield - Wattle Grove,High Wycombe,Kalamunda - Maida Vale - Gooseberry Hill,Lesmurdie - Bickley - Carmel,Byford,Mundijong,Serpentine - Jarrahdale,Como,Manning - Waterford,South Perth - Kensington,Banjup,Beeliar,Bibra Industrial,Bibra Lake,Coogee,Coolbellup,Hamilton Hill,Henderson,Jandakot,Jandakot Airport,North Coogee,South Lake - Cockburn Central,Spearwood,Success - Hammond Park,Wattleup,Yangebup,East Fremantle,Fremantle,Fremantle - South,O'Connor (WA),Anketell - Wandi,Bertram - Wellard (West),Calista,Casuarina - Wellard (East),Hope Valley - Postans,Kwinana Industrial,Parmelia - Orelia,Applecross - Ardross,Bateman,Bicton - Palmyra,Booragoon,Bull Creek,Leeming,Melville,Murdoch - Kardinya,Willagee,Winthrop,Baldivis,Cooloongup,Port Kennedy,Rockingham,Rockingham Lakes,Safety Bay - Shoalwater,Singleton - Golden Bay - Secret Harbour,Waikiki,Warnbro,Esperance,Esperance Region,Carnarvon,Exmouth,Boulder,Kalgoorlie,Kalgoorlie - North,Kalgoorlie Airport,Kambalda - Coolgardie - Norseman,Leinster - Leonora,Trafalgar (WA),Broome,Derby - West Kimberley,Halls Creek,Kununurra,Roebuck,Geraldton,Geraldton - East,Geraldton - North,Geraldton - South,Irwin,Meekatharra,Morawa,Northampton - Mullewa - Greenough,Ashburton (WA),East Pilbara,Karratha,Newman,Port Hedland,Roebourne,South Hedland,Albany,Albany Region,Bayonet Head - Lower King,Denmark,Gnowangerup,Katanning,Kojonup,Little Grove - Elleker,McKail - Willyung,Plantagenet,Stirling Range National Park,Chittering,Cunderdin,Dowerin,Gingin - Dandaragan,Merredin,Moora,Mukinbudin,Northam,Toodyay,York - Beverley,Brookton,Kulin,Murray,Narrogin,Wagin,Migratory - Offshore - Shipping (WA),No Usual Address (WA)
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,4,39,25,20,15,32,6,6,10,3,0,12,16,3,7,0,12,5,12,3,14,7,8,39,13,3,28,17,15,42,61,37,43,47,103,43,0,50,55,36,178,96,85,19,52,36,34,6,0,15,9,0,25,22,0,12,19,3,38,5,8,3,0,0,8,21,6,17,0,34,29,46,31,33,44,22,43,25,42,22,26,27,18,41,12,49,0,68,75,19,0,88,35,33,39,60,43,0,37,20,11,3,20,16,47,0,6,37,15,29,0,6,18,20,33,19,19,20,55,0,0,29,42,40,28,0,21,22,46,0,20,14,37,9,19,10,25,22,3,38,26,23,19,11,43,35,78,31,11,0,0,13,24,20,0,0,0,4,28,14,16,0,10,26,82,59,0,0,18,11,0,0,0,14,46,8,51,53,21,40,40,28,7,19,72,15,15,32,0,23,30,17,21,22,6,5,4,8,18,19,0,7,8,0,23,10,0,11,6,15,10,8,11,4,9,6,10,16,15,25,10,0,0,11,21,7,6,14,4,6,4,7,28,4,0,9,0,0,12,0,7,0,12,7,5,3,4,0,4,11,0,25
St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,30,45,60,46,36,80,7,16,9,11,0,39,40,18,7,6,32,15,13,16,14,33,15,59,20,18,32,24,22,145,70,115,65,143,265,107,0,71,101,48,248,204,105,48,67,62,41,10,10,59,17,0,58,31,0,42,33,20,69,13,13,15,0,0,20,39,22,26,0,29,50,80,40,23,78,49,46,35,39,48,20,51,21,33,25,83,0,94,102,51,0,117,54,56,42,122,65,16,60,25,28,12,52,19,91,0,28,65,33,41,0,16,18,36,25,43,26,30,50,0,0,63,70,68,34,0,37,40,47,0,67,30,50,48,40,21,59,43,23,66,52,25,13,13,70,49,123,55,22,0,0,45,40,48,0,7,0,8,42,29,50,0,20,52,126,84,0,3,25,23,10,0,0,30,127,15,71,105,27,35,78,58,13,22,76,24,40,28,0,38,72,32,42,27,7,10,22,10,13,24,0,16,10,0,25,8,0,31,3,18,10,20,21,0,7,7,16,24,10,32,8,19,12,13,43,15,17,38,5,7,6,10,17,19,0,15,8,7,19,9,9,5,14,18,13,6,7,13,12,8,7,68
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,12,0,3,0,3,3,8,4,0,0,7,0,0,0,0,28,10,0,13,0,0,13,0,0,0,3,7,0,0,14,20,4,18,3,0,0,10,3,0,4,4,0,0,22,58,22,0,0,8,29,0,4,13,0,7,5,12,30,19,3,13,25,31,34,13,0,8,19,0,20,0,5,5,0,0,0,16,11,6,0,0,9,7,11,13,0,9,9,4,0,10,18,17,15,8,13,12,4,0,0,0,3,0,0,3,0,5,29,30,0,0,4,36,26,0,0,0,0,38,8,36,0,27,0,5,21,0,0,4,3,0,0,0,0,0,4,4,8,0,6,3,12,3,0,5,3,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,3,0,0,0,7,4,9,3,4,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,6,7,0,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,14,3,5,3,0,0,0,0,0,3,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
