Country,Bridgewater - Gagebrook,Brighton - Pontville,Old Beach - Otago,Bellerive - Rosny,Cambridge,Geilston Bay - Risdon,Howrah - Tranmere,Lindisfarne - Rose Bay,Mornington - Warrane,Risdon Vale,Rokeby,South Arm,Austins Ferry - Granton,Berriedale - Chigwell,Claremont (Tas.),Derwent Park - Lutana,Glenorchy,Montrose - Rosetta,Moonah,New Norfolk,West Moonah,Kingston - Huntingfield,Kingston Beach - Blackmans Bay,Margate - Snug,Mount Wellington,Taroona - Bonnet Hill,Hobart,Lenah Valley - Mount Stuart,Mount Nelson - Dynnyrne,New Town,Sandy Bay,South Hobart - Fern Tree,West Hobart,Dodges Ferry - Lewisham,Sorell - Richmond,Invermay,Kings Meadows - Punchbowl,Launceston,Legana,Mowbray,Newnham - Mayfield,Newstead,Norwood (Tas.),Prospect Vale - Blackstone,Ravenswood,Riverside,South Launceston,Summerhill - Prospect,Trevallyn,Waverley - St Leonards,West Launceston,Youngtown - Relbia,Beauty Point - Beaconsfield,Deloraine,Grindelwald - Lanena,Hadspen - Carrick,Westbury,Dilston - Lilydale,George Town,Longford,Northern Midlands,Perth - Evandale,Scottsdale - Bridport,St Helens - Scamander,Central Highlands,Derwent Valley,Southern Midlands,Wilderness - East,Bruny Island - Kettering,Cygnet,Geeveston - Dover,Huonville - Franklin,Forestier - Tasman,Triabunna - Bicheno,Acton - Upper Burnie,Burnie - Ulverstone Region,Burnie - Wivenhoe,Parklands - Camdale,Penguin - Sulphur Creek,Romaine - Havenview,Somerset,Ulverstone,West Ulverstone,Wynyard,Devonport,East Devonport,Latrobe,Miandetta - Don,Port Sorell,Quoiba - Spreyton,Sheffield - Railton,Turners Beach - Forth,King Island,North West,Smithton,Waratah,West Coast (Tas.),Wilderness - West,Migratory - Offshore - Shipping (Tas.),No Usual Address (Tas.)
New Zealand,25,11,49,56,68,33,92,53,27,11,27,31,15,32,41,24,55,23,39,43,34,106,105,74,0,54,86,81,60,58,143,87,77,82,77,31,23,67,37,30,62,43,45,45,29,72,52,34,45,18,38,28,54,81,71,14,51,37,62,43,25,47,78,75,23,34,44,0,47,61,60,81,37,47,34,65,32,70,39,28,22,35,23,57,118,40,31,22,74,21,62,30,44,176,78,64,72,0,10,20
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,4,8,4,7,7,3,0,0,4,0,0,10,8,3,0,0,4,0,4,9,10,0,6,9,4,8,0,9,5,3,4,4,0,0,11,0,0,21,7,3,4,0,0,5,5,6,3,8,0,0,3,6,3,0,0,0,6,3,3,0,6,0,3,0,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,6,6,0,0,0
Solomon Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Mariana Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,3,0,3,3,0,3,3,0,10,0,0,4,14,3,9,0,0,9,7,4,0,3,9,13,10,5,10,7,6,0,3,0,3,4,0,7,8,3,0,13,0,3,3,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,10,3,0,0,3,0,5,4,6,3,0,0,0,0,0,0
Fr. Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
