Country,Augusta,Busselton,Busselton Region,Margaret River,Australind - Leschenault,Bunbury,Capel,College Grove - Carey Park,Collie,Dardanup,Davenport,Eaton - Pelican Point,Gelorup - Dalyellup - Stratham,Harvey,Koombana,Waroona,Bridgetown - Boyup Brook,Donnybrook - Balingup,Manjimup,Pemberton,Dawesville - Bouvard,Falcon - Wannanup,Greenfields,Halls Head - Erskine,Mandurah,Mandurah - East,Mandurah - North,Mandurah - South,Pinjarra,City Beach,Claremont (WA),Cottesloe,Floreat,Mosman Park - Peppermint Grove,Nedlands - Dalkeith - Crawley,Swanbourne - Mount Claremont,Kings Park (WA),Mount Hawthorn - Leederville,Mount Lawley - Inglewood,North Perth,Perth City,Subiaco - Shenton Park,Wembley - West Leederville - Glendalough,Bassendean - Eden Hill - Ashfield,Bayswater - Embleton - Bedford,Maylands,Morley,Noranda,Chidlow,Glen Forrest - Darlington,Helena Valley - Koongamia,Malmalling - Reservoir,Mundaring,Swan View - Greenmount - Midvale,Avon Valley National Park,Ballajura,Beechboro,Bullsbrook,Ellenbrook,Gidgegannup,Hazelmere - South Guildford,Lockridge - Kiara,Malaga,Melaleuca - Lexia,Middle Swan - Herne Hill,Midland - Guildford,Stratton - Jane Brook,The Vines,Walyunga National Park,Craigie - Beldon,Currambine - Kinross,Duncraig,Greenwood - Warwick,Heathridge - Connolly,Hillarys,Iluka - Burns Beach,Joondalup - Edgewater,Kingsley,Mullaloo - Kallaroo,Ocean Reef,Padbury,Sorrento - Marmion,Woodvale,Balcatta - Hamersley,Balga - Mirrabooka,Dianella,Herdsman,Innaloo - Doubleview,Karrinyup - Gwelup - Carine,Nollamara - Westminster,Osborne Park Industrial,Scarborough,Stirling - Osborne Park,Trigg - North Beach - Watermans Bay,Tuart Hill - Joondanna,Wembley Downs - Churchlands - Woodlands,Yokine - Coolbinia - Menora,Alexander Heights - Koondoola,Butler - Merriwa - Ridgewood,Carramar,Clarkson,Girrawheen,Madeley - Darch - Landsdale,Marangaroo,Mindarie - Quinns Rocks - Jindalee,Neerabup National Park,Tapping - Ashby - Sinagra,Wanneroo,Yanchep,Armadale - Wungong - Brookdale,Ashendon - Lesley,Camillo - Champion Lakes,Forrestdale - Harrisdale - Piara Waters,Kelmscott,Mount Nasura - Mount Richon - Bedfordale,Roleystone,Seville Grove,Belmont - Ascot - Redcliffe,East Victoria Park - Carlisle,Kewdale Commercial,Perth Airport,Rivervale - Kewdale - Cloverdale,Victoria Park - Lathlain - Burswood,Bentley - Wilson - St James,Canning Vale - West,Canning Vale Commercial,Cannington - Queens Park,Parkwood - Ferndale - Lynwood,Riverton - Shelley - Rossmoyne,Welshpool,Willetton,Beckenham - Kenwick - Langford,Canning Vale - East,Gosnells,Huntingdale - Southern River,Maddington - Orange Grove - Martin,Thornlie,Forrestfield - Wattle Grove,High Wycombe,Kalamunda - Maida Vale - Gooseberry Hill,Lesmurdie - Bickley - Carmel,Byford,Mundijong,Serpentine - Jarrahdale,Como,Manning - Waterford,South Perth - Kensington,Banjup,Beeliar,Bibra Industrial,Bibra Lake,Coogee,Coolbellup,Hamilton Hill,Henderson,Jandakot,Jandakot Airport,North Coogee,South Lake - Cockburn Central,Spearwood,Success - Hammond Park,Wattleup,Yangebup,East Fremantle,Fremantle,Fremantle - South,O'Connor (WA),Anketell - Wandi,Bertram - Wellard (West),Calista,Casuarina - Wellard (East),Hope Valley - Postans,Kwinana Industrial,Parmelia - Orelia,Applecross - Ardross,Bateman,Bicton - Palmyra,Booragoon,Bull Creek,Leeming,Melville,Murdoch - Kardinya,Willagee,Winthrop,Baldivis,Cooloongup,Port Kennedy,Rockingham,Rockingham Lakes,Safety Bay - Shoalwater,Singleton - Golden Bay - Secret Harbour,Waikiki,Warnbro,Esperance,Esperance Region,Carnarvon,Exmouth,Boulder,Kalgoorlie,Kalgoorlie - North,Kalgoorlie Airport,Kambalda - Coolgardie - Norseman,Leinster - Leonora,Trafalgar (WA),Broome,Derby - West Kimberley,Halls Creek,Kununurra,Roebuck,Geraldton,Geraldton - East,Geraldton - North,Geraldton - South,Irwin,Meekatharra,Morawa,Northampton - Mullewa - Greenough,Ashburton (WA),East Pilbara,Karratha,Newman,Port Hedland,Roebourne,South Hedland,Albany,Albany Region,Bayonet Head - Lower King,Denmark,Gnowangerup,Katanning,Kojonup,Little Grove - Elleker,McKail - Willyung,Plantagenet,Stirling Range National Park,Chittering,Cunderdin,Dowerin,Gingin - Dandaragan,Merredin,Moora,Mukinbudin,Northam,Toodyay,York - Beverley,Brookton,Kulin,Murray,Narrogin,Wagin,Migratory - Offshore - Shipping (WA),No Usual Address (WA)
New Zealand,135,503,207,231,679,512,108,195,290,61,0,360,282,230,240,68,143,114,72,127,213,269,337,654,325,135,473,276,185,102,145,140,110,243,235,119,0,222,360,157,828,347,377,462,613,344,623,168,105,146,128,0,357,496,0,505,443,150,1151,49,130,256,0,0,156,416,316,137,0,448,420,373,466,334,246,98,503,330,407,212,313,196,190,396,461,393,0,487,428,441,0,715,277,178,294,237,330,257,917,499,658,234,458,247,613,0,381,884,296,623,0,221,254,346,181,201,373,561,446,0,0,790,439,376,241,0,423,427,255,0,365,548,534,790,519,385,838,694,543,426,250,268,142,96,272,140,411,438,209,0,0,163,179,325,3,55,0,9,376,237,325,16,184,175,399,291,0,19,423,383,44,3,0,497,188,57,355,262,144,187,327,250,145,61,736,385,794,646,0,431,669,667,570,342,125,82,86,645,1184,652,0,531,280,0,283,130,34,148,15,294,119,161,219,112,208,139,106,764,581,895,349,246,320,455,282,59,72,113,100,141,148,46,146,97,0,123,65,73,219,121,162,156,228,136,132,77,151,112,87,137,27,469
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,5,8,7,6,9,11,3,5,0,0,0,8,8,4,10,0,0,4,7,8,0,7,8,11,6,0,10,12,0,0,6,3,0,4,14,3,0,3,10,6,22,13,11,6,14,12,14,4,0,3,3,0,13,3,0,3,0,0,9,3,3,0,0,0,0,8,0,7,0,6,6,13,12,7,10,3,14,14,5,3,6,0,0,5,12,10,0,16,6,16,0,14,5,8,9,9,10,3,22,7,4,3,13,3,8,0,7,16,3,13,0,0,3,4,3,7,8,14,25,0,0,66,12,50,10,0,24,12,11,0,6,25,13,28,13,18,27,19,9,12,13,9,4,0,11,9,16,5,3,0,0,3,7,3,0,5,0,0,0,5,10,0,0,3,10,5,0,4,8,0,0,0,0,3,9,0,15,8,5,6,12,3,3,0,10,3,7,10,0,3,3,8,3,4,3,4,3,13,60,44,0,39,0,0,14,11,0,14,0,10,4,0,4,0,14,3,0,21,19,18,47,7,7,8,7,0,0,5,0,3,0,0,4,0,0,3,4,0,0,7,0,0,3,3,5,0,0,0,0,0,0,10
Solomon Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Mariana Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
