Country,Adelaide,North Adelaide,Adelaide Hills,Aldgate - Stirling,Hahndorf - Echunga,Lobethal - Woodside,Mount Barker,Mount Barker Region,Nairne,Uraidla - Summertown,Burnside - Wattle Park,Glenside - Beaumont,Toorak Gardens,Athelstone,Paradise - Newton,Rostrevor - Magill,Norwood (SA),Payneham - Felixstow,St Peters - Marden,Nailsworth - Broadview,Prospect,Walkerville,Goodwood - Millswood,Unley - Parkside,Gawler - North,Gawler - South,Lewiston - Two Wells,Craigmore - Blakeview,Davoren Park,Elizabeth,Elizabeth East,Munno Para West - Angle Vale,One Tree Hill,Smithfield - Elizabeth North,Virginia - Waterloo Corner,Enfield - Blair Athol,Northgate - Oakden - Gilles Plains,Windsor Gardens,Dry Creek - North,Ingle Farm,Para Hills,Parafield,Parafield Gardens,Paralowie,Salisbury,Salisbury East,Salisbury North,Mawson Lakes - Globe Derby Park,Pooraka - Cavan,Golden Grove,Greenwith,Highbury - Dernancourt,Hope Valley - Modbury,Modbury Heights,Redwood Park,St Agnes - Ridgehaven,Brighton (SA),Glenelg (SA),Edwardstown,Hallett Cove,Marino - Seaview Downs,Mitchell Park,Morphettville,Sheidow Park - Trott Park,Warradale,Belair,Bellevue Heights,Blackwood,Colonel Light Gardens,Mitcham (SA),Panorama,Aberfoyle Park,Aldinga,Christie Downs,Christies Beach,Clarendon,Coromandel Valley,Flagstaff Hill,Hackham - Onkaparinga Hills,Hackham West - Huntfield Heights,Happy Valley,Happy Valley Reservoir,Lonsdale,McLaren Vale,Morphett Vale - East,Morphett Vale - West,Reynella,Seaford (SA),Willunga,Woodcroft,Beverley,Flinders Park,Henley Beach,Hindmarsh - Brompton,Royal Park - Hendon - Albert Park,Seaton - Grange,West Lakes,Woodville - Cheltenham,Dry Creek - South,Largs Bay - Semaphore,North Haven,Port Adelaide,The Parks,Torrens Island,Adelaide Airport,Fulham,Lockleys,Plympton,Richmond (SA),West Beach,Barossa - Angaston,Light,Lyndoch,Mallala,Nuriootpa,Tanunda,Clare,Gilbert Valley,Goyder,Wakefield - Barunga West,Jamestown,Peterborough - Mount Remarkable,Port Pirie,Port Pirie Region,Kadina,Moonta,Wallaroo,Yorke Peninsula - North,Yorke Peninsula - South,Ceduna,Eyre Peninsula,Kimba - Cleve - Franklin Harbour,Le Hunte - Elliston,Port Lincoln,West Coast (SA),Western,Whyalla,Whyalla - North,APY Lands,Coober Pedy,Quorn - Lake Gilles,Outback,Port Augusta,Roxby Downs,Goolwa - Port Elliot,Kangaroo Island,Strathalbyn,Strathalbyn Region,Victor Harbor,Yankalilla,Grant,Kingston - Robe,Millicent,Naracoorte,Naracoorte Region,Penola,Tatiara,Wattle Range,Mount Gambier - East,Mount Gambier - West,Barmera,Berri,Karoonda - Lameroo,Loxton,Loxton Region,Mannum,Murray Bridge,Murray Bridge Region,Renmark,Renmark Region,The Coorong,Waikerie,Migratory - Offshore - Shipping (SA),No Usual Address (SA)
Isle of Man,0,0,0,4,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,620,428,730,1655,346,601,1227,452,323,353,1071,566,863,521,710,832,585,490,623,316,626,478,913,1073,867,2292,432,1923,1064,982,1579,755,373,1221,384,663,1134,796,0,1049,1430,0,874,853,1174,2083,757,679,360,1419,1076,698,1324,2068,1767,1297,1495,1719,510,2236,893,786,802,1014,982,515,543,1260,639,941,346,1253,1940,1009,1516,261,494,1295,735,737,1400,0,0,937,1394,906,943,3613,439,1218,243,428,927,615,181,787,1049,488,0,1178,1191,480,353,0,0,152,461,900,521,367,401,645,627,219,289,228,158,332,250,452,158,234,376,120,195,373,173,366,268,61,175,88,47,483,59,0,2193,0,9,52,83,72,330,97,1475,281,531,683,1848,635,124,110,226,157,50,95,113,102,455,427,235,155,65,139,54,340,498,178,119,121,187,279,0,160
Jersey,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,34,22,16,48,10,8,23,5,5,9,35,23,16,26,29,30,31,17,32,11,34,13,33,58,18,42,4,43,19,32,31,10,4,19,10,19,29,39,0,46,29,0,15,26,39,28,19,14,16,17,19,24,40,40,52,35,72,97,22,54,43,35,54,26,61,13,16,26,31,35,11,32,20,19,39,9,4,39,11,9,28,0,0,20,31,18,28,62,9,32,11,12,55,30,5,57,52,28,0,62,42,20,12,0,0,31,20,35,19,15,4,7,11,5,6,6,3,7,0,9,10,3,8,5,5,0,3,7,8,4,0,4,0,9,0,0,38,0,0,3,0,3,3,3,24,4,24,5,32,12,3,0,0,8,0,4,11,3,11,3,10,0,7,0,0,9,7,4,6,9,4,3,0,10
Austria,10,3,10,14,0,8,14,6,0,3,21,13,14,14,21,13,5,22,15,0,11,6,18,20,9,9,4,8,13,8,9,6,7,17,0,20,24,28,0,15,12,0,16,7,20,14,13,3,8,7,4,10,25,21,15,22,12,12,14,18,15,11,8,8,9,6,10,12,14,5,17,9,12,6,9,0,9,15,5,13,4,0,0,6,13,6,8,21,0,3,3,12,6,13,19,14,27,14,0,15,4,11,9,0,0,4,9,16,9,3,0,12,7,0,7,9,0,9,3,0,4,0,6,0,0,8,5,7,4,0,5,3,0,5,0,0,19,0,0,4,4,0,5,0,6,8,0,7,9,9,3,0,4,4,5,0,0,0,6,9,7,7,4,0,4,4,15,0,0,0,4,6,0,0
Belgium,10,0,0,5,0,0,6,3,0,0,3,0,16,0,6,0,5,0,10,0,0,5,4,12,0,4,0,6,4,0,0,0,0,0,0,9,9,3,0,11,9,0,0,3,3,5,4,0,0,0,0,0,0,9,0,9,7,11,0,0,5,0,9,0,10,0,0,0,0,3,0,7,17,0,6,0,0,3,0,0,7,0,0,3,3,4,0,10,5,0,0,0,3,8,0,11,7,6,0,6,15,0,3,0,0,0,3,4,3,0,0,4,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0,0,0,0,3,0,6,0,0,8,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,6,0,0
France,43,26,0,24,5,5,10,4,3,7,19,19,44,10,16,21,28,12,17,9,22,6,24,42,3,10,4,13,4,3,6,3,0,0,0,16,21,12,0,4,9,0,6,6,10,3,4,13,9,4,5,3,8,7,4,8,23,28,12,13,5,18,14,3,10,9,11,15,22,26,4,3,15,3,9,0,0,12,0,4,12,0,0,4,13,9,3,19,5,3,5,10,16,30,4,11,24,18,0,13,9,5,13,0,0,10,12,30,24,4,3,3,6,0,5,5,0,0,0,3,4,6,7,0,4,0,0,0,5,0,3,0,0,5,3,0,16,0,0,0,0,0,3,0,7,6,4,4,11,8,0,3,6,0,0,4,4,0,8,6,6,6,5,0,0,0,9,0,3,4,0,0,0,10
Germany,49,49,44,194,53,65,123,52,27,59,130,82,96,51,122,136,63,80,72,25,72,51,102,128,40,104,19,71,63,57,68,46,17,73,14,95,167,122,0,134,93,0,76,42,109,114,62,43,50,58,54,123,179,134,107,111,86,161,59,109,89,104,77,45,85,41,69,89,83,83,61,73,89,69,76,18,38,83,64,55,84,0,0,49,103,104,83,159,31,63,58,96,117,90,44,97,135,104,0,91,122,87,105,0,0,19,46,105,69,24,37,37,45,8,64,33,9,12,17,42,18,32,28,11,16,23,7,32,27,7,17,15,10,64,11,0,145,0,0,34,16,13,49,4,98,36,38,48,119,40,20,8,21,19,7,12,21,10,49,70,23,24,4,24,9,47,72,13,28,18,43,32,0,23
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
