Country,Bridgewater - Gagebrook,Brighton - Pontville,Old Beach - Otago,Bellerive - Rosny,Cambridge,Geilston Bay - Risdon,Howrah - Tranmere,Lindisfarne - Rose Bay,Mornington - Warrane,Risdon Vale,Rokeby,South Arm,Austins Ferry - Granton,Berriedale - Chigwell,Claremont (Tas.),Derwent Park - Lutana,Glenorchy,Montrose - Rosetta,Moonah,New Norfolk,West Moonah,Kingston - Huntingfield,Kingston Beach - Blackmans Bay,Margate - Snug,Mount Wellington,Taroona - Bonnet Hill,Hobart,Lenah Valley - Mount Stuart,Mount Nelson - Dynnyrne,New Town,Sandy Bay,South Hobart - Fern Tree,West Hobart,Dodges Ferry - Lewisham,Sorell - Richmond,Invermay,Kings Meadows - Punchbowl,Launceston,Legana,Mowbray,Newnham - Mayfield,Newstead,Norwood (Tas.),Prospect Vale - Blackstone,Ravenswood,Riverside,South Launceston,Summerhill - Prospect,Trevallyn,Waverley - St Leonards,West Launceston,Youngtown - Relbia,Beauty Point - Beaconsfield,Deloraine,Grindelwald - Lanena,Hadspen - Carrick,Westbury,Dilston - Lilydale,George Town,Longford,Northern Midlands,Perth - Evandale,St Helens - Scamander,Flinders and Cape Barren Islands,Scottsdale - Bridport,Central Highlands,Derwent Valley,Southern Midlands,Wilderness - East,Bruny Island - Kettering,Cygnet,Geeveston - Dover,Huonville - Franklin,Forestier - Tasman,Triabunna - Bicheno,Acton - Upper Burnie,Burnie - Ulverstone Region,Burnie - Wivenhoe,Parklands - Camdale,Penguin - Sulphur Creek,Romaine - Havenview,Somerset,Ulverstone,West Ulverstone,Wynyard,Devonport,East Devonport,Latrobe,Miandetta - Don,Port Sorell,Quoiba - Spreyton,Sheffield - Railton,Turners Beach - Forth,King Island,North West,Smithton,Waratah,West Coast (Tas.),Wilderness - West,Migratory - Offshore - Shipping (Tas.),No Usual Address (Tas.)
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,98,92,140,294,399,136,467,351,114,74,152,202,108,156,244,100,271,149,126,197,84,631,737,483,0,347,386,305,207,219,649,394,305,325,371,82,142,244,230,75,185,237,147,246,65,316,152,128,264,104,160,141,242,331,482,109,226,187,396,180,126,208,401,31,235,87,168,183,3,299,394,237,526,136,209,75,207,133,201,219,109,140,281,178,325,515,193,154,118,298,113,364,133,43,101,41,200,126,0,0,44
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,5,3,15,18,4,8,20,3,0,4,8,0,7,3,8,7,4,9,0,4,16,22,10,0,11,33,16,16,11,36,16,23,6,6,6,4,12,4,4,8,3,0,18,3,14,11,7,8,0,9,4,0,7,10,0,7,5,13,5,0,4,14,0,5,0,8,9,0,8,10,5,9,6,5,0,3,3,13,8,3,0,4,0,8,5,7,0,0,10,0,7,7,4,3,0,7,0,0,0,0
Austria,0,3,0,7,4,3,12,6,0,0,0,0,0,3,3,0,6,3,0,4,5,10,4,3,0,3,3,5,0,0,14,3,3,0,11,0,0,4,4,0,0,0,0,0,4,10,4,3,5,0,4,3,3,0,4,3,0,5,12,0,5,5,6,0,4,0,4,0,0,5,5,5,7,5,4,5,4,0,8,4,0,0,5,0,0,9,4,0,0,4,0,0,0,0,0,0,8,3,0,0,0
Belgium,0,0,0,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,3,0,10,0,3,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
France,0,0,0,4,0,0,4,0,0,0,0,3,0,6,4,0,5,6,0,3,3,3,11,9,0,8,20,8,7,4,24,22,19,5,4,5,0,0,0,0,6,3,0,5,0,3,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,11,0,7,0,0,3,0,8,6,0,8,0,6,0,0,3,3,4,0,0,4,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,3
Germany,17,16,11,30,43,13,51,36,14,12,9,24,8,11,28,14,44,19,19,17,25,60,76,31,0,38,50,44,37,26,73,42,40,27,27,6,18,15,22,3,15,19,19,25,11,23,12,11,21,6,19,12,26,38,38,7,18,29,21,13,11,4,33,12,29,8,8,16,0,21,38,25,76,8,18,9,23,10,18,12,8,9,21,12,16,25,7,12,9,19,4,39,6,11,14,0,12,21,0,0,6
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
