,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  NSW ;  Persons ;  85 and over ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017
Series End,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066
No. Obs,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Series ID,A85310790R,A85310802L,A85310761C,A85310830W,A85310654W,A85310861L,A85310726W,A85310791T,A85310653V,A85310757L,A85310647X,A85310869F,A85310765L,A85310674F,A85310764K,A85310795A,A85310798J,A85310652T,A85310701A,A85310831X,A85310834F,A85310732T,A85310804T,A85310864V,A85310700X,A85310703F,A85310733V,A85310870R,A85310702C,A85310725V,A85310759T,A85310676K,A85310767T,A85310762F,A85310866X,A85310657C,A85310649C,A85310727X,A85310766R,A85310758R,A85310648A,A85310835J,A85310656A,A85310675J,A85310839T,A85310673C,A85310651R,A85310650L,A85310803R,A85310792V,A85310763J,A85310833C,A85310871T,A85310730L,A85310863T,A85310789F,A85310756K,A85310729C,A85310840A,A85310734W,A85310731R,A85310787A,A85310728A,A85310677L,A85310655X,A85310867A,A85310868C,A85310838R,A85310646W,A85310837L,A85310799K,A85310760A,A85310865W,A85310805V,A85310793W,A85310836K,A85310797F,A85310800J,A85310832A,A85310862R,A85310645V,A85310801K,A85310796C,A85310794X,A85310755J,A85310788C
Jun-2017,92515,102188,100032,100111,101777,101584,101263,101545,99969,100134,99069,95003,91931,90288,90022,89344,91580,93111,95286,99244,101628,103569,108377,112770,114513,116659,118593,120543,118603,117759,116671,117525,116443,116690,116168,112984,110418,105811,102613,100846,99902,100512,100593,103666,105443,108666,108937,101066,99257,96448,94098,95105,95239,99958,101313,100957,100084,96506,94002,93395,90919,88604,85774,83516,82337,79381,78701,77008,74219,75197,76691,65141,61619,58691,52139,50663,47247,44713,41965,39219,37387,34675,31061,28499,26514,169468
Jun-2018,103563,98296,102902,101040,101115,102766,102434,102041,102118,100635,100748,99670,95498,92491,90918,90887,90479,93440,96051,99643,103542,105202,108333,114804,118515,118870,120271,122061,123767,121525,120405,118910,119560,118403,118347,117550,114116,111300,106648,103289,101465,100366,100886,100917,103970,105635,108807,108975,101047,99281,96363,94056,95046,95088,99774,101111,100705,99816,96262,93759,93123,90566,88345,85462,83107,81941,78879,78089,76319,73447,74242,75505,64197,60556,57495,50969,49488,45972,43353,40533,37741,35722,32952,29461,26820,171438
Jun-2019,106138,103728,99043,103974,102105,102122,103655,103233,102643,102806,101270,101370,100158,96061,93121,91806,92026,92397,96542,100567,104211,107321,110206,114916,120619,122904,122628,123721,125263,126688,124191,122590,120921,121501,120085,119752,118652,115016,112119,107346,103947,101941,100736,101225,101193,104205,105749,108824,108920,101029,99195,96320,93971,94902,94927,99596,100817,100366,99515,96008,93491,92825,90269,88030,85052,82644,81418,78254,77376,75535,72562,73255,74405,63138,59429,56275,49750,48198,44625,41955,39036,36190,34067,31206,27690,173340
Jun-2020,108629,106268,104428,100104,105007,103093,102998,104445,103817,103315,103426,101880,101846,100693,96680,93990,92933,93911,95468,101000,105076,107936,112217,116662,120611,124921,126548,125992,126805,128087,129253,126259,124518,122797,123131,121452,120818,119519,115804,112776,107971,104401,102283,101057,101483,101424,104314,105763,108752,108864,100931,99141,96224,93835,94743,94775,99313,100477,100058,99239,95727,93199,92516,89935,87605,84576,82115,80769,77550,76588,74629,71618,72199,73195,61975,58186,54939,48468,46804,43203,40419,37446,34531,32275,29344,175702
Jun-2021,110947,108709,106906,105423,101106,105941,103933,103759,105004,104458,103906,104008,102331,102358,101273,97521,95074,94774,96863,99809,105382,108690,112697,118463,122152,124742,128433,129759,128951,129479,130524,131191,128054,126288,124336,124425,122459,121629,120256,116410,113347,108374,104707,102566,101290,101690,101522,104315,105682,108671,108716,100860,99026,96070,93678,94587,94514,98978,100165,99771,98929,95416,92891,92163,89490,87112,84036,81463,80041,76776,75686,73668,70611,71044,71877,60699,56827,53542,47085,45336,41646,38795,35752,32740,30370,179333
Jun-2022,113060,110979,109291,107849,106366,102016,106741,104665,104297,105623,105023,104464,104434,102821,102913,102073,98576,96866,97654,101063,104093,108900,113334,118800,123774,126119,128110,131536,132595,131520,131788,132360,132884,129711,127735,125557,125372,123223,122323,120816,116939,113699,108639,104961,102764,101473,101767,101519,104223,105591,108498,108603,100728,98853,95894,93524,94321,94204,98671,99871,99450,98588,95089,92541,91697,88977,86552,83366,80728,79238,75876,74721,72637,69496,69772,70411,59293,55396,52025,45621,43714,39984,37049,33911,30822,183508
Jun-2023,114966,113052,111504,110174,108730,107212,102786,107435,105172,104889,106163,105552,104861,104896,103350,103676,103071,100311,99612,101700,105173,107487,113388,119245,123931,127557,129316,131062,134257,135034,133724,133502,133957,134440,131044,128868,126431,126075,123869,122839,121302,117250,113916,108849,105126,102917,101529,101743,101423,104126,105416,108365,108425,100540,98661,95725,93263,94008,93921,98385,99546,99102,98236,94722,92079,91166,88397,85863,82613,79918,78311,74916,73684,71501,68270,68361,68795,57813,53842,50416,44004,41984,38201,35152,31936,187665
Jun-2024,116657,114910,113517,112326,110994,109518,107926,103449,107901,105735,105401,106667,105920,105297,105396,104082,104633,104737,102934,103484,105683,108421,111832,119117,124204,127572,130590,132111,133648,136593,137120,135346,134988,135421,135674,132074,129661,127068,126665,124338,123281,121570,117426,114081,108973,105249,102944,101487,101631,101319,103939,105276,108167,108189,100331,98478,95449,92954,93719,93656,98061,99186,98734,97841,94238,91548,90568,87683,85088,81784,78985,77319,73888,72540,70250,66907,66804,67095,56202,52193,48638,42275,40124,36257,33115,192431
Jun-2025,118134,116557,115314,114279,113082,111719,110175,108538,103891,108427,106217,105879,107009,106327,105763,106087,104996,106241,107191,106622,107294,108809,112574,117356,123884,127689,130467,133227,134547,135855,138576,138627,136745,136346,136567,136614,132770,130221,127594,127079,124735,123504,121702,117551,114159,109059,105244,102869,101354,101512,101129,103790,105071,107908,107931,100130,98184,95121,92669,93449,93355,97707,98814,98328,97329,93690,90952,89834,86887,84239,80833,77991,76261,72752,71281,68858,65400,65167,65243,54492,50369,46739,40414,38095,34170,197829
Jun-2026,119397,118002,116915,116026,114985,113758,112334,110750,108937,104394,108881,106675,106203,107395,106770,106423,106960,106551,108587,110683,110307,110296,112848,117906,121969,127247,130478,133008,135546,136640,137744,140015,139951,138044,137412,137444,137242,133259,130690,127959,127437,124926,123608,121798,117598,114208,109024,105150,102715,101223,101313,100981,103584,104813,107633,107690,99823,97841,94822,92407,93150,93029,97344,98406,97811,96758,93082,90223,89021,86020,83264,79822,76930,75095,71506,69883,67321,63818,63385,63282,52600,48420,44695,38385,35914,203674
Jun-2027,120453,119225,118303,117569,116673,115603,114318,112864,111106,109399,104823,109306,106971,106565,107810,107390,107251,108452,108780,111903,114179,113180,114158,118001,122305,125174,129901,132900,135219,137512,138410,139087,141266,141164,139038,138206,138004,137654,133651,130990,128263,127581,124993,123669,121809,117618,114129,108895,104972,102563,101007,101151,100771,103316,104534,107371,107335,99463,97521,94539,92110,92818,92692,96942,97882,97228,96119,92334,89409,88130,85020,82225,78739,75757,73808,70113,68332,65698,62084,61487,61103,50571,46313,42457,36196,210518
