,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  85 and over ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017
Series End,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066
No. Obs,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Series ID,A85311157A,A85311379J,A85311175F,A85311347R,A85311384A,A85311246C,A85311311L,A85311216R,A85311283R,A85311383X,A85311281K,A85311185K,A85311309A,A85311219W,A85311276T,A85311248J,A85311316X,A85311156X,A85311214K,A85311381V,A85311385C,A85311218V,A85311387J,A85311155W,A85311217T,A85311386F,A85311149A,A85311223L,A85311186L,A85311315W,A85311282L,A85311313T,A85311176J,A85311312R,A85311221J,A85311224R,A85311222K,A85311177K,A85311180X,A85311286W,A85311181A,A85311285V,A85311382W,A85311220F,A85311151L,A85311179R,A85311247F,A85311154V,A85311344J,A85311153T,A85311212F,A85311342C,A85311310K,A85311279X,A85311183F,A85311152R,A85311187R,A85311245A,A85311280J,A85311345K,A85311318C,A85311188T,A85311184J,A85311314V,A85311320R,A85311343F,A85311147W,A85311215L,A85311148X,A85311348T,A85311182C,A85311150K,A85311346L,A85311319F,A85311284T,A85311275R,A85311307W,A85311225T,A85311380T,A85311278W,A85311178L,A85311213J,A85311317A,A85311308X,A85311277V,A85311349V
Jun-2017,61660,63151,63441,64255,65399,65526,66246,67315,67062,67317,66619,64953,62375,61460,60247,61025,62731,62035,61566,63226,64677,67178,69781,70869,71444,71614,72137,72262,70010,69303,69107,69810,69331,69159,69779,67178,65976,64140,62276,61976,62527,63689,64190,66833,68696,70354,71307,66894,65147,62988,62063,60876,61134,63608,63804,63593,62756,60362,58787,57457,55487,54531,52618,51394,51019,50037,49464,48477,47162,46762,48040,40267,38683,35811,31698,31026,28159,26354,24279,22133,20740,18870,16934,15358,14062,87106
Jun-2018,64242,61783,64208,64364,65251,66387,66437,67031,68107,67808,68075,67245,65602,63049,62111,61038,61906,63411,63425,63983,65447,66694,69053,71985,72887,72984,72884,73293,73303,71056,70290,70038,70577,70118,69992,70585,67989,66767,64913,63028,62639,63137,64178,64631,67195,69020,70653,71508,67083,65237,63133,62016,60968,61102,63606,63758,63488,62664,60299,58692,57372,55431,54423,52476,51261,50796,49770,49224,48175,46805,46314,47418,39742,38096,35161,31099,30263,27444,25626,23506,21311,19885,17993,16078,14462,88953
Jun-2019,65617,64903,62779,65198,65402,66268,67327,67256,67837,68878,68573,68713,67930,66286,63720,62906,61941,62641,64857,65903,66340,67616,68887,71487,74104,74500,74357,74172,74309,74309,72027,71291,70815,71433,70967,70875,71409,68817,67581,65688,63695,63267,63638,64664,64976,67530,69297,70883,71694,67186,65355,63103,62034,60956,61088,63540,63640,63368,62588,60204,58609,57314,55340,54259,52303,51027,50531,49483,48890,47790,46359,45794,46800,39134,37433,34468,30413,29502,26706,24804,22674,20454,18970,17057,15120,90854
Jun-2020,66990,66271,65910,63715,66258,66426,67194,68140,68066,68607,69648,69202,69389,68624,66959,64508,63796,62676,64076,67294,68217,68494,69798,71346,73609,75719,75892,75634,75152,75285,75246,73005,72069,71659,72281,71841,71720,72224,69638,68376,66350,64332,63775,64123,65004,65312,67807,69502,71061,71791,67287,65315,63125,61994,60944,61020,63410,63513,63280,62478,60113,58539,57207,55169,54079,52063,50762,50250,49151,48501,47344,45840,45203,46085,38462,36696,33711,29654,28713,25855,23929,21765,19517,17990,16041,93060
Jun-2021,68317,67641,67275,66852,64723,67298,67354,67991,68949,68840,69375,70280,69871,70075,69299,67743,65388,64505,64104,66484,69552,70313,70641,72231,73483,75230,77115,77191,76605,76099,76195,76200,73764,72919,72504,73164,72683,72556,73038,70443,69053,66987,64848,64269,64466,65338,65595,68018,69659,71152,71889,67231,65333,63089,61959,60883,60895,63277,63423,63163,62377,60039,58423,57020,54984,53836,51794,50484,49926,48768,48055,46826,45256,44528,45305,37722,35898,32881,28875,27809,24955,22980,20778,18516,16931,95862
Jun-2022,69590,68966,68641,68213,67871,65717,68245,68157,68786,69723,69613,70006,70952,70551,70743,70086,68618,66083,65894,66511,68724,71601,72402,73044,74353,75133,76634,78417,78177,77542,76983,77129,76936,74596,73769,73381,74012,73518,73393,73838,71127,69706,67499,65353,64620,64802,65621,65811,68181,69734,71245,71824,67232,65293,63058,61875,60764,60768,63182,63302,63055,62294,59918,58227,56821,54735,53565,51515,50163,49549,48325,47534,46239,44583,43785,44439,36913,35017,32020,27973,26845,23971,21943,19716,17428,99158
Jun-2023,70800,70224,69948,69556,69214,68862,66609,69053,68949,69538,70487,70239,70670,71626,71203,71511,70950,69280,67423,68224,68707,70727,73600,74697,75103,75960,76540,77916,79379,79104,78396,77873,77826,77727,75411,74639,74212,74839,74344,74203,74503,71778,70225,67994,65705,64959,65081,65830,65976,68261,69805,71171,71815,67172,65251,62974,61728,60637,60673,63053,63187,62959,62158,59710,58014,56553,54456,53276,51189,49786,49107,47805,46943,45560,43840,42957,43493,36017,34101,31023,27010,25790,22893,20826,18563,102550
Jun-2024,71943,71427,71196,70852,70547,70196,69759,67377,69857,69701,70285,71107,70904,71340,72275,71956,72357,71595,70585,69711,70359,70690,72697,75818,76683,76684,77350,77838,78875,80299,79964,79277,78546,78590,78518,76262,75474,75034,75666,75154,74887,75147,72300,70733,68337,66051,65246,65294,65992,66062,68341,69719,71159,71743,67114,65161,62830,61580,60546,60548,62936,63090,62815,61936,59491,57736,56260,54161,52940,50809,49350,48589,47217,46259,44813,43016,42053,42444,35088,33046,29962,25959,24636,21735,19612,106617
Jun-2025,73029,72563,72387,72083,71831,71517,71084,70528,68137,70619,70449,70887,71764,71572,71986,73018,72786,72974,72876,72827,71792,72277,72629,74871,77726,78195,78043,78625,78802,79786,81144,80850,79934,79279,79352,79344,77076,76297,75853,76479,75831,75545,75659,72811,71082,68676,66343,65465,65458,66077,66148,68265,69692,71084,71674,67010,65007,62682,61470,60427,60437,62832,62945,62585,61701,59206,57434,55951,53819,52550,50367,48834,48003,46537,45507,43983,42116,41051,41359,34012,31922,28800,24809,23396,20473,111231
Jun-2026,74051,73629,73502,73252,73041,72784,72388,71836,71288,68858,71370,71048,71527,72423,72207,72717,73837,73380,74210,75090,74847,73656,74140,74764,76740,79165,79479,79278,79556,79707,80609,82014,81502,80641,80004,80145,80130,77875,77111,76648,77153,76481,76066,76157,73154,71424,68955,66563,65633,65540,66157,66078,68243,69603,71007,71552,66835,64847,62569,61325,60316,60338,62681,62712,62340,61396,58892,57115,55595,53421,52097,49845,48250,47321,45786,44669,43074,41119,40012,40098,32865,30690,27528,23568,22046,116164
Jun-2027,75009,74642,74553,74349,74194,73980,73642,73132,72589,72010,69571,71973,71686,72171,73050,72930,73519,74409,74574,76369,77069,76656,75455,76190,76610,78162,80394,80650,80176,80435,80534,81467,82656,82210,81348,80770,80905,80908,78674,77909,77312,77804,76997,76576,76488,73495,71711,69168,66736,65724,65625,66087,66065,68163,69516,70886,71361,66657,64725,62427,61193,60222,60194,62443,62466,62028,61067,58563,56748,55182,52959,51561,49252,47571,46568,44949,43750,42061,40079,38800,38748,31603,29334,26153,22212,122019
