,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  SA ;  Persons ;  85 and over ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017
Series End,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066
No. Obs,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Series ID,A85311644K,A85311408J,A85311612T,A85311645L,A85311608A,A85311443R,A85311414C,A85311528A,A85311462W,A85311638R,A85311444T,A85311535X,A85311417K,A85311539J,A85311635J,A85311610L,A85311411W,A85311494R,A85311643J,A85311585W,A85311531R,A85311587A,A85311416J,A85311583T,A85311541V,A85311603R,A85311495T,A85311467J,A85311493L,A85311637L,A85311413A,A85311540T,A85311538F,A85311607X,A85311581L,A85311440J,A85311442L,A85311499A,A85311605V,A85311579A,A85311578X,A85311496V,A85311534W,A85311415F,A85311500X,A85311604T,A85311580K,A85311586X,A85311543X,A85311468K,A85311544A,A85311492K,A85311501A,A85311445V,A85311533V,A85311465C,A85311532T,A85311441K,A85311498X,A85311606W,A85311469L,A85311636K,A85311491J,A85311530L,A85311640A,A85311536A,A85311542W,A85311470W,A85311537C,A85311609C,A85311439X,A85311446W,A85311642F,A85311611R,A85311409K,A85311639T,A85311466F,A85311410V,A85311497W,A85311584V,A85311529C,A85311641C,A85311464A,A85311412X,A85311463X,A85311582R
Jun-2017,19500,20790,20314,20528,20879,21128,20779,21069,20910,20957,20779,19960,19545,19493,19327,19526,20146,20730,21273,21740,22252,22911,23632,23245,23270,23097,23116,23218,22969,22908,23017,23425,23194,23470,22908,22352,21829,21100,20712,20388,20676,20749,20985,21345,22124,23315,23933,23128,22808,22463,21699,22146,22238,22997,23216,23051,23441,22842,22382,21744,21424,20996,20370,20044,19893,19389,19424,19066,18524,18335,19282,16003,15195,14150,13048,12411,11384,10877,10516,9770,9202,8462,7682,7304,6784,44468
Jun-2018,20099,19365,20927,20443,20701,20994,21246,20856,21156,21002,21039,20851,20044,19667,19629,19529,19823,20509,21220,21911,22292,22548,23119,23758,23306,23168,22997,23087,23159,23051,23013,23100,23464,23287,23599,22988,22406,21903,21145,20776,20436,20730,20734,20946,21329,22114,23270,23858,23024,22715,22388,21651,22057,22167,22875,23118,22963,23373,22731,22290,21619,21335,20876,20236,19911,19777,19250,19256,18873,18326,18183,19001,15805,14944,13884,12764,12123,11139,10585,10178,9411,8812,8022,7301,6871,44744
Jun-2019,20230,20137,19517,21053,20622,20835,21117,21326,20947,21255,21084,21116,20932,20169,19809,19838,19838,20201,21004,21887,22456,22613,22788,23298,23824,23213,23089,22987,23059,23237,23148,23091,23169,23572,23441,23677,23059,22486,21950,21228,20823,20493,20716,20690,20927,21313,22074,23211,23767,22944,22648,22327,21568,21982,22056,22788,23026,22896,23266,22638,22182,21536,21221,20748,20113,19782,19639,19099,19076,18665,18135,17962,18758,15568,14682,13607,12490,11826,10821,10242,9807,9017,8399,7596,6858,45079
Jun-2020,20357,20282,20299,19667,21235,20766,20966,21208,21417,21056,21343,21166,21203,21058,20314,20022,20153,20220,20706,21690,22446,22788,22872,23000,23400,23741,23168,23104,22979,23160,23365,23245,23186,23301,23740,23536,23748,23147,22540,22039,21283,20887,20492,20678,20681,20916,21287,22029,23128,23695,22881,22593,22243,21501,21880,21975,22704,22962,22800,23173,22531,22100,21426,21093,20627,19986,19649,19488,18924,18872,18476,17918,17740,18480,15299,14393,13320,12187,11492,10474,9875,9402,8601,7955,7137,45341
Jun-2021,20470,20414,20444,20447,19861,21373,20899,21054,21302,21518,21145,21424,21251,21329,21200,20526,20336,20534,20724,21387,22250,22780,23041,23082,23115,23330,23688,23200,23104,23084,23293,23472,23342,23326,23477,23838,23615,23826,23198,22629,22092,21347,20885,20459,20666,20673,20889,21249,21956,23060,23637,22828,22512,22173,21404,21802,21893,22641,22866,22716,23067,22448,21988,21301,20970,20503,19855,19502,19314,18726,18685,18260,17701,17485,18163,15005,14095,13004,11848,11130,10104,9473,8972,8152,7479,45821
Jun-2022,20564,20540,20586,20601,20646,20017,21505,20995,21154,21413,21606,21231,21513,21381,21473,21413,20843,20718,21042,21414,21956,22598,23048,23260,23215,23080,23305,23724,23226,23228,23235,23418,23592,23495,23522,23592,23926,23709,23874,23292,22687,22162,21350,20855,20459,20664,20653,20856,21188,21903,23010,23593,22751,22447,22074,21334,21725,21837,22551,22785,22621,22986,22336,21859,21183,20845,20374,19709,19332,19118,18545,18471,18043,17451,17193,17817,14700,13765,12650,11477,10740,9696,9046,8507,7670,46566
Jun-2023,20647,20636,20714,20741,20800,20798,20159,21594,21095,21262,21502,21685,21319,21640,21522,21680,21723,21221,21215,21718,21973,22299,22866,23263,23382,23176,23066,23351,23738,23359,23380,23360,23539,23753,23689,23643,23682,24018,23763,23962,23348,22754,22161,21319,20852,20458,20643,20623,20795,21141,21862,22969,23519,22687,22351,22000,21264,21672,21750,22472,22688,22549,22873,22207,21737,21057,20713,20226,19538,19137,18935,18337,18257,17791,17161,16869,17455,14361,13393,12259,11079,10309,9262,8582,8005,47420
Jun-2024,20720,20732,20820,20877,20947,20956,20942,20263,21693,21208,21355,21587,21770,21450,21784,21730,21990,22097,21722,21894,22274,22320,22574,23097,23398,23353,23178,23137,23388,23874,23533,23520,23494,23713,23964,23819,23750,23788,24079,23863,24013,23419,22755,22131,21321,20854,20444,20615,20566,20751,21110,21832,22904,23462,22595,22283,21929,21219,21591,21678,22382,22619,22448,22744,22087,21612,20930,20568,20057,19344,18960,18728,18129,18007,17501,16841,16533,17053,13977,12985,11840,10636,9849,8789,8080,48510
Jun-2025,20787,20807,20916,20981,21082,21102,21100,21042,20371,21801,21301,21437,21673,21895,21593,21988,22034,22358,22583,22393,22440,22608,22586,22796,23230,23368,23347,23246,23182,23530,24039,23682,23657,23667,23924,24100,23925,23861,23853,24178,23919,24076,23416,22721,22129,21323,20840,20420,20558,20523,20719,21086,21777,22853,23373,22528,22215,21880,21143,21521,21591,22313,22515,22328,22622,21960,21480,20785,20396,19862,19166,18756,18518,17885,17717,17178,16508,16158,16600,13556,12545,11374,10164,9350,8279,49566
Jun-2026,20851,20885,20999,21085,21191,21242,21251,21204,21150,20491,21893,21387,21527,21805,22036,21800,22291,22401,22842,23248,22943,22778,22874,22814,22944,23217,23377,23424,23304,23346,23713,24189,23837,23840,23889,24070,24221,24045,23939,23964,24243,23992,24072,23384,22722,22135,21316,20819,20371,20517,20497,20698,21040,21737,22772,23312,22462,22172,21803,21081,21443,21529,22215,22395,22214,22497,21830,21334,20617,20202,19685,18961,18551,18273,17602,17397,16843,16137,15735,16104,13099,12054,10874,9652,8809,50724
Jun-2027,20914,20952,21076,21165,21292,21349,21388,21352,21312,21267,20589,21975,21475,21654,21945,22234,22101,22650,22876,23493,23780,23275,23036,23087,22952,22930,23229,23452,23471,23464,23534,23866,24332,24025,24061,24033,24189,24345,24120,24053,24031,24317,23991,24032,23383,22726,22122,21295,20768,20336,20491,20478,20651,21008,21665,22717,23251,22419,22096,21735,21006,21384,21435,22099,22280,22094,22366,21683,21162,20422,20023,19478,18756,18309,17987,17286,17062,16467,15717,15268,15564,12588,11527,10329,9095,52260
