,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  WA ;  Persons ;  85 and over ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017
Series End,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066
No. Obs,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Series ID,A85311796W,A85311831T,A85311898K,A85311678J,A85311857R,A85311730F,A85311826X,A85311710W,A85311859V,A85311676C,A85311708K,A85311702W,A85311704A,A85311665W,A85311799C,A85311711X,A85311709L,A85311662R,A85311767K,A85311672V,A85311838J,A85311736V,A85311763A,A85311732K,A85311830R,A85311768L,A85311864L,A85311828C,A85311667A,A85311731J,A85311858T,A85311861F,A85311733L,A85311899L,A85311897J,A85311902R,A85311797X,A85311793R,A85311896F,A85311867V,A85311863K,A85311670R,A85311673W,A85311832V,A85311836C,A85311839K,A85311865R,A85311833W,A85311834X,A85311674X,A85311764C,A85311707J,A85311705C,A85311903T,A85311900K,A85311666X,A85311901L,A85311827A,A85311766J,A85311669F,A85311829F,A85311794T,A85311895C,A85311862J,A85311856L,A85311734R,A85311677F,A85311671T,A85311706F,A85311668C,A85311664V,A85311860C,A85311837F,A85311737W,A85311762X,A85311795V,A85311825W,A85311798A,A85311703X,A85311663T,A85311835A,A85311675A,A85311712A,A85311735T,A85311866T,A85311765F
Jun-2017,34669,35599,34621,34273,34596,33994,34598,34298,33732,34174,33788,32497,30973,30489,29922,29895,30612,30913,31363,31381,32260,33242,34476,34807,35899,36636,38393,39851,40018,40894,41378,42027,40769,40716,40041,38835,37543,36139,35070,34221,33861,34191,34064,34566,35484,37077,37276,35183,35030,33501,32798,32696,32530,33037,33235,32577,32232,31153,30180,29346,28564,28559,26946,26143,25646,25006,24510,23478,22792,22763,22915,18350,17372,16847,14940,14856,13417,12820,12059,11222,10301,9518,8718,7675,7281,43135
Jun-2018,35624,34585,35630,34740,34413,34736,34116,34653,34361,33798,34212,33903,32635,31069,30618,30069,30094,30862,31201,32136,32183,32916,33774,35138,35427,36258,36910,38449,39861,39882,40689,41053,41687,40540,40565,39969,38753,37548,36067,35015,34222,33797,34109,33964,34483,35320,36903,37122,34998,34814,33253,32597,32467,32267,32788,32936,32293,31962,30878,29907,29054,28291,28284,26678,25920,25383,24707,24236,23236,22496,22439,22586,18072,17071,16483,14628,14514,13083,12438,11689,10818,9892,9089,8252,7273,44261
Jun-2019,35590,35527,34666,35802,34938,34603,34902,34223,34763,34469,33882,34366,34066,32756,31218,30799,30295,30394,31226,32059,33094,33005,33683,34692,35991,36035,36759,37227,38658,39922,39875,40538,40879,41588,40516,40565,39952,38813,37527,36055,35052,34204,33777,34043,33913,34371,35175,36763,36955,34813,34613,33075,32393,32243,32045,32515,32681,32038,31703,30602,29625,28775,28053,28019,26444,25645,25088,24426,23973,22939,22213,22136,22255,17789,16771,16157,14312,14165,12728,12052,11290,10406,9451,8630,7771,45293
Jun-2020,35582,35557,35663,34880,36034,35162,34805,35037,34375,34895,34579,34070,34553,34206,32920,31415,31040,30616,30806,32142,33085,33969,33868,34721,35679,36730,36711,37232,37605,38885,40059,39865,40486,40886,41627,40596,40608,40066,38833,37557,36132,35070,34219,33751,34023,33834,34265,35080,36626,36789,34642,34450,32894,32195,32048,31798,32284,32444,31802,31443,30336,29357,28552,27811,27789,26183,25361,24818,24177,23679,22663,21926,21823,21912,17485,16449,15816,13978,13784,12343,11649,10866,9949,8977,8133,46647
Jun-2021,35619,35613,35749,35924,35147,36285,35392,34971,35211,34545,35026,34787,34284,34711,34384,33128,31672,31373,31056,31765,33216,34031,34890,35004,35823,36546,37529,37340,37751,37983,39168,40174,39933,40601,41015,41757,40705,40773,40131,38900,37670,36186,35120,34223,33767,33972,33757,34205,34982,36487,36639,34510,34285,32719,32024,31825,31593,32073,32227,31563,31192,30084,29147,28325,27603,27530,25913,25103,24582,23897,23405,22387,21631,21500,21548,17160,16115,15456,13614,13375,11942,11223,10398,9460,8468,48197
Jun-2022,35689,35712,35861,36060,36236,35432,36542,35586,35174,35402,34713,35256,35023,34468,34907,34605,33396,32024,31835,32057,32894,34227,35037,36099,36220,36816,37472,38277,38004,38258,38403,39412,40353,40158,40824,41231,41917,40931,40885,40240,39049,37758,36266,35153,34266,33751,33925,33724,34144,34881,36364,36530,34374,34126,32573,31825,31644,31404,31878,32004,31330,30953,29887,28930,28130,27364,27259,25666,24877,24311,23634,23127,22099,21323,21150,21151,16818,15758,15059,13218,12943,11511,10744,9891,8928,49879
Jun-2023,35801,35834,36003,36208,36407,36550,35708,36749,35804,35383,35581,34966,35503,35219,34682,35139,34878,33751,32499,32849,33211,33945,35286,36316,37367,37305,37842,38314,39026,38624,38773,38749,39687,40655,40460,41111,41453,42176,41085,41025,40419,39160,37864,36321,35219,34272,33728,33915,33682,34073,34790,36274,36409,34240,33989,32392,31661,31475,31227,31674,31784,31104,30764,29677,28740,27902,27110,27008,25447,24611,24053,23363,22834,21792,20988,20770,20732,16451,15362,14626,12798,12477,11025,10224,9339,51804
Jun-2024,35968,36000,36175,36397,36598,36759,36860,35942,36989,36034,35586,35851,35237,35714,35449,34931,35426,35243,34233,33545,34035,34314,35070,36644,37685,38531,38444,38796,39167,39739,39255,39217,39124,40087,41035,40831,41406,41774,42366,41273,41241,40566,39296,37948,36413,35249,34273,33745,33897,33633,34015,34735,36178,36291,34132,33821,32250,31514,31318,31044,31476,31572,30933,30564,29496,28521,27660,26876,26786,25189,24362,23791,23077,22524,21458,20619,20366,20285,16043,14928,14166,12347,11953,10499,9659,53915
Jun-2025,36195,36224,36390,36611,36827,36988,37101,37123,36202,37237,36255,35877,36138,35473,35954,35709,35233,35801,35731,35290,34759,35175,35494,36496,38098,38953,39748,39497,39746,39968,40452,39799,39675,39612,40550,41480,41200,41794,42020,42587,41534,41423,40733,39404,38069,36469,35275,34312,33754,33870,33598,33991,34670,36084,36204,33990,33692,32120,31374,31155,30865,31285,31411,30749,30394,29286,28286,27436,26672,26522,24946,24106,23511,22773,22185,21089,20230,19933,19787,15594,14467,13670,11836,11382,9923,56103
Jun-2026,36514,36505,36662,36869,37080,37254,37365,37397,37414,36470,37476,36563,36179,36386,35733,36225,36022,35625,36311,36811,36530,35944,36407,36988,38030,39459,40275,40876,40539,40638,40761,41070,40346,40236,40150,41072,41917,41653,42102,42293,42877,41757,41624,40871,39549,38151,36519,35336,34341,33751,33856,33593,33956,34610,36018,36077,33888,33575,32000,31228,30992,30694,31143,31238,30594,30195,29060,28071,27240,26424,26271,24694,23831,23213,22441,21812,20700,19809,19449,19237,15119,13968,13109,11279,10761,58312
Jun-2027,36910,36873,36985,37179,37375,37540,37662,37690,37716,37709,36726,37799,36880,36440,36656,36022,36545,36421,36160,37414,38073,37747,37223,37955,38594,39475,40871,41496,41981,41512,41506,41446,41675,40982,40835,40741,41573,42431,42017,42430,42628,43126,41995,41790,41045,39653,38223,36603,35387,34356,33761,33870,33577,33923,34576,35913,35991,33795,33463,31870,31083,30837,30568,30988,31092,30408,29976,28851,27880,26995,26189,26011,24422,23535,22881,22070,21412,20278,19338,18914,18652,14601,13400,12494,10668,61051
