,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  NT ;  Persons ;  85 and over ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017
Series End,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066
No. Obs,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Series ID,A85312291J,A85312322L,A85312234L,A85312361C,A85312270W,A85312199T,A85312261V,A85312231F,A85312366R,A85312395A,A85312427J,A85312197L,A85312359T,A85312265C,A85312387A,A85312430W,A85312202V,A85312269L,A85312325V,A85312319X,A85312397F,A85312196K,A85312433C,A85312225K,A85312227R,A85312198R,A85312321K,A85312226L,A85312268K,A85312360A,A85312386X,A85312262W,A85312364K,A85312263X,A85312229V,A85312260T,A85312205A,A85312266F,A85312362F,A85312324T,A85312428K,A85312293L,A85312424A,A85312393W,A85312391T,A85312422W,A85312390R,A85312421V,A85312271X,A85312357L,A85312388C,A85312394X,A85312200R,A85312264A,A85312326W,A85312296V,A85312228T,A85312426F,A85312267J,A85312230C,A85312292K,A85312235R,A85312425C,A85312323R,A85312432A,A85312204X,A85312431X,A85312392V,A85312356K,A85312294R,A85312396C,A85312236T,A85312232J,A85312363J,A85312290F,A85312233K,A85312320J,A85312203W,A85312295T,A85312429L,A85312358R,A85312297W,A85312423X,A85312389F,A85312365L,A85312201T
Jun-2017,3962,4029,3781,3697,3729,3851,3737,3685,3602,3597,3435,3378,3141,3080,3154,3127,3095,2981,2891,3008,3133,3171,3630,3823,4066,4553,4795,4961,4917,5090,5063,4863,4749,4615,4616,4277,4112,3829,3769,3623,3542,3597,3400,3538,3292,3539,3768,3436,3329,3231,3202,3204,2976,3035,3116,3042,2918,2798,2593,2475,2424,2333,2215,2055,2009,1816,1672,1587,1444,1323,1241,1033,905,835,760,750,668,595,405,414,341,323,251,227,195,1024
Jun-2018,4050,3868,3989,3761,3707,3729,3860,3742,3697,3582,3565,3422,3325,3095,3053,3119,3093,3094,2972,2914,3158,3349,3448,3879,4069,4324,4634,4812,4972,4937,5102,5016,4789,4669,4578,4550,4237,4098,3785,3752,3621,3510,3547,3357,3537,3313,3512,3708,3397,3294,3184,3140,3148,2944,2981,3052,2985,2860,2721,2528,2379,2335,2239,2131,1969,1915,1724,1574,1493,1367,1272,1172,969,861,782,707,709,628,555,376,381,324,300,232,208,1060
Jun-2019,4062,4014,3832,3963,3767,3707,3745,3859,3748,3673,3546,3547,3370,3272,3067,3021,3092,3092,3079,2993,3083,3388,3617,3716,4113,4316,4425,4640,4827,4994,4967,5040,4924,4716,4632,4517,4493,4212,4038,3763,3737,3576,3470,3499,3360,3529,3292,3465,3666,3355,3249,3126,3074,3104,2880,2919,2992,2918,2785,2650,2439,2291,2242,2156,2035,1867,1822,1629,1489,1415,1306,1198,1099,924,814,735,670,665,591,520,353,353,302,276,214,1114
Jun-2020,4078,4031,3978,3809,3960,3765,3721,3754,3860,3720,3634,3528,3489,3316,3240,3035,2999,3093,3072,3087,3157,3323,3658,3869,3968,4366,4434,4468,4676,4867,5033,4926,4955,4837,4681,4570,4468,4456,4149,4007,3754,3688,3534,3424,3493,3356,3492,3253,3438,3618,3309,3193,3062,3033,3027,2818,2867,2924,2838,2713,2552,2349,2203,2160,2059,1930,1779,1722,1540,1412,1353,1230,1125,1050,875,766,697,628,626,554,485,330,328,279,256,1163
Jun-2021,4097,4059,4007,3962,3813,3956,3783,3736,3768,3833,3683,3619,3475,3434,3288,3206,3017,3008,3079,3085,3252,3401,3611,3923,4120,4251,4503,4504,4548,4747,4935,5013,4872,4884,4802,4629,4528,4447,4391,4124,3998,3718,3646,3490,3425,3485,3329,3441,3236,3408,3572,3256,3134,3029,2967,2960,2769,2813,2849,2766,2617,2458,2262,2128,2066,1956,1840,1683,1629,1461,1351,1275,1155,1075,995,824,728,655,593,588,518,452,308,303,260,1246
Jun-2022,4124,4080,4035,3991,3965,3809,3969,3795,3749,3749,3790,3666,3562,3421,3400,3255,3184,3028,3006,3092,3244,3488,3687,3885,4173,4387,4399,4575,4593,4644,4829,4929,4964,4815,4850,4740,4589,4506,4386,4357,4115,3951,3682,3600,3490,3421,3450,3284,3410,3212,3373,3512,3197,3103,2968,2903,2902,2713,2743,2777,2666,2522,2365,2186,2038,1964,1864,1742,1593,1545,1399,1276,1196,1103,1018,937,782,685,620,556,551,482,422,284,281,1318
Jun-2023,4154,4118,4069,4029,4005,3966,3827,3979,3813,3734,3716,3772,3611,3511,3394,3368,3236,3195,3034,3040,3261,3484,3776,3969,4156,4456,4538,4496,4682,4713,4759,4848,4904,4923,4806,4801,4700,4578,4452,4365,4346,4073,3914,3645,3602,3490,3395,3402,3262,3377,3187,3329,3451,3169,3045,2912,2854,2842,2649,2681,2682,2571,2431,2286,2096,1943,1877,1767,1650,1515,1481,1322,1199,1144,1046,958,890,736,647,583,521,513,448,390,266,1399
Jun-2024,4191,4152,4108,4066,4043,4009,3983,3839,3990,3796,3701,3704,3712,3556,3481,3361,3346,3250,3195,3068,3216,3500,3766,4049,4236,4446,4604,4621,4610,4801,4837,4795,4834,4872,4919,4768,4762,4681,4525,4430,4359,4295,4034,3869,3652,3600,3460,3350,3373,3235,3341,3149,3279,3418,3109,2988,2866,2796,2769,2588,2591,2586,2476,2350,2191,1997,1858,1782,1677,1569,1451,1398,1244,1148,1083,985,910,838,696,609,547,486,479,413,363,1459
Jun-2025,4228,4190,4143,4105,4081,4047,4028,3994,3851,3966,3761,3690,3650,3652,3523,3446,3338,3355,3252,3222,3245,3462,3782,4032,4306,4521,4600,4685,4724,4735,4926,4879,4796,4811,4873,4882,4738,4744,4620,4504,4423,4312,4250,3988,3872,3653,3567,3413,3326,3339,3202,3291,3106,3255,3353,3050,2943,2812,2729,2701,2501,2502,2490,2392,2252,2086,1910,1766,1691,1595,1503,1370,1314,1188,1087,1020,936,856,793,655,571,509,454,443,386,1602
Jun-2026,4270,4239,4189,4150,4130,4093,4073,4046,4010,3835,3931,3753,3639,3599,3618,3489,3424,3352,3358,3292,3406,3504,3764,4060,4299,4602,4686,4701,4802,4855,4879,4981,4896,4797,4831,4853,4863,4735,4694,4599,4505,4383,4277,4205,3998,3875,3628,3522,3391,3300,3306,3160,3242,3093,3205,3294,3010,2894,2749,2667,2609,2418,2415,2410,2294,2149,1997,1816,1680,1610,1532,1421,1290,1257,1128,1025,971,881,809,748,616,532,475,420,413,1751
Jun-2027,4318,4282,4239,4196,4174,4142,4122,4093,4063,3992,3801,3915,3700,3590,3569,3579,3467,3436,3358,3390,3478,3666,3808,4049,4325,4588,4760,4783,4819,4930,4989,4936,4997,4897,4826,4816,4841,4862,4690,4675,4596,4465,4345,4234,4211,4000,3847,3587,3497,3363,3269,3261,3116,3218,3048,3156,3249,2959,2833,2691,2577,2517,2335,2339,2311,2188,2060,1899,1727,1601,1545,1448,1337,1234,1193,1064,976,914,834,763,704,575,498,440,393,1907
