,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  85 and over ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Series Start,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017,Jun-2017
Series End,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066,Jun-2066
No. Obs,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Series ID,A85314923F,A85314896K,A85314872T,A85314877C,A85315052C,A85315051A,A85314830V,A85314964A,A85314874W,A85315017W,A85314828J,A85314840X,A85315015T,A85314965C,A85314839R,A85315016V,A85314966F,A85314827F,A85315056L,A85315022R,A85314834C,A85315023T,A85314994R,A85315058T,A85314878F,A85314833A,A85314835F,A85315054J,A85314873V,A85314932J,A85314905A,A85314962W,A85314924J,A85314963X,A85314961V,A85314829K,A85314926L,A85314836J,A85314937V,A85314898R,A85314925K,A85315055K,A85314933K,A85314999A,A85314959J,A85314992K,A85314831W,A85314936T,A85314903W,A85314960T,A85314876A,A85314928T,A85314997W,A85314879J,A85314902V,A85315018X,A85314990F,A85314897L,A85314996V,A85314875X,A85314904X,A85314900R,A85314958F,A85314929V,A85314899T,A85314927R,A85315053F,A85314935R,A85314995T,A85314967J,A85315021L,A85315019A,A85314826C,A85314837K,A85314993L,A85314931F,A85315020K,A85314998X,A85314991J,A85315057R,A85314934L,A85314901T,A85314930C,A85314832X,A85314838L,A85315050X
Jun-2017,5602,5732,5791,5616,5677,5606,5463,5494,5206,5045,4877,4872,4532,4391,4336,4295,4426,4624,5257,6080,6436,6552,6747,7083,6878,6622,6942,6941,6952,6853,6821,7054,7019,7180,6832,6865,6629,6358,6192,5759,5801,5618,5686,5704,5723,5828,5881,5500,5293,5017,4810,4966,4778,4906,4797,4939,4759,4573,4426,4318,4148,4028,3780,3714,3740,3598,3496,3430,3395,3379,3435,2812,2502,2371,2123,2109,1852,1763,1643,1553,1441,1313,1206,1087,973,6135
Jun-2018,5878,5599,5766,5814,5671,5740,5642,5503,5526,5221,5073,4918,4919,4553,4432,4419,4418,4642,5439,6025,6495,6714,6940,7187,7383,7002,6710,7039,7054,7047,6905,6892,7156,7084,7240,6897,6878,6647,6350,6175,5772,5808,5643,5697,5716,5709,5846,5899,5478,5281,5008,4791,4938,4743,4882,4748,4869,4693,4522,4358,4271,4094,3957,3739,3663,3676,3536,3447,3379,3341,3323,3381,2755,2462,2329,2099,2073,1811,1716,1594,1508,1390,1253,1149,1033,6294
Jun-2019,5961,5877,5631,5801,5866,5734,5778,5681,5537,5537,5248,5112,4970,4938,4592,4517,4542,4635,5475,6218,6458,6783,7106,7372,7503,7482,7073,6833,7151,7166,7096,6984,7012,7225,7160,7292,6926,6898,6640,6338,6180,5784,5828,5657,5707,5701,5726,5863,5876,5463,5270,4986,4768,4900,4721,4829,4686,4800,4641,4451,4311,4215,4022,3911,3689,3602,3612,3485,3399,3328,3287,3271,3314,2709,2419,2304,2064,2026,1766,1666,1549,1457,1328,1196,1090,6485
Jun-2020,6041,5962,5909,5663,5863,5923,5771,5813,5711,5548,5557,5283,5162,4994,4973,4677,4641,4760,5462,6259,6646,6753,7177,7528,7667,7609,7526,7178,6965,7258,7224,7169,7109,7095,7304,7223,7305,6958,6890,6625,6343,6182,5806,5835,5668,5687,5718,5741,5840,5860,5449,5245,4961,4736,4874,4670,4764,4623,4745,4571,4404,4257,4139,3978,3858,3629,3542,3562,3437,3349,3278,3236,3207,3260,2659,2392,2266,2017,1973,1716,1621,1496,1393,1268,1138,6701
Jun-2021,6116,6046,5993,5938,5718,5927,5953,5805,5839,5716,5567,5587,5330,5181,5031,5053,4799,4859,5588,6237,6687,6932,7156,7598,7812,7752,7655,7610,7292,7089,7311,7308,7292,7194,7182,7368,7249,7322,6957,6874,6628,6344,6195,5817,5840,5652,5699,5733,5716,5823,5844,5421,5216,4925,4714,4820,4606,4698,4573,4671,4523,4349,4181,4093,3925,3795,3569,3495,3514,3387,3301,3231,3174,3155,3202,2631,2353,2218,1967,1915,1671,1567,1431,1330,1206,6942
Jun-2022,6189,6124,6080,6024,5993,5778,5961,5983,5829,5840,5731,5596,5627,5343,5217,5113,5171,5016,5694,6359,6658,6973,7324,7584,7881,7888,7782,7740,7706,7400,7157,7391,7440,7373,7286,7254,7390,7274,7310,6948,6875,6629,6360,6196,5823,5816,5665,5708,5707,5697,5808,5812,5389,5176,4900,4666,4753,4543,4646,4506,4621,4466,4272,4136,4037,3861,3733,3522,3450,3464,3338,3253,3170,3123,3099,3168,2588,2303,2161,1910,1862,1616,1499,1369,1267,7220
Jun-2023,6258,6198,6158,6111,6078,6052,5810,5993,6002,5830,5853,5755,5635,5635,5373,5296,5236,5384,5855,6463,6770,6935,7358,7734,7870,7954,7906,7851,7833,7796,7454,7249,7518,7528,7461,7362,7286,7413,7266,7288,6956,6874,6641,6362,6194,5801,5822,5675,5679,5687,5680,5777,5777,5347,5148,4847,4604,4685,4491,4574,4460,4561,4386,4226,4081,3970,3797,3683,3476,3404,3414,3292,3194,3119,3068,3066,3116,2531,2246,2100,1858,1801,1548,1433,1303,7522
Jun-2024,6316,6261,6224,6180,6159,6130,6075,5833,6011,5995,5839,5871,5787,5638,5655,5443,5411,5449,6225,6608,6861,7029,7297,7745,7988,7928,7954,7951,7915,7908,7817,7518,7374,7589,7610,7522,7384,7306,7397,7241,7279,6954,6880,6636,6359,6159,5805,5821,5645,5652,5665,5645,5738,5727,5313,5088,4777,4539,4627,4420,4521,4404,4476,4335,4167,4013,3903,3746,3634,3428,3354,3365,3230,3144,3065,3036,3016,3047,2465,2183,2044,1797,1722,1480,1364,7827
Jun-2025,6362,6318,6288,6247,6225,6209,6152,6096,5849,6004,5998,5856,5901,5786,5657,5720,5553,5621,6317,6980,6999,7115,7380,7673,7995,8035,7932,7998,8008,7978,7927,7866,7633,7454,7667,7674,7539,7407,7294,7370,7235,7268,6965,6872,6630,6325,6156,5807,5785,5619,5626,5628,5607,5687,5691,5248,5012,4708,4486,4550,4370,4461,4325,4424,4275,4098,3946,3852,3696,3583,3380,3308,3304,3182,3091,3036,2987,2950,2967,2394,2125,1977,1719,1645,1411,8151
Jun-2026,6404,6366,6345,6309,6293,6275,6230,6173,6109,5840,6008,6010,5884,5896,5803,5721,5825,5758,6493,7093,7362,7247,7461,7747,7916,8043,8032,7979,8054,8063,7986,7974,7970,7702,7540,7729,7695,7557,7392,7274,7362,7228,7270,6961,6864,6591,6323,6151,5771,5755,5595,5587,5587,5557,5650,5621,5169,4937,4653,4414,4495,4314,4381,4277,4364,4205,4030,3893,3801,3644,3534,3334,3249,3255,3128,3062,2989,2923,2875,2882,2329,2057,1893,1643,1566,8484
Jun-2027,6446,6410,6393,6366,6355,6343,6294,6249,6187,6097,5842,6023,6034,5877,5909,5864,5824,6024,6621,7264,7482,7600,7584,7820,7980,7959,8037,8073,8039,8109,8065,8023,8079,8029,7778,7609,7746,7717,7543,7372,7271,7353,7235,7260,6957,6824,6589,6319,6108,5742,5726,5556,5546,5537,5520,5579,5536,5091,4878,4577,4365,4435,4235,4331,4220,4291,4134,3975,3841,3748,3594,3486,3274,3201,3202,3098,3014,2926,2849,2794,2803,2252,1971,1810,1565,8929
